time,,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
274534136,,2,3451,5,0,4,0,4,43818,23,-22,4,5640,-83,26
274544137,,2,3463,4,0,4,0,4,43672,17,11,4,5752,-81,-6
274554137,,2,3471,4,0,4,0,4,43584,21,14,4,5817,-82,-8
274564137,,2,3497,4,0,4,0,4,43563,21,14,4,5831,-74,-7
274574133,,2,3508,3,0,4,0,4,43568,26,45,4,5828,-69,-34
274584138,,2,3527,3,0,4,0,4,43600,24,44,4,5806,-66,-32
274594136,,2,3546,3,0,4,0,4,43662,32,42,4,5757,-58,-28
274604133,,2,3564,2,-1,3,0,4,43741,40,71,4,5693,-58,-58
274614141,,2,3578,2,-1,3,0,4,43835,43,68,4,5614,-56,-55
274624136,,2,3591,2,-1,3,0,4,43945,49,65,4,5513,-55,-51
274634139,,2,3596,1,-1,3,0,4,44069,49,93,4,5394,-49,-80
274644134,,2,3605,1,-2,3,0,4,44201,57,89,4,5263,-45,-74
274654139,,2,3603,1,-2,3,0,4,44340,67,85,4,5120,-41,-69
274664137,,2,3603,1,-2,3,0,4,44480,76,81,4,4972,-36,-62
274674135,,2,3590,1,-1,3,0,4,44619,88,77,4,4821,-33,-57
274684136,,2,3592,1,-1,3,0,4,44755,99,72,4,4669,-33,-51
274694137,,2,3592,1,-1,3,0,4,44889,108,68,4,4517,-29,-46
274704209,,2,3588,1,-1,3,0,4,45020,117,65,4,4365,-25,-39
274714140,,2,3580,1,-1,2,0,4,45146,117,61,4,4215,-28,-36
274724138,,2,3572,1,-1,2,0,4,45269,126,57,4,4065,-26,-31
274734134,,2,3566,1,-1,2,0,4,45387,130,54,4,3922,-23,-25
274744136,,2,3560,1,-1,2,0,4,45502,135,50,4,3775,-26,-21
274754137,,2,3549,1,0,2,0,4,45613,141,47,4,3629,-25,-17
274764138,,2,3546,1,0,2,0,4,45721,139,44,4,3486,-25,-13
274774137,,2,3524,2,0,2,0,4,45824,140,8,4,3344,-22,26
274784140,,2,3519,2,0,2,0,4,45915,140,5,4,3263,-24,27
274794134,,2,3513,2,0,2,0,4,45980,146,4,4,3254,-24,27
274804137,,2,3495,2,0,2,0,4,46018,148,2,4,3282,-22,28
274814135,,2,3486,2,0,2,0,4,46033,150,2,4,3337,-29,24
274824135,,2,3476,3,0,2,0,4,46031,148,-28,4,3405,-39,50
274834135,,2,3459,3,0,2,0,4,46013,140,-28,4,3484,-47,44
274844135,,2,3445,3,1,2,0,4,45969,132,-27,4,3574,-47,42
274854140,,2,3437,4,1,2,0,4,45915,132,-55,4,3671,-57,66
274864139,,2,3429,4,1,2,0,4,45846,124,-53,4,3773,-62,61
274874138,,2,3424,4,1,2,0,4,45754,113,-50,4,3885,-64,57
274884136,,2,3419,4,1,3,0,4,45643,100,-47,4,4006,-71,51
274894135,,2,3412,4,1,3,0,4,45521,85,-44,4,4130,-73,46
274904138,,2,3411,5,1,3,0,4,45392,68,-69,4,4255,-74,72
274914135,,2,3408,5,1,3,0,4,45256,55,-65,4,4382,-76,67
274924137,,2,3412,5,1,3,0,4,45111,55,-61,4,4514,-76,63
274934133,,2,3409,5,1,3,0,4,44963,42,-56,4,4648,-77,59
274944139,,2,3414,5,1,3,0,4,44811,31,-52,4,4780,-80,53
274954140,,2,3412,5,1,3,0,4,44662,23,-47,4,4912,-85,48
274964141,,2,3408,5,1,3,0,4,44509,16,-43,4,5042,-88,42
274974136,,2,3411,5,1,3,0,4,44357,16,-38,4,5170,-87,39
274984133,,2,3418,5,1,3,0,4,44205,17,-33,4,5297,-84,36
274994135,,2,3427,5,1,4,0,4,44055,17,-29,4,5423,-79,34
275004138,,2,3442,5,1,4,0,4,43906,23,-25,4,5546,-79,30
275014141,,2,3464,4,0,4,0,4,43759,29,8,4,5667,-73,-1
275024133,,2,3486,4,0,4,0,4,43671,26,11,4,5739,-71,-2
275034132,,2,3492,4,0,4,0,4,43648,26,12,4,5761,-71,-3
275044134,,2,3519,3,0,4,0,4,43651,32,12,4,5765,-65,-1
275054137,,2,3528,3,0,4,0,4,43669,34,42,4,5763,-60,-29
275064138,,2,3546,3,0,4,0,4,43710,34,40,4,5745,-58,-27
275074134,,2,3557,2,-1,3,0,4,43774,35,70,4,5702,-55,-57
275084137,,2,3572,2,-1,3,0,4,43859,39,67,4,5636,-55,-55
275094136,,2,3590,2,-1,3,0,4,43970,43,64,4,5538,-55,-52
275104136,,2,3601,1,-2,3,0,4,44094,48,92,4,5422,-53,-49
275114138,,2,3610,1,-2,3,0,4,44226,57,88,4,5295,-47,-76
275124140,,2,3614,1,-2,3,0,4,44365,67,84,4,5158,-42,-70
275134140,,2,3616,1,-2,3,0,4,44506,77,80,4,5014,-37,-64
275144138,,2,3612,1,-2,3,0,4,44647,77,76,4,4865,-33,-58
275154140,,2,3610,0,-2,3,0,4,44785,86,100,4,4718,-31,-87
275164138,,2,3608,0,-2,3,0,4,44922,97,100,4,4566,-31,-83
275174135,,2,3605,0,-2,2,0,4,45062,105,97,4,4412,-27,-76
275184136,,2,3598,0,-1,2,0,4,45201,113,92,4,4257,-24,-71
275194138,,2,3586,1,-1,2,0,4,45337,122,55,4,4102,-25,-31
275204137,,2,3579,1,-1,2,0,4,45468,131,51,4,3948,-22,-26
275214138,,2,3570,1,-1,2,0,4,45589,131,47,4,3796,-21,-20
275224139,,2,3560,1,-1,2,0,4,45701,139,44,4,3646,-23,-17
275234140,,2,3547,1,0,2,0,4,45806,146,41,4,3499,-21,-11
275244139,,2,3530,1,0,2,0,4,45903,152,38,4,3354,-21,-7
275254134,,2,3517,2,0,2,0,4,45994,156,3,4,3212,-20,31
275264135,,2,3505,2,0,2,0,4,46068,160,1,4,3123,-24,31
275274139,,2,3490,2,0,2,0,4,46113,161,0,4,3112,-22,33
275284137,,2,3480,2,0,2,0,4,46130,161,0,4,3145,-21,33
275294136,,2,3471,3,0,2,0,4,46126,160,-31,4,3205,-29,60
275304138,,2,3463,3,0,2,0,4,46104,155,-31,4,3289,-34,55
275314135,,2,3454,3,0,2,0,4,46056,146,-29,4,3388,-38,51
275324133,,2,3445,3,1,2,0,4,45998,136,-27,4,3495,-38,48
275334138,,2,3435,4,1,2,0,4,45932,126,-56,4,3606,-47,72
275344137,,2,3430,4,1,2,0,4,45853,111,-53,4,3720,-55,66
275354134,,2,3424,4,1,2,0,4,45753,111,-50,4,3842,-62,60
275364134,,2,3414,4,1,2,0,4,45638,97,-47,4,3970,-69,53
275374134,,2,3415,4,1,3,0,4,45512,83,-43,4,4100,-72,48
275384136,,2,3413,4,1,3,0,4,45380,67,-39,4,4230,-74,43
275394139,,2,3411,4,1,3,0,4,45244,54,-35,4,4358,-78,38
275404140,,2,3415,4,1,3,0,4,45105,42,-31,4,4482,-78,34
275414138,,2,3415,5,1,3,0,4,44965,32,-56,4,4603,-79,59
275424140,,2,3417,5,1,3,0,4,44822,32,-52,4,4724,-80,56
275434138,,2,3421,5,1,3,0,4,44675,23,-48,4,4849,-83,50
275444140,,2,3425,5,1,3,0,4,44530,17,-43,4,4976,-85,46
275454136,,2,3432,5,1,3,0,4,44381,19,-39,4,5102,-83,42
275464136,,2,3447,4,1,3,0,4,44230,19,-5,4,5228,-81,10
275474134,,2,3453,4,0,3,0,4,44083,15,0,4,5347,-81,6
275484135,,2,3463,4,0,3,0,4,43938,21,3,4,5455,-81,3
275494134,,2,3480,4,0,3,0,4,43850,20,6,4,5551,-79,1
275504139,,2,3488,4,0,3,0,4,43823,20,6,4,5635,-75,-1
275514133,,2,3505,3,0,3,0,4,43816,18,37,4,5683,-72,-31
275524138,,2,3521,3,0,3,0,4,43830,27,37,4,5685,-66,-29
275534140,,2,3535,3,0,3,0,4,43877,30,35,4,5652,-62,-26
275544133,,2,3557,2,-1,3,0,4,43940,32,65,4,5600,-59,-56
275554138,,2,3566,2,-1,3,0,4,44020,37,62,4,5531,-55,-52
275564135,,2,3587,1,-1,3,0,4,44122,43,59,4,5437,-55,-49
275574137,,2,3604,1,-2,3,0,4,44240,43,88,4,5325,-51,-78
275584135,,2,3611,1,-2,3,0,4,44368,49,84,4,5197,-48,-73
275594140,,2,3613,0,-2,3,0,4,44505,57,100,4,5057,-44,-103
275604136,,2,3618,0,-2,3,0,4,44647,68,100,4,4909,-41,-97
275614141,,2,3611,0,-2,3,0,4,44791,78,100,4,4760,-37,-91
275624135,,2,3606,0,-2,2,0,4,44935,89,100,4,4604,-33,-85
275634137,,2,3603,0,-2,2,0,4,45079,100,96,4,4448,-30,-79
275644136,,2,3588,0,-1,2,0,4,45220,100,92,4,4292,-30,-74
275654133,,2,3583,0,-1,2,0,4,45359,111,88,4,4135,-26,-68
275664137,,2,3572,1,-1,2,0,4,45494,121,50,4,3979,-22,-27
275674139,,2,3568,1,-1,2,0,4,45624,130,46,4,3824,-21,-21
275684137,,2,3557,1,-1,2,0,4,45744,135,43,4,3671,-18,-15
275694138,,2,3546,1,0,2,0,4,45855,135,39,4,3520,-18,-11
275704136,,2,3541,1,0,2,0,4,45958,140,36,4,3371,-18,-6
275714139,,2,3528,1,0,2,0,4,46053,140,34,4,3225,-15,-2
275724133,,2,3515,2,0,2,0,4,46141,145,0,4,3082,-15,37
275734134,,2,3511,2,0,2,0,4,46210,148,-2,4,2992,-15,39
275744132,,2,3498,2,0,2,0,4,46237,151,-3,4,2985,-17,39
275754137,,2,3480,2,0,2,0,4,46234,151,-3,4,3030,-15,38
275764137,,2,3468,2,0,2,0,4,46224,147,-3,4,3107,-19,35
275774135,,2,3460,3,0,2,0,4,46213,139,-34,4,3202,-25,62
275784135,,2,3448,3,1,2,0,4,46185,139,-33,4,3308,-28,58
275794133,,2,3441,3,1,2,0,4,46135,129,-31,4,3421,-37,51
275804139,,2,3429,3,1,2,0,4,46071,120,-30,4,3541,-37,48
275814140,,2,3427,4,1,2,0,4,45994,112,-58,4,3665,-49,70
275824137,,2,3418,4,1,2,0,4,45898,99,-55,4,3792,-58,63
275834140,,2,3412,4,1,2,0,4,45783,86,-51,4,3923,-66,56
275844138,,2,3406,4,1,2,0,4,45657,74,-48,4,4055,-76,49
275854154,,2,3395,5,2,3,0,4,45523,59,-73,4,4185,-79,73
275864140,,2,3392,5,2,3,0,4,45388,59,-69,4,4314,-81,68
275874139,,2,3389,5,2,3,0,4,45241,47,-65,4,4447,-86,62
275884138,,2,3388,5,2,3,0,4,45091,36,-60,4,4580,-86,58
275894139,,2,3394,5,2,3,0,4,44938,26,-56,4,4713,-88,53
275904141,,2,3401,5,1,3,0,4,44784,20,-51,4,4844,-86,50
275914138,,2,3405,5,1,3,0,4,44630,15,-46,4,4974,-87,45
275924135,,2,3421,5,1,3,0,4,44477,18,-42,4,5102,-89,40
275934137,,2,3441,4,1,3,0,4,44325,18,-8,4,5228,-85,9
275944137,,2,3457,4,0,3,0,4,44174,22,-3,4,5347,-82,6
275954135,,2,3477,4,0,3,0,4,44028,17,0,4,5455,-83,3
275964139,,2,3505,3,0,3,0,4,43885,23,35,4,5551,-83,-30
275974136,,2,3515,3,0,3,0,4,43803,25,37,4,5596,-77,-29
275984139,,2,3529,3,0,3,0,4,43802,18,38,4,5584,-73,-28
275994138,,2,3549,2,0,3,0,4,43842,24,68,4,5547,-73,-58
276004138,,2,3565,2,-1,3,0,4,43919,24,65,4,5480,-63,-53
276014134,,2,3586,1,-1,3,0,4,44029,32,94,4,5380,-57,-82
276024140,,2,3596,1,-1,3,0,4,44156,34,90,4,5260,-53,-76
276034137,,2,3600,1,-2,3,0,4,44295,41,86,4,5123,-46,-70
276044137,,2,3612,1,-2,3,0,4,44439,53,82,4,4979,-46,-66
276054139,,2,3615,0,-2,3,0,4,44583,64,100,4,4831,-41,-94
276064136,,2,3618,0,-2,3,0,4,44726,75,100,4,4680,-36,-88
276074136,,2,3614,0,-2,2,0,4,44871,75,100,4,4526,-32,-82
276084135,,2,3612,0,-2,2,0,4,45016,86,98,4,4374,-30,-76
276094137,,2,3605,0,-2,2,0,4,45160,97,94,4,4220,-26,-71
276104135,,2,3595,0,-1,2,0,4,45301,105,89,4,4065,-24,-65
276114141,,2,3585,0,-1,2,0,4,45439,113,85,4,3914,-24,-60
276124134,,2,3577,0,-1,2,0,4,45575,122,81,4,3759,-24,-56
276134139,,2,3569,1,-1,2,0,4,45709,125,44,4,3605,-20,-14
276144139,,2,3556,1,-1,2,0,4,45836,125,40,4,3455,-19,-9
276154135,,2,3552,1,-1,2,0,4,45953,129,37,4,3304,-18,-4
276164139,,2,3546,1,0,2,0,4,46060,136,33,4,3157,-16,0
276174135,,2,3533,1,0,2,0,4,46157,137,30,4,3012,-16,4
276184136,,2,3512,1,0,2,0,4,46244,139,28,4,2925,-15,8
276194140,,2,3512,1,0,2,0,4,46318,144,26,4,2898,-15,9
276204134,,2,3497,2,0,2,0,4,46380,146,24,4,2894,-15,9
276214206,,2,3483,2,0,2,0,4,46433,148,-9,4,2900,-17,42
276224139,,2,3473,2,0,2,0,4,46454,148,-10,4,2929,-17,41
276234132,,2,3457,3,0,2,0,4,46445,147,-41,4,2991,-16,72
276244139,,2,3448,3,1,2,0,4,46404,144,-40,4,3086,-17,69
276254140,,2,3442,3,1,2,0,4,46332,138,-37,4,3208,-19,65
276264138,,2,3432,3,1,2,0,4,46245,129,-35,4,3340,-24,59
276274138,,2,3426,4,1,2,0,4,46148,115,-62,4,3476,-36,81
276284137,,2,3417,4,1,2,0,4,46038,101,-59,4,3615,-36,77
276294136,,2,3415,4,1,2,0,4,45913,101,-55,4,3756,-50,68
276304139,,2,3414,4,1,2,0,4,45778,84,-51,4,3897,-59,60
276314136,,2,3410,4,1,2,0,4,45638,67,-47,4,4036,-68,53
276324137,,2,3407,4,1,2,0,4,45495,54,-43,4,4172,-78,45
276334140,,2,3406,4,1,3,0,4,45350,41,-38,4,4303,-83,39
276344139,,2,3403,5,1,3,0,4,45203,30,-63,4,4430,-85,64
276354141,,2,3413,4,1,3,0,4,45054,21,-30,4,4556,-88,30
276364137,,2,3418,4,1,3,0,4,44905,21,-25,4,4681,-88,26
276374137,,2,3417,5,1,3,0,4,44756,17,-50,4,4800,-88,51
276384139,,2,3428,4,1,3,0,4,44607,20,-16,4,4917,-85,20
276394140,,2,3435,4,1,3,0,4,44460,17,-12,4,5034,-82,16
276404139,,2,3452,4,0,3,0,4,44314,20,-7,4,5144,-81,14
276414136,,2,3455,4,0,3,0,4,44172,24,-3,4,5247,-75,13
276424138,,2,3468,4,0,3,0,4,44033,20,0,4,5342,-72,11
276434139,,2,3481,4,0,3,0,4,43900,20,4,4,5432,-71,8
276444138,,2,3501,3,0,3,0,4,43820,24,37,4,5513,-71,-24
276454134,,2,3513,3,0,3,0,4,43808,26,37,4,5550,-66,-23
276464140,,2,3524,3,0,3,0,4,43841,20,36,4,5540,-64,-22
276474135,,2,3550,2,-1,3,0,4,43900,23,66,4,5509,-64,-53
276484135,,2,3562,2,-1,3,0,4,43979,31,64,4,5455,-57,-49
276494140,,2,3583,1,-1,3,0,4,44082,35,93,4,5371,-53,-78
276504139,,2,3583,1,-1,3,0,4,44205,35,89,4,5260,-51,-75
276514138,,2,3589,1,-1,3,0,4,44342,42,85,4,5129,-47,-69
276524136,,2,3595,1,-1,3,0,4,44484,51,81,4,4987,-47,-65
276534141,,2,3595,1,-1,3,0,4,44627,63,76,4,4840,-43,-59
276544137,,2,3602,0,-2,3,0,4,44768,73,100,4,4690,-38,-88
276554138,,2,3602,0,-2,2,0,4,44910,83,100,4,4542,-33,-81
276564137,,2,3598,0,-1,2,0,4,45053,92,97,4,4388,-30,-76
276574136,,2,3594,0,-1,2,0,4,45198,92,92,4,4234,-26,-70
276584134,,2,3589,0,-1,2,0,4,45340,97,88,4,4078,-25,-64
276594135,,2,3585,0,-1,2,0,4,45480,99,84,4,3927,-25,-60
276604136,,2,3579,0,-1,2,0,4,45617,109,80,4,3772,-25,-55
276614134,,2,3570,0,-1,2,0,4,45751,115,76,4,3617,-21,-48
276624136,,2,3552,1,-1,2,0,4,45882,120,39,4,3462,-20,-44
276634135,,2,3544,1,0,2,0,4,46006,129,35,4,3308,-19,-3
276644135,,2,3536,1,0,2,0,4,46118,133,32,4,3156,-17,1
276654136,,2,3520,1,0,2,0,4,46219,133,29,4,3063,-16,4
276664140,,2,3508,2,0,2,0,4,46308,133,-5,4,3031,-17,38
276674139,,2,3500,2,0,2,0,4,46352,139,-7,4,3042,-18,38
276684135,,2,3487,2,0,2,0,4,46351,143,-7,4,3092,-18,36
276694134,,2,3477,2,0,2,0,4,46337,143,-6,4,3164,-23,33
276704136,,2,3476,2,0,2,0,4,46318,137,-6,4,3250,-27,29
276714133,,2,3470,2,0,2,0,4,46296,125,-5,4,3345,-28,26
276724138,,2,3462,3,0,2,0,4,46280,125,-36,4,3446,-36,52
276734134,,2,3460,3,0,2,0,4,46256,116,-35,4,3549,-46,45
276744136,,2,3444,3,1,2,0,4,46208,108,-34,4,3655,-54,39
276754133,,2,3444,3,1,2,0,4,46144,99,-32,4,3760,-61,33
276764139,,2,3439,3,1,2,0,4,46068,92,-29,4,3863,-61,30
276774138,,2,3429,4,1,2,0,4,45984,83,-57,4,3964,-71,54
276784139,,2,3420,4,1,2,0,4,45887,72,-54,4,4066,-75,49
276794135,,2,3407,4,1,2,0,4,45773,72,-51,4,4175,-79,45
276804135,,2,3401,4,1,2,0,4,45647,63,-47,4,4288,-84,40
276814137,,2,3406,4,1,3,0,4,45513,53,-43,4,4403,-85,35
276824137,,2,3407,4,1,3,0,4,45375,43,-39,4,4516,-85,32
276834139,,2,3419,4,1,3,0,4,45234,34,-35,4,4627,-88,28
276844135,,2,3418,4,1,3,0,4,45092,27,-31,4,4733,-88,24
276854136,,2,3435,4,1,3,0,4,44948,26,-26,4,4835,-90,20
276864133,,2,3436,4,1,3,0,4,44805,26,-22,4,4931,-89,17
276874138,,2,3445,4,1,3,0,4,44663,22,-18,4,5021,-89,15
276884133,,2,3459,4,0,3,0,4,44523,18,-14,4,5105,-88,12
276894135,,2,3468,4,0,3,0,4,44384,24,-9,4,5183,-84,12
276904133,,2,3481,3,0,3,0,4,44247,23,24,4,5253,-80,-20
276914134,,2,3495,3,0,3,0,4,44168,19,27,4,5287,-77,-20
276924138,,2,3505,3,0,3,0,4,44158,25,27,4,5280,-77,-20
276934135,,2,3515,3,0,3,0,4,44183,25,26,4,5254,-71,-17
276944136,,2,3535,2,0,3,0,4,44227,24,56,4,5215,-65,-44
276954139,,2,3550,2,-1,3,0,4,44293,26,54,4,5160,-60,-42
276964138,,2,3563,2,-1,3,0,4,44381,34,51,4,5084,-55,-37
276974136,,2,3579,1,-1,3,0,4,44483,41,81,4,4993,-51,-67
276984132,,2,3586,1,-1,3,0,4,44600,48,77,4,4884,-47,-62
276994135,,2,3594,1,-1,3,0,4,44730,56,73,4,4757,-44,-57
277004140,,2,3597,1,-1,3,0,4,44866,67,69,4,4620,-44,-53
277014135,,2,3595,1,-1,2,0,4,45002,67,65,4,4479,-42,-48
277024139,,2,3592,0,-1,2,0,4,45136,77,94,4,4334,-37,-77
277034137,,2,3588,0,-1,2,0,4,45271,87,90,4,4187,-33,-71
277044140,,2,3583,0,-1,2,0,4,45408,97,86,4,4036,-31,-65
277054137,,2,3576,1,-1,2,0,4,45544,106,49,4,3884,-27,-24
277064135,,2,3576,0,-1,2,0,4,45676,114,78,4,3731,-24,-54
277074137,,2,3561,1,-1,2,0,4,45801,122,41,4,3580,-23,-14
277084137,,2,3559,1,-1,2,0,4,45922,122,38,4,3429,-23,-9
277094138,,2,3553,1,-1,2,0,4,46031,130,34,4,3281,-19,-3
277104135,,2,3548,1,0,2,0,4,46130,137,31,4,3139,-18,1
277114136,,2,3539,1,0,2,0,4,46218,143,29,4,3051,-18,3
277124137,,2,3534,1,0,2,0,4,46296,146,26,4,3021,-16,5
277134138,,2,3520,1,0,2,0,4,46366,148,24,4,3011,-17,6
277144134,,2,3513,1,0,2,0,4,46427,149,22,4,3011,-22,4
277154135,,2,3500,2,0,2,0,4,46480,149,21,4,3017,-23,3
277164133,,2,3492,2,0,2,0,4,46525,148,-12,4,3025,-23,37
277174136,,2,3480,2,0,2,0,4,46540,147,-12,4,3050,-23,37
277184135,,2,3470,2,0,2,0,4,46525,145,-12,4,3106,-23,35
