Ratio Percentage,Primary Enc Counts From Zero,Secondary Enc Counts from zero,Clamping Force (lbf)
100,8009,35300,580
99,8142,35215,576
98,8276,35129,572
97,8411,35042,568
96,8549,34953,564
95,8689,34863,559
94,8831,34771,555
93,8975,34678,551
92,9121,34583,547
91,9270,34487,543
90,9420,34390,539
89,9573,34290,535
88,9728,34189,531
87,9886,34086,527
86,10046,33981,523
85,10208,33875,518
84,10373,33766,514
83,10541,33656,510
82,10711,33544,506
81,10884,33429,502
80,11060,33313,498
79,11239,33194,494
78,11420,33074,490
77,11605,32951,486
76,11793,32825,482
75,11984,32697,477
74,12178,32567,473
73,12375,32434,469
72,12576,32299,465
71,12781,32161,461
70,12988,32020,457
69,13200,31877,453
68,13415,31730,449
67,13634,31581,445
66,13858,31428,441
65,14085,31272,437
64,14316,31113,433
63,14552,30951,429
62,14792,30785,425
61,15036,30615,420
60,15286,30442,416
59,15540,30264,412
58,15799,30083,408
57,16063,29898,404
56,16332,29709,400
55,16607,29515,396
54,16887,29316,392
53,17173,29113,388
52,17464,28905,384
51,17762,28692,380
50,18065,28474,376
49,18375,28251,372
48,18692,28022,368
47,19015,27787,364
46,19346,27546,360
45,19683,27299,356
44,20028,27045,352
43,20381,26785,348
42,20742,26518,344
41,21110,26243,340
40,21487,25962,336
39,21873,25672,332
38,22267,25374,328
37,22671,25068,324
36,23085,24753,320
35,23508,24428,316
34,23942,24094,312
33,24386,23751,308
32,24841,23397,304
31,25307,23032,300
30,25786,22655,296
29,26276,22268,292
28,26779,21867,288
27,27294,21454,284
26,27823,21027,280
25,28366,20586,277
24,28924,20131,273
23,29496,19660,269
22,30084,19173,265
21,30688,18669,261
20,31308,18147,257
19,31946,17606,253
18,32601,17046,249
17,33275,16465,246
16,33968,15862,242
15,34681,15237,238
14,35415,14588,234
13,36169,13914,230
12,36946,13213,227
11,37746,12484,223
10,38570,11725,219
9,39418,10936,216
8,40291,10114,212
7,41191,9257,208
6,42117,8364,205
5,43072,7433,201
4,44055,6461,197
3,45069,5446,194
2,46113,4386,190
1,47188,3278,187
0,48296,2120,183
,0,0,
