time,,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
23084209,,1,1810,0,0,99,0,4,6016,1,0,4,15888,-106,0
23094132,,1,1809,0,0,99,0,4,6016,1,0,4,15888,-106,0
23104134,,1,1807,0,0,99,0,4,6016,1,0,4,15888,-107,0
23114137,,1,1805,0,0,99,0,4,6016,2,0,4,15888,-107,0
23124135,,1,1800,0,0,99,0,4,6016,2,0,4,15888,-107,0
23134137,,1,1801,0,0,99,0,4,6016,2,0,4,15888,-107,0
23144133,,1,1800,0,0,99,0,4,6016,2,0,4,15888,-106,0
23154135,,1,1800,0,0,99,0,4,6016,1,0,4,15888,-106,0
23164131,,1,1800,0,0,99,0,4,6016,1,0,4,15888,-107,0
23174132,,1,1801,0,0,99,0,4,6016,2,0,4,15888,-107,0
23184134,,1,1799,0,0,99,0,4,6016,2,0,4,15888,-106,0
23194137,,1,1801,0,0,99,0,4,6016,2,0,4,15888,-107,0
23204133,,1,1802,0,0,99,0,4,6016,2,0,4,15888,-107,0
23214136,,1,1805,0,0,99,0,4,6016,1,0,4,15888,-106,0
23224134,,1,1806,0,0,99,0,4,6016,1,0,4,15888,-106,0
23234136,,1,1808,0,0,99,0,4,6016,1,0,4,15888,-107,0
23244131,,1,1812,0,0,99,0,4,6016,2,0,4,15888,-106,0
23254136,,1,1812,0,0,99,0,4,6016,2,0,4,15888,-106,0
23264133,,1,1812,0,0,99,0,4,6016,2,0,4,15888,-107,0
23274137,,1,1804,0,0,99,0,4,6016,2,0,4,15888,-107,0
23284132,,1,1803,0,0,99,0,4,6016,2,0,4,15888,-106,0
23294136,,1,1802,0,0,99,0,4,6016,2,0,4,15888,-107,0
23304132,,1,1800,0,0,99,0,4,6016,2,0,4,15888,-107,0
23314135,,1,1793,0,0,99,0,4,6016,2,0,4,15888,-106,0
23324131,,1,1791,0,0,99,0,4,6016,2,0,4,15888,-107,0
23334137,,1,1792,0,0,99,0,4,6016,2,0,4,15888,-107,0
23344133,,1,1792,0,0,99,0,4,6016,2,0,4,15888,-107,0
23354135,,1,1794,0,0,99,0,4,6016,1,0,4,15888,-106,0
