time,,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
42424127,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42434127,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42444127,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42454127,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42464122,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42474122,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42484126,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42494126,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42504123,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42514123,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42524122,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42534122,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42544122,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42554127,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42564127,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42574122,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42584125,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42594125,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42604125,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42614125,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42624125,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42634124,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42644124,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42654124,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42664130,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42674122,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42684122,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42694122,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42704126,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42714126,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42724126,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42734127,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42744127,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42754125,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42764124,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42774123,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42784123,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42794122,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42804122,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42814122,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42824123,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42834127,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42844127,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42854126,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42864126,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42874126,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42884126,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
42894127,,1,0,0,0,99,0,3,7,-37,0,3,7,64,0
