time,,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
216894136,,1,2743,36,9,26,0,4,6008,3,0,4,22857,-28,1
216904136,,1,2741,36,9,26,0,4,6008,3,0,4,22857,-28,1
216914136,,1,2739,36,9,26,0,4,6008,3,0,4,22857,-27,1
216924133,,1,2744,36,9,26,0,4,6009,2,0,4,22857,-28,1
216934133,,1,2743,36,9,26,0,4,6009,3,0,4,22857,-27,1
216944135,,1,2748,36,9,26,0,4,6009,3,0,4,22857,-27,1
216954136,,1,2751,36,9,26,0,4,6009,3,0,4,22857,-27,1
216964137,,1,2752,36,9,26,0,4,6009,3,0,4,22857,-27,1
216974132,,1,2760,36,9,26,0,4,6009,3,0,4,22857,-28,1
216984197,,1,2763,36,9,26,0,4,6009,3,0,4,22857,-28,1
216994133,,1,2766,36,9,26,0,4,6009,3,0,4,22857,-27,1
217004132,,1,2766,36,9,26,0,4,6009,3,0,4,22857,-28,1
217014134,,1,2772,36,9,26,0,4,6009,3,0,4,22857,-27,1
217024135,,1,2773,36,9,26,0,4,6009,3,0,4,22857,-28,1
217034136,,1,2772,36,9,26,0,4,6009,3,0,4,22857,-27,1
217044131,,1,2776,36,9,26,0,4,6009,3,0,4,22857,-28,1
217054133,,1,2773,36,9,26,0,4,6009,3,0,4,22857,-27,1
217064137,,1,2776,36,9,26,0,4,6009,3,0,4,22857,-27,1
217074137,,1,2775,36,9,26,0,4,6009,3,0,4,22857,-28,1
217084132,,1,2777,36,9,26,0,4,6009,3,0,4,22857,-27,1
217094134,,1,2783,36,9,26,0,4,6009,2,0,4,22857,-28,1
217104136,,1,2770,36,9,26,0,4,6009,2,0,4,22857,-27,1
217114137,,1,2762,36,9,26,0,4,6009,3,0,4,22857,-28,1
217124132,,1,2751,36,9,26,0,4,6009,3,0,4,22857,-27,1
217134137,,1,2744,36,9,26,0,4,6009,3,0,4,22857,-28,1
217144137,,1,2741,36,9,26,0,4,6009,3,0,4,22857,-28,1
217154132,,1,2743,36,9,26,0,4,6009,3,0,4,22857,-27,1
217164133,,1,2743,36,9,26,0,4,6009,3,0,4,22857,-27,1
217174134,,1,2746,36,9,26,0,4,6009,3,0,4,22857,-27,1
217184136,,1,2750,36,9,26,0,4,6009,3,0,4,22857,-27,1
217194136,,1,2751,36,9,26,0,4,6009,3,0,4,22857,-28,1
217204136,,1,2752,36,9,26,0,4,6009,3,0,4,22857,-27,1
217214137,,1,2752,36,9,26,0,4,6009,4,0,4,22857,-28,1
217224137,,1,2760,36,9,26,0,4,6009,3,0,4,22857,-28,1
217234132,,1,2752,36,9,26,0,4,6009,3,0,4,22857,-27,1
217244134,,1,2747,36,9,26,0,4,6009,3,0,4,22857,-28,1
217254133,,1,2742,36,9,26,0,4,6009,3,0,4,22857,-27,1
217264135,,1,2736,36,9,26,0,4,6009,3,0,4,22857,-28,1
217274135,,1,2734,36,9,26,0,4,6009,3,0,4,22857,-27,1
217284136,,1,2739,36,9,26,0,4,6009,3,0,4,22857,-28,1
217294137,,1,2745,36,9,26,0,4,6009,3,0,4,22857,-27,1
217304136,,1,2739,36,9,26,0,4,6009,4,0,4,22857,-27,1
217314137,,1,2749,36,9,26,0,4,6009,3,0,4,22857,-28,1
217324132,,1,2750,36,9,26,0,4,6009,3,0,4,22857,-27,1
217334134,,1,2751,36,9,26,0,4,6009,3,0,4,22857,-28,1
217344135,,1,2758,36,9,26,0,4,6009,3,0,4,22857,-27,1
217354136,,1,2758,36,9,26,0,4,6009,3,0,4,22857,-28,1
217364131,,1,2755,36,9,26,0,4,6009,3,0,4,22857,-27,1
217374138,,1,2755,36,9,26,0,4,6009,3,0,4,22857,-28,1
217384132,,1,2756,36,9,26,0,4,6008,3,0,4,22857,-28,1
217394134,,1,2755,36,9,26,0,4,6008,3,0,4,22857,-27,1
217404135,,1,2753,36,9,26,0,4,6008,3,0,4,22857,-28,1
217414208,,1,2751,36,9,26,0,4,6008,3,0,4,22857,-27,1
217424132,,1,2744,36,9,26,0,4,6008,3,0,4,22857,-27,1
217434132,,1,2746,36,9,26,0,4,6008,4,0,4,22857,-27,1
217444134,,1,2740,36,9,26,0,4,6008,3,0,4,22856,-27,1
217454136,,1,2746,36,9,26,0,4,6008,3,0,4,22856,-28,1
217464136,,1,2752,36,9,26,0,4,6008,3,0,4,22856,-28,1
217474131,,1,2749,36,9,26,0,4,6008,3,0,4,22856,-27,1
217484133,,1,2753,36,9,26,0,4,6008,3,0,4,22856,-28,1
217494131,,1,2757,36,9,26,0,4,6008,3,0,4,22856,-27,1
217504132,,1,2756,36,9,26,0,4,6008,3,0,4,22856,-28,1
217514133,,1,2764,36,9,26,0,4,6008,3,0,4,22856,-27,1
217524135,,1,2767,36,9,26,0,4,6008,3,0,4,22856,-28,1
217534137,,1,2766,36,9,26,0,4,6008,3,0,4,22856,-27,1
217544136,,1,2756,36,9,26,0,4,6008,3,0,4,22856,-27,1
217554136,,1,2748,36,9,26,0,4,6008,3,0,4,22856,-28,1
217564131,,1,2739,36,9,26,0,4,6007,3,0,4,22856,-27,1
217574133,,1,2733,36,9,26,0,4,6007,3,0,4,22856,-28,1
217584135,,1,2727,36,9,26,0,4,6007,3,0,4,22856,-27,1
217594137,,1,2718,36,9,26,0,4,6007,3,0,4,22856,-28,1
217604137,,1,2709,36,9,26,0,4,6007,3,0,4,22856,-27,1
217614131,,1,2698,36,9,26,0,4,6007,3,0,4,22856,-28,1
217624137,,1,2701,36,9,26,0,4,6007,3,0,4,22856,-28,1
217634131,,1,2703,36,9,26,0,4,6007,3,0,4,22856,-27,1
217644133,,1,2709,36,9,26,0,4,6007,3,0,4,22856,-27,1
217654133,,1,2714,36,9,26,0,4,6007,3,0,4,22856,-27,1
217664134,,1,2717,36,9,26,0,4,6007,3,0,4,22856,-27,1
217674136,,1,2717,36,9,26,0,4,6007,3,0,4,22856,-27,1
217684131,,1,2725,36,9,26,0,4,6007,3,0,4,22856,-27,1
217694133,,1,2720,36,9,26,0,4,6007,3,0,4,22856,-27,1
217704131,,1,2726,36,9,26,0,4,6007,3,0,4,22856,-27,1
217714137,,1,2727,36,9,26,0,4,6007,3,0,4,22856,-27,1
217724132,,1,2731,36,9,26,0,4,6007,3,0,4,22856,-27,1
217734133,,1,2732,36,9,26,0,4,6007,3,0,4,22856,-27,1
217744135,,1,2734,36,9,26,0,4,6007,3,0,4,22856,-27,1
217754136,,1,2739,36,9,26,0,4,6007,3,0,4,22856,-27,1
217764136,,1,2739,36,9,26,0,4,6007,3,0,4,22856,-28,1
217774137,,1,2741,36,9,26,0,4,6007,3,0,4,22856,-27,1
217784137,,1,2742,36,9,26,0,4,6007,3,0,4,22856,-27,1
217794132,,1,2743,36,9,26,0,4,6007,3,0,4,22856,-28,1
217804133,,1,2741,36,9,26,0,4,6007,3,0,4,22856,-27,1
217814134,,1,2739,36,9,26,0,4,6007,3,0,4,22856,-28,1
217824134,,1,2738,36,9,26,0,4,6007,3,0,4,22856,-27,1
217834136,,1,2740,36,9,26,0,4,6007,3,0,4,22856,-28,1
217844136,,1,2732,36,9,26,0,4,6007,3,0,4,22856,-27,1
217854131,,1,2722,36,9,26,0,4,6007,3,0,4,22856,-28,1
217864131,,1,2713,36,9,26,0,4,6007,3,0,4,22856,-28,1
217874134,,1,2708,36,9,26,0,4,6007,3,0,4,22855,-27,1
217884136,,1,2698,36,9,26,0,4,6007,3,0,4,22855,-28,1
217894137,,1,2702,36,9,26,0,4,6007,3,0,4,22855,-27,1
217904132,,1,2702,36,9,26,0,4,6007,3,0,4,22855,-28,1
217914135,,1,2706,36,9,26,0,4,6007,3,0,4,22855,-27,1
217924134,,1,2705,36,9,26,0,4,6007,3,0,4,22855,-27,1
217934135,,1,2704,36,9,26,0,4,6007,3,0,4,22855,-27,1
217944150,,1,2708,36,9,26,0,4,6007,3,0,4,22855,-27,1
217954136,,1,2709,36,9,26,0,4,6007,3,0,4,22855,-27,1
217964131,,1,2711,36,9,26,0,4,6007,3,0,4,22855,-27,1
217974132,,1,2714,36,9,26,0,4,6007,3,0,4,22855,-27,1
217984133,,1,2711,36,9,26,0,4,6007,3,0,4,22855,-27,1
217994133,,1,2713,36,9,26,0,4,6007,3,0,4,22855,-27,1
218004134,,1,2715,36,9,26,0,4,6007,3,0,4,22855,-27,1
218014136,,1,2715,36,9,26,0,4,6007,3,0,4,22855,-27,1
218024137,,1,2723,36,9,26,0,4,6007,3,0,4,22855,-27,1
218034136,,1,2725,36,9,26,0,4,6007,3,0,4,22855,-27,1
218044137,,1,2729,36,9,26,0,4,6007,3,0,4,22855,-27,2
218054132,,1,2732,36,9,26,0,4,6007,3,0,4,22855,-27,2
218064133,,1,2735,36,9,26,0,4,6007,3,0,4,22855,-27,2
218074135,,1,2739,36,9,26,0,4,6007,3,0,4,22856,-27,2
218084136,,1,2743,36,9,26,0,4,6007,3,0,4,22856,-27,2
218094136,,1,2747,36,9,26,0,4,6007,3,0,4,22856,-28,1
218104137,,1,2748,36,9,26,0,4,6007,2,0,4,22856,-27,2
218114137,,1,2749,36,9,26,0,4,6007,3,0,4,22856,-27,2
218124132,,1,2753,36,9,26,0,4,6007,3,0,4,22856,-28,1
218134132,,1,2752,36,9,26,0,4,6007,3,0,4,22856,-27,2
218144136,,1,2759,36,9,26,0,4,6008,3,0,4,22856,-28,1
218154135,,1,2753,36,9,26,0,4,6008,3,0,4,22856,-27,2
218164132,,1,2743,36,9,26,0,4,6008,3,0,4,22857,-28,1
218174133,,1,2734,36,9,26,0,4,6008,3,0,4,22857,-27,2
218184135,,1,2728,36,9,26,0,4,6008,2,0,4,22857,-28,1
218194135,,1,2729,36,9,26,0,4,6008,2,0,4,22857,-28,1
218204135,,1,2733,36,9,26,0,4,6008,2,0,4,22857,-27,2
218214135,,1,2738,36,9,26,0,4,6008,3,0,4,22857,-28,1
218224137,,1,2744,36,9,26,0,4,6008,3,0,4,22857,-27,2
218234132,,1,2748,36,9,26,0,4,6008,3,0,4,22857,-28,1
218244133,,1,2740,36,9,26,0,4,6008,3,0,4,22857,-27,2
218254135,,1,2728,36,9,26,0,4,6008,3,0,4,22857,-27,2
218264134,,1,2723,36,9,26,0,4,6008,3,0,4,22857,-27,2
218274134,,1,2715,36,9,26,0,4,6008,3,0,4,22858,-27,2
218284135,,1,2713,36,9,26,0,4,6008,3,0,4,22858,-28,1
218294137,,1,2714,36,9,26,0,4,6008,3,0,4,22858,-28,1
218304131,,1,2718,36,9,26,0,4,6008,3,0,4,22858,-27,2
218314133,,1,2720,36,9,26,0,4,6008,3,0,4,22858,-28,1
218324133,,1,2727,36,9,26,0,4,6008,2,0,4,22858,-27,2
218334135,,1,2734,36,9,26,0,4,6008,2,0,4,22858,-28,1
218344136,,1,2735,36,9,26,0,4,6008,3,0,4,22858,-27,2
218354135,,1,2737,36,9,26,0,4,6008,3,0,4,22858,-27,2
218364136,,1,2744,36,9,26,0,4,6008,3,0,4,22858,-28,1
218374136,,1,2744,36,9,26,0,4,6008,3,0,4,22858,-27,2
218384137,,1,2744,36,9,26,0,4,6008,3,0,4,22858,-28,1
218394132,,1,2744,36,9,26,0,4,6008,3,0,4,22858,-27,2
218404135,,1,2744,36,9,26,0,4,6008,3,0,4,22858,-28,1
218414136,,1,2743,36,9,26,0,4,6008,3,0,4,22858,-27,2
218424137,,1,2733,36,9,26,0,4,6008,3,0,4,22859,-28,1
218434135,,1,2731,36,9,26,0,4,6008,3,0,4,22859,-28,1
218444132,,1,2722,36,9,26,0,4,6008,3,0,4,22858,-27,2
218454134,,1,2717,36,9,26,0,4,6008,2,0,4,22859,-28,1
218464135,,1,2715,36,9,26,0,4,6008,3,0,4,22859,-27,2
218474137,,1,2713,36,9,26,0,4,6008,3,0,4,22859,-28,1
218484137,,1,2715,36,9,26,0,4,6008,3,0,4,22859,-27,2
218494131,,1,2713,36,9,26,0,4,6008,3,0,4,22859,-28,1
218504132,,1,2716,36,9,26,0,4,6008,3,0,4,22859,-27,2
218514132,,1,2712,36,9,26,0,4,6008,3,0,4,22859,-27,2
218524133,,1,2712,36,9,26,0,4,6008,3,0,4,22859,-28,1
218534133,,1,2710,36,9,26,0,4,6008,3,0,4,22859,-27,2
218544135,,1,2707,36,9,26,0,4,6008,2,0,4,22859,-28,1
218554136,,1,2715,36,9,26,0,4,6008,2,0,4,22859,-27,2
218564137,,1,2715,36,9,26,0,4,6008,2,0,4,22859,-28,1
218574131,,1,2722,36,9,26,0,4,6008,3,0,4,22859,-28,1
218584133,,1,2724,36,9,26,0,4,6008,3,0,4,22859,-28,1
218594131,,1,2724,36,9,26,0,4,6008,3,0,4,22859,-28,1
218604133,,1,2723,36,9,26,0,4,6008,3,0,4,22859,-28,1
218614135,,1,2723,36,9,26,0,4,6008,3,0,4,22859,-28,1
218624136,,1,2725,36,9,26,0,4,6008,3,0,4,22859,-28,1
218634136,,1,2719,36,9,26,0,4,6008,3,0,4,22859,-28,1
218644136,,1,2717,36,9,26,0,4,6008,3,0,4,22859,-28,1
218654138,,1,2710,36,9,26,0,4,6008,3,0,4,22859,-27,1
218664133,,1,2703,36,9,26,0,4,6008,3,0,4,22859,-28,1
218674133,,1,2693,36,9,26,0,4,6008,2,0,4,22859,-28,1
218684134,,1,2703,36,9,26,0,4,6008,3,0,4,22859,-28,1
218694134,,1,2701,36,9,26,0,4,6008,3,0,4,22859,-28,1
218704134,,1,2709,36,9,26,0,4,6008,3,0,4,22859,-27,1
218714136,,1,2712,36,9,26,0,4,6008,3,0,4,22859,-28,1
218724137,,1,2719,36,9,26,0,4,6008,2,0,4,22859,-27,1
218734132,,1,2721,36,9,26,0,4,6008,3,0,4,22859,-28,1
218744134,,1,2724,36,9,26,0,4,6008,3,0,4,22859,-27,1
218754132,,1,2728,36,9,26,0,4,6008,3,0,4,22859,-27,1
218764134,,1,2729,36,9,26,0,4,6008,3,0,4,22858,-28,1
218774168,,1,2725,36,9,26,0,4,6008,3,0,4,22858,-27,1
218784136,,1,2721,36,9,26,0,4,6008,3,0,4,22858,-28,1
218794132,,1,2721,36,9,26,0,4,6007,3,0,4,22858,-27,1
218804133,,1,2719,36,9,26,0,4,6007,3,0,4,22858,-28,1
218814134,,1,2721,36,9,26,0,4,6007,3,0,4,22858,-27,1
218824136,,1,2720,36,9,26,0,4,6007,3,0,4,22858,-28,1
218834208,,1,2721,36,9,26,0,4,6007,3,0,4,22858,-27,1
218844132,,1,2725,36,9,26,0,4,6007,3,0,4,22858,-27,1
218854133,,1,2725,36,9,26,0,4,6007,3,0,4,22858,-28,1
218864133,,1,2725,36,9,26,0,4,6007,3,0,4,22858,-27,1
218874134,,1,2730,36,9,26,0,4,6007,3,0,4,22858,-28,1
218884136,,1,2735,36,9,26,0,4,6006,3,0,4,22858,-27,1
218894131,,1,2733,36,9,26,0,4,6006,3,0,4,22858,-28,1
218904132,,1,2739,36,9,26,0,4,6006,3,0,4,22858,-28,1
218914134,,1,2736,36,9,26,0,4,6007,3,0,4,22858,-28,1
218924132,,1,2740,36,9,26,0,4,6007,3,0,4,22858,-28,1
218934133,,1,2739,36,9,26,0,4,6007,3,0,4,22858,-28,1
218944134,,1,2743,36,9,26,0,4,6007,3,0,4,22858,-28,1
218954136,,1,2746,36,9,26,0,4,6007,3,0,4,22858,-28,1
218964137,,1,2747,36,9,26,0,4,6007,3,0,4,22858,-27,1
218974132,,1,2748,36,9,26,0,4,6006,3,0,4,22858,-28,1
218984135,,1,2752,36,9,26,0,4,6007,3,0,4,22858,-27,1
218994137,,1,2740,36,9,26,0,4,6006,3,0,4,22858,-28,1
219004137,,1,2729,36,9,26,0,4,6007,3,0,4,22858,-28,1
219014132,,1,2720,36,9,26,0,4,6007,3,0,4,22858,-27,1
219024134,,1,2711,36,9,26,0,4,6007,3,0,4,22858,-28,1
219034135,,1,2709,36,9,26,0,4,6006,3,0,4,22858,-27,1
219044136,,1,2695,36,9,26,0,4,6006,3,0,4,22858,-28,1
219054137,,1,2690,36,9,26,0,4,6006,3,0,4,22858,-27,1
219064137,,1,2678,36,9,26,0,4,6006,3,0,4,22858,-28,1
219074133,,1,2678,36,9,26,0,4,6007,3,0,4,22858,-27,1
219084132,,1,2680,36,9,26,0,4,6007,3,0,4,22858,-27,1
219094133,,1,2679,36,9,26,0,4,6007,3,0,4,22858,-28,1
