time,,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
17954123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
17964123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
17974118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
17984122,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
17994123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18004118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18014129,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18024121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18034121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18044121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18054120,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18064120,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18074120,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18084120,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18094121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18104118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18114118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18124194,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18134123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18144123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18154118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18164118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18174118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18184122,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18194122,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18204120,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18214120,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18224120,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18234121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18244121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18254121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18264118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18274123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18284123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18294123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18304123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18314118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18324118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18334118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18344127,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18354119,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18364119,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18374119,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18384118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18394118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18404118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18414119,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18424123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18434121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18444121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18454121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18464122,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18474122,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18484123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18494122,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18504121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18514119,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18524119,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18534119,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18544119,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18554119,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18564123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18574118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18584118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18594121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18604121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18614121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18624121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18634121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18644119,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18654119,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18664119,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18674149,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18684123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18694118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18704118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18714122,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18724123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18734123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18744123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18754118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18764121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18774121,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18784120,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18794120,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18804120,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18814120,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18824120,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18834120,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18844118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18854118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18864123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18874123,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18884118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18894118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18904118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
18914118,,1,0,0,0,99,0,3,8,-48,0,3,10,57,0
