time,,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
112684137,,1,2235,0,0,99,0,4,6008,1,0,4,11741,-98,0
112694139,,1,2238,0,0,99,0,4,6008,1,0,4,11741,-98,0
112704136,,1,2235,0,0,99,0,4,6008,1,0,4,11741,-98,0
112714135,,1,2235,0,0,99,0,4,6007,1,0,4,11741,-98,0
112724138,,1,2234,0,0,99,0,4,6007,1,0,4,11741,-98,0
112734140,,1,2235,0,0,99,0,4,6007,1,0,4,11741,-98,0
112744137,,1,2225,0,0,99,0,4,6007,1,0,4,11741,-98,0
112754171,,1,2223,0,0,99,0,4,6007,1,0,4,11741,-98,0
112764140,,1,2209,0,0,99,0,4,6007,1,0,4,11741,-98,0
112774136,,1,2208,0,0,99,0,4,6007,1,0,4,11741,-98,0
112784138,,1,2198,0,0,99,0,4,6007,1,0,4,11741,-98,0
112794136,,1,2200,0,0,99,0,4,6007,1,0,4,11741,-98,0
112804139,,1,2206,0,0,99,0,4,6007,1,0,4,11741,-98,0
112814137,,1,2218,0,0,99,0,4,6007,1,0,4,11741,-98,0
112824139,,1,2219,0,0,99,0,4,6007,1,0,4,11741,-98,0
112834212,,1,2230,0,0,99,0,4,6007,1,0,4,11741,-98,0
112844135,,1,2232,0,0,99,0,4,6007,1,0,4,11741,-98,0
112854209,,1,2229,0,0,99,0,4,6007,1,0,4,11741,-98,0
112864138,,1,2229,0,0,99,0,4,6007,1,0,4,11741,-98,0
112874135,,1,2225,0,0,99,0,4,6007,1,0,4,11741,-98,0
112884138,,1,2223,0,0,99,0,4,6007,1,0,4,11741,-98,0
112894135,,1,2223,0,0,99,0,4,6007,1,0,4,11741,-98,0
112904138,,1,2219,0,0,99,0,4,6007,1,0,4,11741,-98,0
112914138,,1,2213,0,0,99,0,4,6007,1,0,4,11741,-98,0
112924136,,1,2211,0,0,99,0,4,6007,1,0,4,11741,-98,0
112934140,,1,2204,0,0,99,0,4,6007,1,0,4,11741,-98,0
112944136,,1,2202,0,0,99,0,4,6007,1,0,4,11741,-98,0
112954140,,1,2201,0,0,99,0,4,6007,1,0,4,11741,-98,0
112964136,,1,2210,0,0,99,0,4,6007,1,0,4,11741,-98,0
112974140,,1,2218,0,0,99,0,4,6007,1,0,4,11741,-98,0
112984136,,1,2221,0,0,99,0,4,6007,1,0,4,11741,-98,0
112994136,,1,2234,0,0,99,0,4,6007,1,0,4,11741,-98,0
113004139,,1,2235,0,0,99,0,4,6007,1,0,4,11741,-98,0
113014137,,1,2241,0,0,99,0,4,6007,1,0,4,11741,-98,0
113024140,,1,2241,0,0,99,0,4,6007,1,0,4,11741,-98,0
113034137,,1,2253,0,0,99,0,4,6007,1,0,4,11741,-98,0
113044139,,1,2250,0,0,99,0,4,6007,1,0,4,11741,-98,0
113054137,,1,2256,0,0,99,0,4,6007,1,0,4,11741,-98,0
113064140,,1,2256,0,0,99,0,4,6007,1,0,4,11741,-98,0
113074135,,1,2257,0,0,99,0,4,6007,1,0,4,11741,-98,0
113084137,,1,2254,0,0,99,0,4,6007,1,0,4,11741,-98,0
113094140,,1,2253,0,0,99,0,4,6007,1,0,4,11741,-98,0
113104136,,1,2256,0,0,99,0,4,6007,1,0,4,11741,-98,0
113114140,,1,2259,0,0,99,0,4,6007,1,0,4,11741,-98,0
113124136,,1,2264,0,0,99,0,4,6007,1,0,4,11741,-98,0
113134140,,1,2264,0,0,99,0,4,6007,1,0,4,11741,-98,0
113144136,,1,2268,0,0,99,0,4,6007,1,0,4,11741,-98,0
113154136,,1,2272,0,0,99,0,4,6007,1,0,4,11741,-98,0
113164139,,1,2274,0,0,99,0,4,6007,1,0,4,11741,-98,0
113174137,,1,2270,0,0,99,0,4,6007,1,0,4,11741,-98,0
113184139,,1,2271,0,0,99,0,4,6007,1,0,4,11741,-98,0
113194136,,1,2270,0,0,99,0,4,6007,1,0,4,11741,-98,0
113204139,,1,2270,0,0,99,0,4,6007,1,0,4,11741,-98,0
113214137,,1,2267,0,0,99,0,4,6007,1,0,4,11741,-98,0
113224140,,1,2270,0,0,99,0,4,6007,1,0,4,11741,-98,0
113234134,,1,2266,0,0,99,0,4,6007,1,0,4,11741,-98,0
113244137,,1,2268,0,0,99,0,4,6007,1,0,4,11741,-98,0
113254134,,1,2265,0,0,99,0,4,6007,1,0,4,11741,-98,0
113264137,,1,2268,0,0,99,0,4,6007,1,0,4,11741,-98,0
113274134,,1,2264,0,0,99,0,4,6007,1,0,4,11741,-98,0
113284137,,1,2264,0,0,99,0,4,6007,1,0,4,11741,-98,0
113294135,,1,2254,0,0,99,0,4,6007,1,0,4,11741,-98,0
113304138,,1,2256,0,0,99,0,4,6007,1,0,4,11741,-98,0
113314138,,1,2247,0,0,99,0,4,6007,1,0,4,11741,-98,0
113324134,,1,2247,0,0,99,0,4,6007,1,0,4,11741,-98,0
113334138,,1,2255,0,0,99,0,4,6007,1,0,4,11741,-98,0
113344135,,1,2260,0,0,99,0,4,6007,1,0,4,11741,-98,0
113354139,,1,2267,0,0,99,0,4,6007,1,0,4,11741,-98,0
113364135,,1,2275,0,0,99,0,4,6007,1,0,4,11741,-98,0
113374139,,1,2282,0,0,99,0,4,6007,1,0,4,11741,-98,0
113384137,,1,2283,0,0,99,0,4,6007,1,0,4,11741,-98,0
113394136,,1,2283,0,0,99,0,4,6007,1,0,4,11741,-98,0
113404140,,1,2284,0,0,99,0,4,6007,1,0,4,11741,-98,0
113414136,,1,2284,0,0,99,0,4,6007,1,0,4,11741,-98,0
113424134,,1,2287,0,0,99,0,4,6007,1,0,4,11741,-98,0
113434137,,1,2286,0,0,99,0,4,6007,1,0,4,11741,-98,0
113444134,,1,2277,0,0,99,0,4,6007,1,0,4,11741,-98,0
113454137,,1,2275,0,0,99,0,4,6007,1,0,4,11741,-98,0
113464134,,1,2269,0,0,99,0,4,6007,1,0,4,11741,-98,0
113474139,,1,2265,0,0,99,0,4,6007,1,0,4,11741,-98,0
113484137,,1,2263,0,0,99,0,4,6007,1,0,4,11741,-98,0
113494140,,1,2273,0,0,99,0,4,6007,1,0,4,11741,-98,0
113504138,,1,2272,0,0,99,0,4,6007,1,0,4,11741,-98,0
113514140,,1,2277,0,0,99,0,4,6007,1,0,4,11741,-98,0
113524138,,1,2282,0,0,99,0,4,6007,1,0,4,11741,-98,0
113534140,,1,2285,0,0,99,0,4,6007,1,0,4,11741,-98,0
113544137,,1,2281,0,0,99,0,4,6007,1,0,4,11741,-98,0
113554136,,1,2278,0,0,99,0,4,6007,1,0,4,11741,-98,0
113564134,,1,2273,0,0,99,0,4,6007,1,0,4,11741,-98,0
113574137,,1,2270,0,0,99,0,4,6007,1,0,4,11741,-98,0
113584140,,1,2265,0,0,99,0,4,6007,1,0,4,11741,-98,0
113594136,,1,2265,0,0,99,0,4,6007,1,0,4,11741,-98,0
113604140,,1,2261,0,0,99,0,4,6007,1,0,4,11741,-98,0
113614136,,1,2259,0,0,99,0,4,6007,1,0,4,11741,-98,0
113624134,,1,2257,0,0,99,0,4,6007,1,0,4,11741,-98,0
113634134,,1,2254,0,0,99,0,4,6007,1,0,4,11741,-98,0
113644137,,1,2256,0,0,99,0,4,6007,1,0,4,11741,-98,0
113654140,,1,2258,0,0,99,0,4,6007,1,0,4,11741,-98,0
113664137,,1,2268,0,0,99,0,4,6007,1,0,4,11741,-98,0
113674140,,1,2269,0,0,99,0,4,6007,1,0,4,11741,-98,0
113684137,,1,2277,0,0,99,0,4,6007,1,0,4,11741,-98,0
113694139,,1,2281,0,0,99,0,4,6007,1,0,4,11741,-98,0
113704138,,1,2284,0,0,99,0,4,6007,1,0,4,11741,-98,0
113714138,,1,2290,0,0,99,0,4,6007,1,0,4,11741,-98,0
113724134,,1,2293,0,0,99,0,4,6007,1,0,4,11741,-98,0
113734138,,1,2295,0,0,99,0,4,6007,1,0,4,11741,-98,0
113744134,,1,2299,0,0,99,0,4,6007,1,0,4,11741,-98,0
113754139,,1,2298,0,0,99,0,4,6007,1,0,4,11741,-98,0
113764135,,1,2296,0,0,99,0,4,6007,1,0,4,11741,-98,0
113774140,,1,2294,0,0,99,0,4,6007,1,0,4,11741,-98,0
113784136,,1,2288,0,0,99,0,4,6007,1,0,4,11741,-98,0
113794136,,1,2289,0,0,99,0,4,6007,1,0,4,11741,-98,0
113804138,,1,2288,0,0,99,0,4,6007,1,0,4,11741,-98,0
113814136,,1,2291,0,0,99,0,4,6007,1,0,4,11741,-98,0
113824138,,1,2291,0,0,99,0,4,6007,1,0,4,11741,-98,0
113834136,,1,2295,0,0,99,0,4,6007,1,0,4,11741,-98,0
113844139,,1,2293,0,0,99,0,4,6007,1,0,4,11741,-98,0
113854137,,1,2292,0,0,99,0,4,6007,1,0,4,11741,-98,0
113864139,,1,2286,0,0,99,0,4,6007,1,0,4,11741,-98,0
113874140,,1,2278,0,0,99,0,4,6007,1,0,4,11741,-98,0
113884136,,1,2274,0,0,99,0,4,6007,1,0,4,11741,-98,0
113894139,,1,2261,0,0,99,0,4,6007,1,0,4,11741,-98,0
113904136,,1,2258,0,0,99,0,4,6007,1,0,4,11741,-98,0
113914140,,1,2259,0,0,99,0,4,6007,1,0,4,11741,-98,0
113924136,,1,2259,0,0,99,0,4,6007,1,0,4,11741,-98,0
113934140,,1,2258,0,0,99,0,4,6007,1,0,4,11741,-98,0
113944136,,1,2261,0,0,99,0,4,6007,1,0,4,11741,-98,0
113954135,,1,2261,0,0,99,0,4,6007,1,0,4,11741,-98,0
113964140,,1,2267,0,0,99,0,4,6007,1,0,4,11741,-98,0
113974136,,1,2269,0,0,99,0,4,6007,1,0,4,11741,-98,0
113984134,,1,2279,0,0,99,0,4,6007,1,0,4,11741,-98,0
113994137,,1,2287,0,0,99,0,4,6007,1,0,4,11741,-98,0
114004140,,1,2291,0,0,99,0,4,6007,1,0,4,11741,-98,0
114014136,,1,2288,0,0,99,0,4,6007,1,0,4,11741,-98,0
