time,,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
168744141,,1,1822,0,0,99,0,4,6032,1,0,4,14525,-96,0
168754139,,1,1828,0,0,99,0,4,6032,1,0,4,14525,-96,0
168764137,,1,1831,0,0,99,0,4,6032,1,0,4,14525,-96,0
168774140,,1,1832,0,0,99,0,4,6032,1,0,4,14525,-96,0
168784136,,1,1829,0,0,99,0,4,6032,1,0,4,14525,-96,0
168794139,,1,1825,0,0,99,0,4,6032,1,0,4,14525,-95,0
168804136,,1,1813,0,0,99,0,4,6032,1,0,4,14525,-96,0
168814138,,1,1810,0,0,99,0,4,6032,1,0,4,14525,-96,0
168824141,,1,1804,0,0,99,0,4,6032,1,0,4,14525,-95,0
168834137,,1,1798,0,0,99,0,4,6032,1,0,4,14525,-96,0
168844136,,1,1795,0,0,99,0,4,6032,1,0,4,14525,-96,0
168854140,,1,1795,0,0,99,0,4,6032,1,0,4,14525,-96,0
168864136,,1,1798,0,0,99,0,4,6032,1,0,4,14525,-95,0
168874138,,1,1801,0,0,99,0,4,6032,1,0,4,14525,-96,0
168884141,,1,1801,0,0,99,0,4,6032,1,0,4,14525,-96,0
168894136,,1,1803,0,0,99,0,4,6032,1,0,4,14525,-95,0
168904141,,1,1807,0,0,99,0,4,6032,1,0,4,14525,-96,0
168914136,,1,1816,0,0,99,0,4,6032,1,0,4,14525,-96,0
168924138,,1,1820,0,0,99,0,4,6032,1,0,4,14525,-95,0
168934138,,1,1822,0,0,99,0,4,6032,1,0,4,14525,-95,0
168944135,,1,1838,0,0,99,0,4,6032,1,0,4,14525,-96,0
168954138,,1,1845,0,0,99,0,4,6032,1,0,4,14525,-96,0
168964140,,1,1851,0,0,99,0,4,6032,1,0,4,14525,-95,0
168974137,,1,1855,0,0,99,0,4,6032,1,0,4,14525,-96,0
168984136,,1,1845,0,0,99,0,4,6032,1,0,4,14525,-96,0
168994138,,1,1842,0,0,99,0,4,6032,1,0,4,14525,-95,0
169004135,,1,1831,0,0,99,0,4,6032,1,0,4,14525,-96,0
169014140,,1,1824,0,0,99,0,4,6032,1,0,4,14525,-96,0
169024136,,1,1818,0,0,99,0,4,6032,1,0,4,14525,-96,0
169034140,,1,1806,0,0,99,0,4,6032,2,0,4,14525,-95,0
169044136,,1,1799,0,0,99,0,4,6032,1,0,4,14525,-96,0
169054139,,1,1792,0,0,99,0,4,6032,1,0,4,14525,-95,0
169064141,,1,1787,0,0,99,0,4,6032,1,0,4,14525,-95,0
169074137,,1,1780,0,0,99,0,4,6032,1,0,4,14525,-96,0
169084139,,1,1775,0,0,99,0,4,6032,1,0,4,14525,-96,0
169094140,,1,1761,0,0,99,0,4,6032,1,0,4,14525,-96,0
169104136,,1,1759,0,0,99,0,4,6032,1,0,4,14525,-95,0
169114138,,1,1765,0,0,99,0,4,6032,1,0,4,14525,-96,0
169124135,,1,1773,0,0,99,0,4,6032,1,0,4,14525,-95,0
169134137,,1,1780,0,0,99,0,4,6032,1,0,4,14525,-95,0
169144135,,1,1798,0,0,99,0,4,6032,1,0,4,14525,-96,0
169154138,,1,1809,0,0,99,0,4,6032,1,0,4,14525,-95,0
169164140,,1,1820,0,0,99,0,4,6032,1,0,4,14525,-96,0
169174212,,1,1826,0,0,99,0,4,6032,1,0,4,14525,-96,0
169184137,,1,1825,0,0,99,0,4,6032,1,0,4,14525,-96,0
169194140,,1,1819,0,0,99,0,4,6032,1,0,4,14525,-95,0
169204138,,1,1818,0,0,99,0,4,6032,1,0,4,14525,-95,0
169214140,,1,1818,0,0,99,0,4,6032,1,0,4,14525,-96,0
169224136,,1,1815,0,0,99,0,4,6032,1,0,4,14525,-95,0
169234139,,1,1811,0,0,99,0,4,6032,1,0,4,14525,-96,0
169244135,,1,1813,0,0,99,0,4,6032,1,0,4,14525,-96,0
169254137,,1,1817,0,0,99,0,4,6032,1,0,4,14525,-95,0
169264136,,1,1821,0,0,99,0,4,6032,1,0,4,14525,-95,0
169274139,,1,1818,0,0,99,0,4,6032,1,0,4,14525,-96,0
169284137,,1,1823,0,0,99,0,4,6032,1,0,4,14525,-96,0
169294140,,1,1826,0,0,99,0,4,6032,1,0,4,14525,-95,0
169304135,,1,1829,0,0,99,0,4,6032,1,0,4,14525,-96,0
169314138,,1,1827,0,0,99,0,4,6032,1,0,4,14525,-96,0
169324141,,1,1823,0,0,99,0,4,6032,1,0,4,14525,-95,0
169334138,,1,1822,0,0,99,0,4,6032,1,0,4,14525,-96,0
169344137,,1,1822,0,0,99,0,4,6032,1,0,4,14525,-96,0
169354140,,1,1820,0,0,99,0,4,6032,1,0,4,14525,-96,0
169364135,,1,1818,0,0,99,0,4,6032,1,0,4,14525,-95,0
169374139,,1,1814,0,0,99,0,4,6032,1,0,4,14525,-96,0
169384135,,1,1817,0,0,99,0,4,6032,1,0,4,14525,-96,0
169394137,,1,1815,0,0,99,0,4,6032,1,0,4,14525,-95,0
