time,,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
67294123,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67304122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67314124,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67324125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67334121,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67344124,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67354126,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67364122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67374122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67384124,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67394126,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67404122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67414124,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67424126,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67434123,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67444122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67454124,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67464126,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67474122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67484136,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67494125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67504122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67514125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67524124,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67534126,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67544122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67554125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67564121,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67574122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67584125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67594123,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67604125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67614122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67624124,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67634121,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67644123,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67654124,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67664123,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67674126,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67684122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67694124,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67704126,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67714123,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67724125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67734126,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67744125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67754121,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67764123,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67774125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67784122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67794124,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67804121,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67814125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67824121,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67834124,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67844126,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67854122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67864125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67874121,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67884126,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67894122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67904124,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67914126,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67924123,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67934125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67944121,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67954198,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67964123,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67974125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67984126,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
67994123,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
68004125,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
68014122,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
68024124,,1,0,0,0,99,0,3,7,-43,0,3,10,52,0
