time,engineEngaged,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
85454123,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85464125,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85474127,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85484123,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85494125,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85504127,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85514123,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85524122,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85534125,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85544126,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85554123,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85564125,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85574127,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85584122,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85594124,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85604123,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85614127,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85624122,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85634125,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85644127,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85654124,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85664126,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85674122,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85684126,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85694124,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
85704126,false,1,0,0,0,99,0,3,9,-24,0,3,9,51,0
