time,engineEngaged,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
96894135,false,1,1818,100,49,83,0,4,5976,2,0,4,32597,-26,3
96904132,false,1,1816,100,49,83,0,4,5976,2,0,4,32597,-26,3
96914135,false,1,1813,100,49,83,0,4,5976,2,0,4,32597,-26,3
96924133,false,1,1811,100,49,83,0,4,5976,2,0,4,32597,-26,3
96934133,false,1,1810,100,49,83,0,4,5976,2,0,4,32597,-26,3
96944137,false,1,1806,100,49,83,0,4,5976,2,0,4,32597,-26,3
96954134,false,1,1803,100,49,83,0,4,5976,2,0,4,32597,-26,3
96964132,false,1,1802,100,49,83,0,4,5975,2,1,4,32597,-26,3
96974137,false,1,1797,100,49,83,0,4,5976,2,0,4,32597,-26,3
96984134,false,1,1794,100,49,83,0,4,5976,2,0,4,32597,-26,3
96994137,false,1,1789,100,49,83,0,4,5976,2,0,4,32597,-26,3
97004135,false,1,1778,100,49,83,0,4,5976,2,0,4,32597,-26,3
97014133,false,1,1773,100,49,83,0,4,5976,2,0,4,32597,-26,3
97024133,false,1,1769,100,49,83,0,4,5976,2,0,4,32597,-26,3
97034136,false,1,1765,100,49,83,0,4,5976,2,0,4,32597,-26,3
97044133,false,1,1761,100,49,83,0,4,5976,2,0,4,32597,-26,3
97054138,false,1,1755,100,49,83,0,4,5976,2,0,4,32597,-26,3
97064135,false,1,1752,100,49,83,0,4,5976,2,0,4,32597,-26,3
97074133,false,1,1748,100,49,83,0,4,5976,2,0,4,32597,-26,3
97084136,false,1,1746,100,49,83,0,4,5976,2,0,4,32597,-26,3
97094134,false,1,1743,100,49,83,0,4,5976,2,0,4,32597,-26,3
97104137,false,1,1739,100,49,83,0,4,5976,2,0,4,32597,-26,3
97114137,false,1,1741,100,49,83,0,4,5976,2,0,4,32597,-26,3
97124135,false,1,1745,100,49,83,0,4,5976,2,0,4,32597,-26,3
