time,,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
136764133,,1,1829,100,49,91,0,4,6042,2,0,4,32023,-40,0
136774135,,1,1824,100,49,91,0,4,6042,2,0,4,32023,-40,0
136784137,,1,1814,100,49,91,0,4,6042,2,0,4,32023,-40,0
136794135,,1,1813,100,49,91,0,4,6042,3,0,4,32023,-40,0
136804136,,1,1817,100,49,91,0,4,6042,3,0,4,32023,-40,0
136814137,,1,1820,100,49,91,0,4,6042,3,0,4,32023,-40,0
136824133,,1,1827,100,49,91,0,4,6042,3,0,4,32023,-40,0
136834135,,1,1831,100,49,91,0,4,6042,3,0,4,32023,-40,0
136844136,,1,1836,100,49,91,0,4,6042,3,0,4,32023,-40,0
136854137,,1,1839,100,49,91,0,4,6042,3,0,4,32023,-40,0
136864138,,1,1841,100,49,91,0,4,6042,3,0,4,32023,-40,0
136874133,,1,1827,100,49,91,0,4,6042,3,0,4,32023,-40,0
136884136,,1,1818,100,49,91,0,4,6042,3,0,4,32023,-40,0
136894132,,1,1810,100,49,91,0,4,6043,3,-1,4,32023,-40,0
136904134,,1,1802,100,49,91,0,4,6042,3,0,4,32023,-40,0
136914135,,1,1792,100,49,91,0,4,6042,3,0,4,32023,-40,0
136924132,,1,1777,100,49,91,0,4,6042,3,0,4,32023,-40,0
136934133,,1,1769,100,49,91,0,4,6042,3,0,4,32023,-40,0
136944134,,1,1762,100,49,91,0,4,6042,3,0,4,32023,-40,-1
136954135,,1,1756,100,49,91,0,4,6042,3,0,4,32023,-40,-1
136964137,,1,1748,100,49,91,0,4,6042,3,0,4,32022,-40,-1
136974134,,1,1742,100,49,91,0,4,6042,3,0,4,32022,-40,-1
136984136,,1,1736,100,49,91,0,4,6042,3,0,4,32021,-40,-1
136994133,,1,1725,100,49,91,0,4,6042,3,0,4,32020,-40,-1
137004133,,1,1734,100,49,91,0,4,6042,3,0,4,32020,-40,-1
137014136,,1,1744,100,49,91,0,4,6042,3,0,4,32019,-40,-1
137024138,,1,1754,100,49,91,0,4,6042,3,0,4,32018,-40,-1
137034133,,1,1764,100,49,91,0,4,6042,3,0,4,32017,-40,-1
137044137,,1,1787,100,49,91,0,4,6042,3,0,4,32016,-40,-1
137054132,,1,1798,100,49,91,0,4,6042,3,0,4,32015,-40,-1
137064135,,1,1806,100,49,91,0,4,6042,3,0,4,32014,-40,-1
137074134,,1,1812,100,49,91,0,4,6042,3,0,4,32013,-40,-1
137084138,,1,1820,100,49,91,0,4,6042,3,0,4,32012,-40,-1
137094133,,1,1827,100,49,91,0,4,6042,3,0,4,32011,-40,-1
137104133,,1,1831,100,49,91,0,4,6042,3,0,4,32011,-40,-1
137114135,,1,1834,100,49,91,0,4,6042,3,0,4,32011,-40,-1
137124136,,1,1842,100,49,91,0,4,6042,3,0,4,32010,-40,-1
137134138,,1,1838,100,49,91,0,4,6042,3,0,4,32010,-40,-1
137144132,,1,1830,100,49,91,0,4,6042,3,0,4,32010,-40,-1
137154132,,1,1822,100,49,91,0,4,6042,3,0,4,32010,-40,-2
137164136,,1,1813,100,49,91,0,4,6042,3,0,4,32010,-40,-2
137174133,,1,1805,100,49,91,0,4,6042,3,0,4,32008,-40,-2
137184137,,1,1787,100,49,91,0,4,6042,3,0,4,32006,-40,-2
137194134,,1,1779,100,49,91,0,4,6042,3,0,4,32003,-40,-2
137204134,,1,1779,100,49,91,0,4,6042,3,0,4,31999,-40,-1
137214133,,1,1780,100,49,91,0,4,6042,3,0,4,31995,-40,-1
137224132,,1,1780,100,49,91,0,4,6042,3,0,4,31991,-40,-1
137234138,,1,1782,100,49,91,0,4,6042,3,0,4,31988,-40,-1
137244134,,1,1782,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137254138,,1,1783,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137264132,,1,1787,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137274132,,1,1795,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137284135,,1,1810,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137294137,,1,1815,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137304138,,1,1825,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137314132,,1,1834,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137324134,,1,1846,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137334135,,1,1843,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137344138,,1,1839,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137354132,,1,1833,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137364133,,1,1830,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137374135,,1,1819,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137384137,,1,1812,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137394138,,1,1810,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137404138,,1,1812,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137414138,,1,1812,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137424133,,1,1817,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137434137,,1,1818,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137444138,,1,1819,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137454132,,1,1822,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137464132,,1,1824,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137474135,,1,1823,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137484136,,1,1820,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137494137,,1,1820,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137504138,,1,1818,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137514133,,1,1820,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137524134,,1,1820,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137534132,,1,1822,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137544132,,1,1824,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137554133,,1,1827,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137564136,,1,1832,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137574137,,1,1833,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137584138,,1,1835,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137594132,,1,1835,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137604133,,1,1836,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137614134,,1,1835,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137624132,,1,1836,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137634132,,1,1833,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137644134,,1,1833,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137654138,,1,1833,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137664132,,1,1829,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137674133,,1,1823,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137684134,,1,1820,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137694135,,1,1816,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137704132,,1,1811,100,49,91,0,4,6043,2,-1,4,31986,-40,-1
137714137,,1,1806,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137724138,,1,1803,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137734132,,1,1800,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137744134,,1,1796,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137754136,,1,1790,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137764136,,1,1787,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137774137,,1,1782,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137784138,,1,1781,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137794138,,1,1777,100,49,91,0,4,6042,3,0,4,31986,-40,-1
137804138,,1,1775,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137814138,,1,1776,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137824138,,1,1776,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137834134,,1,1775,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137844135,,1,1775,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137854136,,1,1773,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137864138,,1,1780,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137874132,,1,1784,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137884133,,1,1787,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137894134,,1,1792,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137904139,,1,1801,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137914133,,1,1805,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137924135,,1,1808,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137934136,,1,1810,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137944137,,1,1815,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137954138,,1,1817,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137964132,,1,1822,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137974133,,1,1823,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137984133,,1,1828,100,49,91,0,4,6042,2,0,4,31986,-40,-1
137994138,,1,1830,100,49,91,0,4,6042,2,0,4,31986,-40,-1
138004133,,1,1831,100,49,91,0,4,6042,2,0,4,31986,-40,-1
138014134,,1,1831,100,49,91,0,4,6042,2,0,4,31986,-40,-1
138024135,,1,1832,100,49,91,0,4,6042,2,0,4,31986,-40,-1
138034136,,1,1833,100,49,91,0,4,6042,2,0,4,31986,-40,-1
138044138,,1,1835,100,49,91,0,4,6042,2,0,4,31986,-40,-1
138054138,,1,1835,100,49,91,0,4,6042,2,0,4,31986,-40,-1
138064138,,1,1835,100,49,91,0,4,6042,2,0,4,31986,-40,-1
138074132,,1,1832,100,49,91,0,4,6042,2,0,4,31986,-40,-1
138084136,,1,1832,100,49,91,0,4,6042,2,0,4,31986,-40,-1
138094138,,1,1828,100,49,91,0,4,6042,2,0,4,31986,-40,-1
138104133,,1,1827,100,49,91,0,4,6042,2,0,4,31986,-40,-1
