time,engineEngaged,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
21504132,false,1,1834,0,0,0,0,4,5990,1,0,4,13099,-120,0
21514134,false,1,1822,0,0,0,0,4,5990,1,0,4,13099,-120,0
21524136,false,1,1815,0,0,0,0,4,5990,1,0,4,13099,-120,0
21534137,false,1,1807,0,0,0,0,4,5990,1,0,4,13099,-120,0
21544133,false,1,1803,0,0,0,0,4,5990,1,0,4,13099,-120,0
21554134,false,1,1797,0,0,0,0,4,5990,1,0,4,13099,-120,0
21564136,false,1,1791,0,0,0,0,4,5990,1,0,4,13099,-120,0
21574137,false,1,1790,0,0,0,0,4,5990,1,0,4,13099,-120,0
21584132,false,1,1791,0,0,0,0,4,5990,1,0,4,13099,-120,0
21594133,false,1,1792,0,0,0,0,4,5990,1,0,4,13099,-120,0
21604133,false,1,1791,0,0,0,0,4,5990,1,0,4,13099,-120,0
21614136,false,1,1790,0,0,0,0,4,5990,1,0,4,13099,-120,0
21624136,false,1,1794,0,0,0,0,4,5990,1,0,4,13099,-120,0
21634134,false,1,1792,0,0,0,0,4,5990,1,0,4,13099,-120,0
21644135,false,1,1796,0,0,0,0,4,5990,1,0,4,13099,-120,0
21654136,false,1,1795,0,0,0,0,4,5990,1,0,4,13099,-120,0
21664137,false,1,1797,0,0,0,0,4,5990,1,0,4,13099,-120,0
21674133,false,1,1793,0,0,0,0,4,5990,1,0,4,13099,-120,0
21684134,false,1,1800,0,0,0,0,4,5990,1,0,4,13099,-120,0
21694135,false,1,1798,0,0,0,0,4,5990,1,0,4,13099,-120,0
21704136,false,1,1804,0,0,0,0,4,5990,1,0,4,13099,-120,0
21714138,false,1,1809,0,0,0,0,4,5990,1,0,4,13099,-120,0
21724135,false,1,1815,0,0,0,0,4,5990,1,0,4,13099,-120,0
21734137,false,1,1817,0,0,0,0,4,5990,1,0,4,13099,-120,0
21744138,false,1,1824,0,0,0,0,4,5990,1,0,4,13099,-120,0
21754138,false,1,1821,0,0,0,0,4,5990,1,0,4,13099,-120,0
21764135,false,1,1828,0,0,0,0,4,5990,1,0,4,13099,-120,0
21774135,false,1,1828,0,0,0,0,4,5990,1,0,4,13099,-120,0
21784135,false,1,1826,0,0,0,0,4,5990,1,0,4,13099,-120,0
21794136,false,1,1826,0,0,0,0,4,5990,1,0,4,13099,-120,0
21804132,false,1,1824,0,0,0,0,4,5990,1,0,4,13099,-120,0
21814136,false,1,1829,0,0,0,0,4,5990,1,0,4,13099,-120,0
21824136,false,1,1828,0,0,0,0,4,5990,1,0,4,13099,-120,0
21834138,false,1,1821,0,0,0,0,4,5990,1,0,4,13099,-120,0
21844132,false,1,1817,0,0,0,0,4,5990,1,0,4,13099,-120,0
21854136,false,1,1806,0,0,0,0,4,5990,1,0,4,13099,-120,0
21864136,false,1,1802,0,0,0,0,4,5990,1,0,4,13099,-120,0
21874136,false,1,1796,0,0,0,0,4,5990,1,0,4,13099,-120,0
21884137,false,1,1788,0,0,0,0,4,5990,1,0,4,13099,-120,0
21894138,false,1,1780,0,0,0,0,4,5990,1,0,4,13099,-120,0
21904133,false,1,1779,0,0,0,0,4,5990,1,0,4,13099,-120,0
21914138,false,1,1776,0,0,0,0,4,5990,1,0,4,13099,-120,0
21924138,false,1,1772,0,0,0,0,4,5990,1,0,4,13099,-120,0
21934133,false,1,1772,0,0,0,0,4,5990,1,0,4,13099,-120,0
21944135,false,1,1771,0,0,0,0,4,5990,1,0,4,13099,-120,0
21954136,false,1,1768,0,0,0,0,4,5990,1,0,4,13099,-120,0
21964138,false,1,1774,0,0,0,0,4,5990,1,0,4,13099,-120,0
21974138,false,1,1779,0,0,0,0,4,5990,1,0,4,13099,-120,0
21984138,false,1,1784,0,0,0,0,4,5990,1,0,4,13099,-120,0
21994132,false,1,1789,0,0,0,0,4,5990,1,0,4,13099,-120,0
22004136,false,1,1796,0,0,0,0,4,5990,1,0,4,13099,-120,0
22014132,false,1,1809,0,0,0,0,4,5990,1,0,4,13099,-120,0
22024132,false,1,1812,0,0,0,0,4,5990,1,0,4,13099,-120,0
22034135,false,1,1813,0,0,0,0,4,5990,1,0,4,13099,-120,0
22044135,false,1,1811,0,0,0,0,4,5990,1,0,4,13099,-120,0
22054138,false,1,1821,0,0,0,0,4,5990,1,0,4,13099,-120,0
22064132,false,1,1818,0,0,0,0,4,5990,1,0,4,13099,-120,0
22074133,false,1,1820,0,0,0,0,4,5990,1,0,4,13099,-120,0
22084134,false,1,1820,0,0,0,0,4,5990,1,0,4,13099,-120,0
22094138,false,1,1822,0,0,0,0,4,5990,1,0,4,13099,-120,0
22104134,false,1,1818,0,0,0,0,4,5990,1,0,4,13099,-120,0
22114135,false,1,1807,0,0,0,0,4,5990,1,0,4,13099,-120,0
22124135,false,1,1803,0,0,0,0,4,5990,1,0,4,13099,-120,0
22134133,false,1,1795,0,0,0,0,4,5990,1,0,4,13099,-120,0
22144134,false,1,1792,0,0,0,0,4,5990,1,0,4,13099,-120,0
22154135,false,1,1788,0,0,0,0,4,5990,1,0,4,13099,-120,0
22164137,false,1,1783,0,0,0,0,4,5990,1,0,4,13099,-120,0
22174138,false,1,1781,0,0,0,0,4,5990,1,0,4,13099,-120,0
22184136,false,1,1784,0,0,0,0,4,5990,1,0,4,13099,-120,0
