time,,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
32164136,,1,1820,0,0,0,0,4,5976,2,0,4,14361,-111,0
32174133,,1,1815,0,0,0,0,4,5976,2,0,4,14361,-111,0
32184134,,1,1817,0,0,0,0,4,5976,2,0,4,14361,-111,0
32194134,,1,1814,0,0,0,0,4,5976,2,0,4,14361,-111,0
32204135,,1,1808,0,0,0,0,4,5976,2,0,4,14361,-111,0
32214136,,1,1799,0,0,0,0,4,5976,2,0,4,14361,-111,0
32224137,,1,1804,0,0,0,0,4,5976,2,0,4,14361,-111,0
32234132,,1,1805,0,0,0,0,4,5976,2,0,4,14361,-111,0
32244133,,1,1807,0,0,0,0,4,5976,2,0,4,14361,-111,0
32254135,,1,1809,0,0,0,0,4,5976,2,0,4,14361,-111,0
32264133,,1,1814,0,0,0,0,4,5976,2,0,4,14361,-111,0
32274134,,1,1818,0,0,0,0,4,5976,2,0,4,14361,-111,0
32284135,,1,1819,0,0,0,0,4,5976,2,0,4,14361,-111,0
32294135,,1,1817,0,0,0,0,4,5976,2,0,4,14361,-111,0
32304137,,1,1816,0,0,0,0,4,5976,2,0,4,14361,-111,0
32314138,,1,1814,0,0,0,0,4,5976,2,0,4,14361,-111,0
32324134,,1,1810,0,0,0,0,4,5976,2,0,4,14361,-111,0
32334135,,1,1806,0,0,0,0,4,5976,2,0,4,14361,-111,0
32344136,,1,1806,0,0,0,0,4,5976,2,0,4,14361,-111,0
32354135,,1,1800,0,0,0,0,4,5976,2,0,4,14361,-111,0
32364135,,1,1796,0,0,0,0,4,5976,2,0,4,14361,-111,0
32374136,,1,1789,0,0,0,0,4,5976,2,0,4,14361,-111,0
32384137,,1,1787,0,0,0,0,4,5976,2,0,4,14361,-111,0
32394137,,1,1782,0,0,0,0,4,5976,2,0,4,14361,-111,0
32404137,,1,1778,0,0,0,0,4,5976,2,0,4,14361,-111,0
32414134,,1,1769,0,0,0,0,4,5976,2,0,4,14361,-111,0
32424135,,1,1767,0,0,0,0,4,5976,2,0,4,14361,-111,0
32434135,,1,1770,0,0,0,0,4,5976,2,0,4,14361,-111,0
32444132,,1,1769,0,0,0,0,4,5976,2,0,4,14361,-111,0
32454133,,1,1769,0,0,0,0,4,5976,2,0,4,14361,-111,0
32464135,,1,1770,0,0,0,0,4,5976,2,0,4,14361,-111,0
32474135,,1,1769,0,0,0,0,4,5976,2,0,4,14361,-111,0
32484136,,1,1770,0,0,0,0,4,5976,2,0,4,14361,-111,0
32494137,,1,1775,0,0,0,0,4,5976,2,0,4,14361,-111,0
32504137,,1,1777,0,0,0,0,4,5976,2,0,4,14361,-111,0
32514133,,1,1782,0,0,0,0,4,5976,2,0,4,14361,-111,0
32524135,,1,1789,0,0,0,0,4,5976,2,0,4,14361,-111,0
32534136,,1,1794,0,0,0,0,4,5976,2,0,4,14361,-111,0
32544133,,1,1796,0,0,0,0,4,5976,2,0,4,14361,-111,0
32554134,,1,1801,0,0,0,0,4,5976,2,0,4,14361,-111,0
32564135,,1,1803,0,0,0,0,4,5976,2,0,4,14361,-111,0
32574137,,1,1806,0,0,0,0,4,5976,2,0,4,14361,-111,0
32584138,,1,1807,0,0,0,0,4,5976,2,0,4,14361,-111,0
32594132,,1,1809,0,0,0,0,4,5976,2,0,4,14361,-111,0
32604135,,1,1810,0,0,0,0,4,5976,2,0,4,14361,-111,0
32614136,,1,1815,0,0,0,0,4,5976,2,0,4,14361,-111,0
32624137,,1,1806,0,0,0,0,4,5976,2,0,4,14361,-111,0
32634134,,1,1802,0,0,0,0,4,5976,2,0,4,14361,-111,0
32644135,,1,1797,0,0,0,0,4,5976,2,0,4,14361,-111,0
32654135,,1,1790,0,0,0,0,4,5976,2,0,4,14361,-111,0
32664136,,1,1788,0,0,0,0,4,5976,2,0,4,14361,-111,0
32674138,,1,1776,0,0,0,0,4,5976,2,0,4,14361,-111,0
32684132,,1,1768,0,0,0,0,4,5976,2,0,4,14361,-111,0
32694133,,1,1773,0,0,0,0,4,5976,2,0,4,14361,-111,0
32704135,,1,1773,0,0,0,0,4,5976,2,0,4,14361,-111,0
32714136,,1,1776,0,0,0,0,4,5976,2,0,4,14361,-111,0
32724135,,1,1775,0,0,0,0,4,5976,2,0,4,14361,-111,0
32734135,,1,1776,0,0,0,0,4,5976,2,0,4,14361,-111,0
32744135,,1,1778,0,0,0,0,4,5976,2,0,4,14361,-111,0
32754136,,1,1780,0,0,0,0,4,5976,2,0,4,14361,-111,0
32764137,,1,1783,0,0,0,0,4,5976,2,0,4,14361,-111,0
32774132,,1,1784,0,0,0,0,4,5976,2,0,4,14361,-111,0
32784133,,1,1788,0,0,0,0,4,5976,2,0,4,14361,-111,0
32794134,,1,1791,0,0,0,0,4,5976,2,0,4,14361,-111,0
32804135,,1,1792,0,0,0,0,4,5976,2,0,4,14361,-111,0
32814138,,1,1794,0,0,0,0,4,5976,2,0,4,14361,-111,0
32824135,,1,1801,0,0,0,0,4,5976,2,0,4,14361,-111,0
32834135,,1,1805,0,0,0,0,4,5976,2,0,4,14361,-111,0
32844135,,1,1813,0,0,0,0,4,5976,2,0,4,14361,-111,0
32854137,,1,1816,0,0,0,0,4,5976,2,0,4,14361,-111,0
32864137,,1,1823,0,0,0,0,4,5976,2,0,4,14361,-111,0
32874135,,1,1838,0,0,0,0,4,5976,2,0,4,14361,-111,0
32884135,,1,1839,0,0,0,0,4,5976,2,0,4,14361,-111,0
32894137,,1,1838,0,0,0,0,4,5976,2,0,4,14361,-111,0
32904138,,1,1835,0,0,0,0,4,5976,2,0,4,14361,-111,0
32914136,,1,1827,0,0,0,0,4,5976,2,0,4,14361,-111,0
32924137,,1,1820,0,0,0,0,4,5976,2,0,4,14361,-111,0
32934137,,1,1817,0,0,0,0,4,5976,2,0,4,14361,-111,0
32944138,,1,1810,0,0,0,0,4,5976,2,0,4,14361,-111,0
32954132,,1,1807,0,0,0,0,4,5976,2,0,4,14361,-111,0
32964133,,1,1802,0,0,0,0,4,5976,2,0,4,14361,-111,0
32974135,,1,1791,0,0,0,0,4,5976,2,0,4,14361,-111,0
32984136,,1,1789,0,0,0,0,4,5976,2,0,4,14361,-111,0
32994137,,1,1784,0,0,0,0,4,5976,2,0,4,14361,-111,0
33004134,,1,1776,0,0,0,0,4,5976,2,0,4,14361,-111,0
33014134,,1,1772,0,0,0,0,4,5976,2,0,4,14361,-111,0
33024138,,1,1770,0,0,0,0,4,5976,2,0,4,14361,-111,0
33034132,,1,1768,0,0,0,0,4,5976,2,0,4,14361,-111,0
33044132,,1,1773,0,0,0,0,4,5976,2,0,4,14361,-111,0
33054134,,1,1773,0,0,0,0,4,5976,2,0,4,14361,-111,0
33064135,,1,1775,0,0,0,0,4,5976,2,0,4,14361,-111,0
33074135,,1,1777,0,0,0,0,4,5976,2,0,4,14361,-111,0
33084137,,1,1781,0,0,0,0,4,5976,2,0,4,14361,-111,0
33094135,,1,1781,0,0,0,0,4,5976,2,0,4,14361,-111,0
33104136,,1,1784,0,0,0,0,4,5976,2,0,4,14361,-111,0
33114137,,1,1785,0,0,0,0,4,5976,2,0,4,14361,-111,0
33124137,,1,1785,0,0,0,0,4,5976,2,0,4,14361,-111,0
33134133,,1,1789,0,0,0,0,4,5976,2,0,4,14361,-111,0
33144135,,1,1791,0,0,0,0,4,5976,2,0,4,14361,-111,0
33154135,,1,1794,0,0,0,0,4,5976,2,0,4,14361,-111,0
33164136,,1,1801,0,0,0,0,4,5976,2,0,4,14361,-111,0
33174132,,1,1817,0,0,0,0,4,5976,2,0,4,14361,-111,0
33184136,,1,1825,0,0,0,0,4,5976,2,0,4,14361,-111,0
33194137,,1,1831,0,0,0,0,4,5976,2,0,4,14361,-111,0
33204138,,1,1839,0,0,0,0,4,5976,2,0,4,14361,-111,0
33214138,,1,1848,0,0,0,0,4,5976,2,0,4,14361,-111,0
33224132,,1,1853,0,0,0,0,4,5976,2,0,4,14361,-111,0
33234135,,1,1853,0,0,0,0,4,5976,2,0,4,14361,-111,0
33244136,,1,1849,0,0,0,0,4,5976,2,0,4,14361,-111,0
33254137,,1,1849,0,0,0,0,4,5976,2,0,4,14361,-111,0
33264132,,1,1847,0,0,0,0,4,5976,2,0,4,14361,-111,0
33274135,,1,1845,0,0,0,0,4,5976,2,0,4,14361,-111,0
33284133,,1,1842,0,0,0,0,4,5975,2,1,4,14361,-111,0
33294135,,1,1837,0,0,0,0,4,5976,2,0,4,14361,-111,0
33304135,,1,1831,0,0,0,0,4,5976,2,0,4,14361,-111,0
33314137,,1,1818,0,0,0,0,4,5976,2,0,4,14361,-111,0
33324132,,1,1809,0,0,0,0,4,5976,2,0,4,14361,-111,0
33334132,,1,1804,0,0,0,0,4,5976,2,0,4,14361,-111,0
33344133,,1,1797,0,0,0,0,4,5976,2,0,4,14361,-111,0
33354134,,1,1787,0,0,0,0,4,5976,2,0,4,14361,-111,0
33364136,,1,1777,0,0,0,0,4,5976,2,0,4,14361,-111,0
33374133,,1,1768,0,0,0,0,4,5976,2,0,4,14361,-111,0
