time,engineEngaged,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
21894135,false,1,1738,0,0,0,0,4,5992,2,0,4,14168,-113,0
21904136,false,1,1742,0,0,0,0,4,5992,2,0,4,14168,-113,0
21914186,false,1,1748,0,0,0,0,4,5992,2,0,4,14168,-113,0
21924134,false,1,1754,0,0,0,0,4,5992,2,0,4,14168,-113,0
21934137,false,1,1760,0,0,0,0,4,5992,2,0,4,14168,-113,0
21944132,false,1,1765,0,0,0,0,4,5992,2,0,4,14168,-113,0
21954133,false,1,1778,0,0,0,0,4,5992,2,0,4,14168,-113,0
21964134,false,1,1784,0,0,0,0,4,5992,2,0,4,14168,-113,0
21974136,false,1,1796,0,0,0,0,4,5992,2,0,4,14168,-113,0
21984136,false,1,1801,0,0,0,0,4,5992,2,0,4,14168,-113,0
21994132,false,1,1819,0,0,0,0,4,5992,2,0,4,14168,-113,0
22004133,false,1,1830,0,0,0,0,4,5992,2,0,4,14168,-113,0
22014137,false,1,1835,0,0,0,0,4,5992,2,0,4,14168,-113,0
22024132,false,1,1832,0,0,0,0,4,5992,2,0,4,14168,-113,0
22034133,false,1,1827,0,0,0,0,4,5992,2,0,4,14168,-113,0
22044135,false,1,1810,0,0,0,0,4,5992,2,0,4,14168,-113,0
22054136,false,1,1806,0,0,0,0,4,5992,2,0,4,14168,-113,0
22064137,false,1,1798,0,0,0,0,4,5992,2,0,4,14168,-113,0
22074137,false,1,1792,0,0,0,0,4,5992,2,0,4,14168,-113,0
22084132,false,1,1787,0,0,0,0,4,5992,2,0,4,14168,-113,0
22094134,false,1,1776,0,0,0,0,4,5992,2,0,4,14168,-113,0
22104138,false,1,1770,0,0,0,0,4,5992,2,0,4,14168,-113,0
22114133,false,1,1765,0,0,0,0,4,5992,2,0,4,14168,-113,0
22124133,false,1,1758,0,0,0,0,4,5992,2,0,4,14168,-113,0
22134134,false,1,1752,0,0,0,0,4,5992,2,0,4,14168,-113,0
22144135,false,1,1750,0,0,0,0,4,5992,2,0,4,14168,-113,0
22154137,false,1,1754,0,0,0,0,4,5992,2,0,4,14168,-113,0
22164138,false,1,1761,0,0,0,0,4,5992,2,0,4,14168,-113,0
22174132,false,1,1770,0,0,0,0,4,5992,2,0,4,14168,-113,0
22184133,false,1,1781,0,0,0,0,4,5992,2,0,4,14168,-113,0
22194137,false,1,1792,0,0,0,0,4,5992,2,0,4,14168,-113,0
22204207,false,1,1812,0,0,0,0,4,5992,2,0,4,14168,-113,0
22214137,false,1,1821,0,0,0,0,4,5992,2,0,4,14168,-113,0
22224138,false,1,1821,0,0,0,0,4,5992,2,0,4,14168,-113,0
22234132,false,1,1821,0,0,0,0,4,5992,2,0,4,14168,-113,0
22244134,false,1,1824,0,0,0,0,4,5992,2,0,4,14168,-113,0
22254135,false,1,1826,0,0,0,0,4,5992,2,0,4,14168,-113,0
22264135,false,1,1821,0,0,0,0,4,5992,2,0,4,14168,-113,0
22274136,false,1,1826,0,0,0,0,4,5992,2,0,4,14168,-113,0
22284165,false,1,1826,0,0,0,0,4,5992,2,0,4,14168,-113,0
22294135,false,1,1830,0,0,0,0,4,5992,2,0,4,14168,-113,0
22304138,false,1,1831,0,0,0,0,4,5992,2,0,4,14168,-113,0
22314132,false,1,1835,0,0,0,0,4,5992,2,0,4,14168,-113,0
22324132,false,1,1835,0,0,0,0,4,5992,2,0,4,14168,-113,0
22334133,false,1,1836,0,0,0,0,4,5992,2,0,4,14168,-113,0
22344135,false,1,1842,0,0,0,0,4,5992,2,0,4,14168,-113,0
22354136,false,1,1844,0,0,0,0,4,5992,2,0,4,14168,-113,0
22364137,false,1,1849,0,0,0,0,4,5992,2,0,4,14168,-113,0
22374139,false,1,1856,0,0,0,0,4,5992,2,0,4,14168,-113,0
22384136,false,1,1862,0,0,0,0,4,5992,2,0,4,14168,-113,0
22394138,false,1,1869,0,0,0,0,4,5992,2,0,4,14168,-113,0
22404132,false,1,1873,0,0,0,0,4,5992,2,0,4,14168,-113,0
22414132,false,1,1873,0,0,0,0,4,5992,2,0,4,14168,-113,0
22424135,false,1,1870,0,0,0,0,4,5992,2,0,4,14168,-113,0
22434135,false,1,1867,0,0,0,0,4,5992,2,0,4,14168,-113,0
22444136,false,1,1865,0,0,0,0,4,5992,2,0,4,14168,-113,0
22454136,false,1,1860,0,0,0,0,4,5992,2,0,4,14168,-113,0
22464132,false,1,1854,0,0,0,0,4,5992,2,0,4,14168,-113,0
22474135,false,1,1855,0,0,0,0,4,5992,2,0,4,14168,-113,0
22484138,false,1,1850,0,0,0,0,4,5992,2,0,4,14168,-113,0
22494132,false,1,1842,0,0,0,0,4,5992,2,0,4,14168,-113,0
22504134,false,1,1829,0,0,0,0,4,5992,2,0,4,14168,-113,0
22514134,false,1,1823,0,0,0,0,4,5992,2,0,4,14168,-113,0
22524135,false,1,1819,0,0,0,0,4,5992,2,0,4,14168,-113,0
22534136,false,1,1810,0,0,0,0,4,5992,2,0,4,14168,-113,0
22544136,false,1,1801,0,0,0,0,4,5992,2,0,4,14168,-113,0
22554137,false,1,1793,0,0,0,0,4,5992,2,0,4,14168,-113,0
22564136,false,1,1784,0,0,0,0,4,5992,2,0,4,14168,-113,0
22574137,false,1,1776,0,0,0,0,4,5992,2,0,4,14168,-113,0
22584138,false,1,1771,0,0,0,0,4,5992,2,0,4,14168,-113,0
22594132,false,1,1759,0,0,0,0,4,5992,2,0,4,14168,-113,0
22604133,false,1,1758,0,0,0,0,4,5992,2,0,4,14168,-113,0
22614133,false,1,1752,0,0,0,0,4,5992,2,0,4,14168,-113,0
22624136,false,1,1762,0,0,0,0,4,5992,2,0,4,14168,-113,0
22634137,false,1,1767,0,0,0,0,4,5992,2,0,4,14168,-113,0
22644137,false,1,1774,0,0,0,0,4,5992,2,0,4,14168,-113,0
22654134,false,1,1777,0,0,0,0,4,5992,2,0,4,14168,-113,0
22664137,false,1,1787,0,0,0,0,4,5992,2,0,4,14168,-113,0
22674133,false,1,1797,0,0,0,0,4,5992,2,0,4,14168,-113,0
22684133,false,1,1799,0,0,0,0,4,5992,2,0,4,14168,-113,0
22694135,false,1,1804,0,0,0,0,4,5992,2,0,4,14168,-113,0
22704136,false,1,1807,0,0,0,0,4,5992,2,0,4,14168,-113,0
22714138,false,1,1815,0,0,0,0,4,5992,2,0,4,14168,-113,0
22724132,false,1,1817,0,0,0,0,4,5992,2,0,4,14168,-113,0
22734134,false,1,1825,0,0,0,0,4,5992,2,0,4,14168,-113,0
22744134,false,1,1825,0,0,0,0,4,5992,2,0,4,14168,-113,0
22754132,false,1,1827,0,0,0,0,4,5992,2,0,4,14168,-113,0
22764135,false,1,1830,0,0,0,0,4,5992,2,0,4,14168,-113,0
22774136,false,1,1831,0,0,0,0,4,5992,2,0,4,14168,-113,0
22784137,false,1,1831,0,0,0,0,4,5992,2,0,4,14168,-113,0
22794137,false,1,1833,0,0,0,0,4,5992,2,0,4,14168,-113,0
22804133,false,1,1832,0,0,0,0,4,5992,2,0,4,14168,-113,0
22814133,false,1,1829,0,0,0,0,4,5992,2,0,4,14168,-113,0
22824133,false,1,1822,0,0,0,0,4,5992,2,0,4,14168,-113,0
22834135,false,1,1822,0,0,0,0,4,5992,2,0,4,14168,-113,0
22844133,false,1,1818,0,0,0,0,4,5992,2,0,4,14168,-113,0
22854136,false,1,1812,0,0,0,0,4,5992,2,0,4,14168,-113,0
22864136,false,1,1808,0,0,0,0,4,5992,2,0,4,14168,-113,0
22874137,false,1,1804,0,0,0,0,4,5992,2,0,4,14168,-113,0
22884138,false,1,1808,0,0,0,0,4,5992,2,0,4,14168,-113,0
22894138,false,1,1810,0,0,0,0,4,5992,2,0,4,14168,-113,0
22904133,false,1,1814,0,0,0,0,4,5992,2,0,4,14168,-113,0
22914135,false,1,1817,0,0,0,0,4,5992,2,0,4,14168,-113,0
22924135,false,1,1822,0,0,0,0,4,5992,2,0,4,14168,-113,0
22934134,false,1,1824,0,0,0,0,4,5992,2,0,4,14168,-113,0
22944135,false,1,1825,0,0,0,0,4,5992,2,0,4,14168,-113,0
22954137,false,1,1813,0,0,0,0,4,5992,2,0,4,14168,-113,0
22964138,false,1,1806,0,0,0,0,4,5992,2,0,4,14168,-113,0
22974132,false,1,1798,0,0,0,0,4,5992,2,0,4,14168,-113,0
22984132,false,1,1794,0,0,0,0,4,5992,2,0,4,14168,-113,0
22994134,false,1,1783,0,0,0,0,4,5992,2,0,4,14168,-113,0
23004136,false,1,1776,0,0,0,0,4,5992,2,0,4,14168,-113,0
23014136,false,1,1774,0,0,0,0,4,5992,2,0,4,14168,-113,0
23024135,false,1,1779,0,0,0,0,4,5992,2,0,4,14168,-113,0
23034135,false,1,1782,0,0,0,0,4,5992,2,0,4,14168,-113,0
23044136,false,1,1785,0,0,0,0,4,5992,2,0,4,14168,-113,0
23054132,false,1,1795,0,0,0,0,4,5992,2,0,4,14168,-113,0
23064133,false,1,1792,0,0,0,0,4,5992,2,0,4,14168,-113,0
23074133,false,1,1797,0,0,0,0,4,5992,2,0,4,14168,-113,0
23084134,false,1,1802,0,0,0,0,4,5992,2,0,4,14168,-113,0
23094135,false,1,1808,0,0,0,0,4,5992,2,0,4,14168,-113,0
23104137,false,1,1819,0,0,0,0,4,5992,2,0,4,14168,-113,0
23114133,false,1,1823,0,0,0,0,4,5992,2,0,4,14168,-113,0
23124137,false,1,1825,0,0,0,0,4,5992,2,0,4,14168,-113,0
23134138,false,1,1837,0,0,0,0,4,5992,2,0,4,14168,-113,0
23144133,false,1,1842,0,0,0,0,4,5992,2,0,4,14168,-113,0
23154133,false,1,1842,0,0,0,0,4,5992,2,0,4,14168,-113,0
23164134,false,1,1843,0,0,0,0,4,5992,2,0,4,14168,-113,0
23174135,false,1,1845,0,0,0,0,4,5992,2,0,4,14168,-113,0
23184135,false,1,1849,0,0,0,0,4,5992,2,0,4,14168,-113,0
23194137,false,1,1851,0,0,0,0,4,5992,2,0,4,14168,-113,0
23204133,false,1,1855,0,0,0,0,4,5992,2,0,4,14168,-113,0
23214138,false,1,1856,0,0,0,0,4,5992,2,0,4,14168,-113,0
23224132,false,1,1854,0,0,0,0,4,5992,2,0,4,14168,-113,0
23234134,false,1,1858,0,0,0,0,4,5992,2,0,4,14168,-113,0
23244134,false,1,1857,0,0,0,0,4,5992,2,0,4,14168,-113,0
23254134,false,1,1857,0,0,0,0,4,5992,2,0,4,14168,-113,0
23264135,false,1,1857,0,0,0,0,4,5992,2,0,4,14168,-113,0
23274137,false,1,1852,0,0,0,0,4,5992,2,0,4,14168,-113,0
23284138,false,1,1847,0,0,0,0,4,5992,2,0,4,14168,-113,0
23294134,false,1,1839,0,0,0,0,4,5992,2,0,4,14168,-113,0
23304138,false,1,1832,0,0,0,0,4,5992,2,0,4,14168,-113,0
23314132,false,1,1828,0,0,0,0,4,5992,2,0,4,14168,-113,0
23324135,false,1,1816,0,0,0,0,4,5992,2,0,4,14168,-113,0
23334136,false,1,1810,0,0,0,0,4,5992,2,0,4,14168,-113,0
23344136,false,1,1809,0,0,0,0,4,5992,2,0,4,14168,-113,0
23354137,false,1,1810,0,0,0,0,4,5992,2,0,4,14168,-113,0
23364138,false,1,1813,0,0,0,0,4,5992,2,0,4,14168,-113,0
23374133,false,1,1815,0,0,0,0,4,5992,2,0,4,14168,-113,0
23384135,false,1,1816,0,0,0,0,4,5992,2,0,4,14168,-113,0
23394132,false,1,1819,0,0,0,0,4,5992,2,0,4,14168,-113,0
23404135,false,1,1818,0,0,0,0,4,5992,2,0,4,14168,-113,0
23414137,false,1,1820,0,0,0,0,4,5992,2,0,4,14168,-113,0
23424138,false,1,1819,0,0,0,0,4,5992,2,0,4,14168,-113,0
23434132,false,1,1818,0,0,0,0,4,5992,2,0,4,14168,-113,0
23444132,false,1,1817,0,0,0,0,4,5992,2,0,4,14168,-113,0
23454133,false,1,1817,0,0,0,0,4,5992,2,0,4,14168,-113,0
23464135,false,1,1816,0,0,0,0,4,5992,2,0,4,14168,-113,0
23474137,false,1,1814,0,0,0,0,4,5992,2,0,4,14168,-113,0
23484133,false,1,1816,0,0,0,0,4,5992,2,0,4,14168,-113,0
23494137,false,1,1816,0,0,0,0,4,5992,2,0,4,14168,-113,0
23504138,false,1,1818,0,0,0,0,4,5992,2,0,4,14168,-113,0
23514133,false,1,1816,0,0,0,0,4,5992,2,0,4,14168,-113,0
23524134,false,1,1814,0,0,0,0,4,5992,2,0,4,14168,-113,0
23534135,false,1,1817,0,0,0,0,4,5992,2,0,4,14168,-113,0
23544136,false,1,1818,0,0,0,0,4,5992,2,0,4,14168,-113,0
23554138,false,1,1813,0,0,0,0,4,5992,2,0,4,14168,-113,0
23564132,false,1,1813,0,0,0,0,4,5992,2,0,4,14168,-113,0
23574133,false,1,1816,0,0,0,0,4,5992,2,0,4,14168,-113,0
23584137,false,1,1813,0,0,0,0,4,5992,2,0,4,14168,-113,0
23594138,false,1,1815,0,0,0,0,4,5992,2,0,4,14168,-113,0
23604133,false,1,1809,0,0,0,0,4,5992,2,0,4,14168,-113,0
23614134,false,1,1809,0,0,0,0,4,5992,2,0,4,14168,-113,0
23624134,false,1,1809,0,0,0,0,4,5992,2,0,4,14168,-113,0
23634135,false,1,1807,0,0,0,0,4,5992,2,0,4,14168,-113,0
23644135,false,1,1805,0,0,0,0,4,5992,2,0,4,14168,-113,0
23654137,false,1,1803,0,0,0,0,4,5992,2,0,4,14168,-113,0
23664133,false,1,1804,0,0,0,0,4,5992,2,0,4,14168,-113,0
23674137,false,1,1804,0,0,0,0,4,5992,2,0,4,14168,-113,0
23684138,false,1,1803,0,0,0,0,4,5992,2,0,4,14168,-113,0
23694132,false,1,1806,0,0,0,0,4,5992,2,0,4,14168,-113,0
23704135,false,1,1811,0,0,0,0,4,5992,2,0,4,14168,-113,0
23714137,false,1,1812,0,0,0,0,4,5992,2,0,4,14168,-113,0
23724137,false,1,1810,0,0,0,0,4,5992,2,0,4,14168,-113,0
23734138,false,1,1815,0,0,0,0,4,5992,2,0,4,14168,-113,0
23744133,false,1,1818,0,0,0,0,4,5992,2,0,4,14168,-113,0
23754137,false,1,1826,0,0,0,0,4,5992,2,0,4,14168,-113,0
23764135,false,1,1826,0,0,0,0,4,5992,2,0,4,14168,-113,0
23774136,false,1,1828,0,0,0,0,4,5992,2,0,4,14168,-113,0
23784136,false,1,1832,0,0,0,0,4,5992,2,0,4,14168,-113,0
23794138,false,1,1837,0,0,0,0,4,5992,2,0,4,14168,-113,0
23804132,false,1,1833,0,0,0,0,4,5992,2,0,4,14168,-113,0
23814133,false,1,1830,0,0,0,0,4,5992,2,0,4,14168,-113,0
23824135,false,1,1825,0,0,0,0,4,5992,2,0,4,14168,-113,0
23834135,false,1,1824,0,0,0,0,4,5992,2,0,4,14168,-113,0
23844132,false,1,1816,0,0,0,0,4,5992,2,0,4,14168,-113,0
23854133,false,1,1812,0,0,0,0,4,5992,2,0,4,14168,-113,0
23864138,false,1,1809,0,0,0,0,4,5992,2,0,4,14168,-113,0
23874138,false,1,1810,0,0,0,0,4,5992,2,0,4,14168,-113,0
23884132,false,1,1814,0,0,0,0,4,5992,2,0,4,14168,-113,0
23894135,false,1,1817,0,0,0,0,4,5992,2,0,4,14168,-113,0
23904135,false,1,1822,0,0,0,0,4,5992,2,0,4,14168,-113,0
23914136,false,1,1821,0,0,0,0,4,5992,2,0,4,14168,-113,0
23924136,false,1,1825,0,0,0,0,4,5992,2,0,4,14168,-113,0
23934133,false,1,1831,0,0,0,0,4,5992,2,0,4,14168,-113,0
23944133,false,1,1831,0,0,0,0,4,5992,2,0,4,14168,-113,0
23954137,false,1,1835,0,0,0,0,4,5992,2,0,4,14168,-113,0
23964132,false,1,1836,0,0,0,0,4,5992,2,0,4,14168,-113,0
23974132,false,1,1837,0,0,0,0,4,5992,2,0,4,14168,-113,0
23984134,false,1,1842,0,0,0,0,4,5992,2,0,4,14168,-113,0
23994135,false,1,1844,0,0,0,0,4,5992,2,0,4,14168,-113,0
24004137,false,1,1844,0,0,0,0,4,5991,2,0,4,14168,-113,0
24014137,false,1,1842,0,0,0,0,4,5991,2,0,4,14168,-113,0
24024135,false,1,1842,0,0,0,0,4,5991,2,0,4,14168,-113,0
24034136,false,1,1841,0,0,0,0,4,5991,2,0,4,14168,-113,0
24044133,false,1,1836,0,0,0,0,4,5991,2,0,4,14168,-113,0
24054133,false,1,1837,0,0,0,0,4,5991,2,0,4,14168,-113,0
24064134,false,1,1835,0,0,0,0,4,5991,2,0,4,14168,-113,0
24074136,false,1,1830,0,0,0,0,4,5991,2,0,4,14168,-113,0
24084137,false,1,1828,0,0,0,0,4,5991,2,0,4,14168,-113,0
24094137,false,1,1827,0,0,0,0,4,5991,2,0,4,14168,-113,0
24104137,false,1,1820,0,0,0,0,4,5991,2,0,4,14168,-113,0
24114134,false,1,1819,0,0,0,0,4,5991,2,0,4,14168,-113,0
24124135,false,1,1816,0,0,0,0,4,5991,2,0,4,14168,-113,0
24134132,false,1,1813,0,0,0,0,4,5991,2,0,4,14168,-113,0
24144132,false,1,1810,0,0,0,0,4,5991,2,0,4,14168,-113,0
24154133,false,1,1806,0,0,0,0,4,5991,2,0,4,14168,-113,0
24164135,false,1,1803,0,0,0,0,4,5991,2,0,4,14168,-113,0
24174137,false,1,1800,0,0,0,0,4,5991,2,0,4,14168,-113,0
24184138,false,1,1795,0,0,0,0,4,5991,2,0,4,14168,-113,0
24194132,false,1,1791,0,0,0,0,4,5991,2,0,4,14168,-113,0
24204134,false,1,1787,0,0,0,0,4,5991,2,0,4,14168,-113,0
24214135,false,1,1787,0,0,0,0,4,5991,2,0,4,14168,-113,0
24224137,false,1,1777,0,0,0,0,4,5991,2,0,4,14168,-113,0
24234135,false,1,1775,0,0,0,0,4,5991,2,0,4,14168,-113,0
24244136,false,1,1771,0,0,0,0,4,5991,2,0,4,14168,-113,0
24254136,false,1,1767,0,0,0,0,4,5991,2,0,4,14168,-113,0
24264136,false,1,1764,0,0,0,0,4,5991,2,0,4,14168,-113,0
24274138,false,1,1758,0,0,0,0,4,5991,2,0,4,14168,-113,0
24284132,false,1,1756,0,0,0,0,4,5991,2,0,4,14168,-113,0
24294135,false,1,1747,0,0,0,0,4,5991,2,0,4,14168,-113,0
24304136,false,1,1742,0,0,0,0,4,5991,2,0,4,14168,-113,0
24314137,false,1,1738,0,0,0,0,4,5991,2,0,4,14168,-113,0
24324134,false,1,1734,0,0,0,0,4,5991,2,0,4,14168,-113,0
24334135,false,1,1730,0,0,0,0,4,5991,2,0,4,14168,-113,0
24344137,false,1,1739,0,0,0,0,4,5991,2,0,4,14168,-113,0
24354138,false,1,1747,0,0,0,0,4,5991,2,0,4,14168,-113,0
24364132,false,1,1755,0,0,0,0,4,5991,2,0,4,14168,-113,0
24374133,false,1,1760,0,0,0,0,4,5991,2,0,4,14168,-113,0
24384135,false,1,1768,0,0,0,0,4,5991,2,0,4,14168,-113,0
24394137,false,1,1782,0,0,0,0,4,5991,2,0,4,14168,-113,0
24404138,false,1,1783,0,0,0,0,4,5991,2,0,4,14168,-113,0
24414135,false,1,1787,0,0,0,0,4,5991,2,0,4,14168,-113,0
24424136,false,1,1792,0,0,0,0,4,5991,2,0,4,14168,-113,0
24434137,false,1,1794,0,0,0,0,4,5991,2,0,4,14168,-113,0
24444132,false,1,1802,0,0,0,0,4,5991,2,0,4,14168,-113,0
24454132,false,1,1805,0,0,0,0,4,5991,2,0,4,14168,-113,0
24464133,false,1,1807,0,0,0,0,4,5991,2,0,4,14168,-113,0
24474136,false,1,1808,0,0,0,0,4,5991,2,0,4,14168,-113,0
24484137,false,1,1804,0,0,0,0,4,5991,2,0,4,14168,-113,0
24494133,false,1,1801,0,0,0,0,4,5991,2,0,4,14168,-113,0
24504137,false,1,1796,0,0,0,0,4,5991,2,0,4,14168,-113,0
24514138,false,1,1796,0,0,0,0,4,5991,2,0,4,14168,-113,0
24524132,false,1,1793,0,0,0,0,4,5991,2,0,4,14168,-113,0
24534132,false,1,1787,0,0,0,0,4,5991,2,0,4,14168,-113,0
24544135,false,1,1780,0,0,0,0,4,5991,2,0,4,14168,-113,0
24554137,false,1,1775,0,0,0,0,4,5991,2,0,4,14168,-113,0
24564133,false,1,1768,0,0,0,0,4,5991,2,0,4,14168,-113,0
24574134,false,1,1764,0,0,0,0,4,5991,2,0,4,14168,-113,0
24584135,false,1,1757,0,0,0,0,4,5991,2,0,4,14168,-113,0
24594135,false,1,1752,0,0,0,0,4,5991,2,0,4,14168,-113,0
24604134,false,1,1766,0,0,0,0,4,5991,2,0,4,14168,-113,0
24614135,false,1,1778,0,0,0,0,4,5991,2,0,4,14168,-113,0
24624135,false,1,1790,0,0,0,0,4,5991,2,0,4,14168,-113,0
