time,,engineState,engineSpeed,enginePID,engineP,engineI,engineD,primaryState,primaryEnc,primaryLC,primaryPID,secondaryState,secondaryEnc,secondaryLC,secondaryPID
41244136,,1,1810,0,0,0,0,4,5976,2,0,4,12842,-117,0
41254136,,1,1814,0,0,0,0,4,5976,2,0,4,12842,-117,0
41264137,,1,1820,0,0,0,0,4,5976,2,0,4,12842,-117,0
41274135,,1,1828,0,0,0,0,4,5976,2,0,4,12842,-117,0
41284132,,1,1835,0,0,0,0,4,5975,2,1,4,12842,-117,0
41294132,,1,1842,0,0,0,0,4,5975,2,1,4,12842,-117,0
41304135,,1,1835,0,0,0,0,4,5976,2,0,4,12842,-117,0
41314137,,1,1827,0,0,0,0,4,5976,2,0,4,12842,-117,0
41324138,,1,1824,0,0,0,0,4,5976,2,0,4,12842,-117,0
41334132,,1,1821,0,0,0,0,4,5976,2,0,4,12842,-117,0
41344132,,1,1814,0,0,0,0,4,5976,2,0,4,12842,-117,0
41354133,,1,1813,0,0,0,0,4,5976,2,0,4,12842,-117,0
41364138,,1,1807,0,0,0,0,4,5976,2,0,4,12842,-117,0
41374134,,1,1801,0,0,0,0,4,5976,2,0,4,12842,-117,0
41384135,,1,1795,0,0,0,0,4,5976,2,0,4,12842,-117,0
41394135,,1,1791,0,0,0,0,4,5976,2,0,4,12842,-117,0
41404136,,1,1788,0,0,0,0,4,5976,2,0,4,12842,-117,0
41414136,,1,1786,0,0,0,0,4,5976,2,0,4,12842,-117,0
41424132,,1,1772,0,0,0,0,4,5976,2,0,4,12842,-117,0
41434132,,1,1766,0,0,0,0,4,5976,2,0,4,12842,-117,0
41444133,,1,1759,0,0,0,0,4,5976,2,0,4,12842,-117,0
41454137,,1,1753,0,0,0,0,4,5976,2,0,4,12842,-117,0
41464132,,1,1746,0,0,0,0,4,5976,2,0,4,12842,-117,0
41474134,,1,1740,0,0,0,0,4,5976,2,0,4,12842,-117,0
41484136,,1,1730,0,0,0,0,4,5976,2,0,4,12842,-117,0
41494137,,1,1722,0,0,0,0,4,5976,2,0,4,12842,-117,0
41504137,,1,1730,0,0,0,0,4,5976,2,0,4,12842,-117,0
41514132,,1,1738,0,0,0,0,4,5976,2,0,4,12842,-117,0
41524133,,1,1749,0,0,0,0,4,5976,2,0,4,12842,-117,0
41534135,,1,1755,0,0,0,0,4,5975,2,1,4,12842,-117,0
41544134,,1,1772,0,0,0,0,4,5975,2,1,4,12842,-117,0
41554136,,1,1780,0,0,0,0,4,5976,2,0,4,12842,-117,0
41564132,,1,1794,0,0,0,0,4,5976,2,0,4,12842,-117,0
41574132,,1,1800,0,0,0,0,4,5976,2,0,4,12842,-117,0
41584134,,1,1821,0,0,0,0,4,5976,2,0,4,12842,-117,0
41594135,,1,1833,0,0,0,0,4,5976,2,0,4,12842,-117,0
41604136,,1,1840,0,0,0,0,4,5976,2,0,4,12842,-117,0
41614136,,1,1851,0,0,0,0,4,5976,2,0,4,12842,-117,0
41624132,,1,1868,0,0,0,0,4,5976,2,0,4,12842,-117,0
41634133,,1,1864,0,0,0,0,4,5976,2,0,4,12842,-117,0
41644138,,1,1858,0,0,0,0,4,5975,2,1,4,12842,-117,0
41654133,,1,1851,0,0,0,0,4,5975,2,1,4,12842,-117,0
41664136,,1,1844,0,0,0,0,4,5976,2,0,4,12842,-117,0
41674138,,1,1833,0,0,0,0,4,5976,2,0,4,12842,-117,0
41684132,,1,1824,0,0,0,0,4,5976,2,0,4,12842,-117,0
41694133,,1,1821,0,0,0,0,4,5976,2,0,4,12842,-117,0
41704133,,1,1814,0,0,0,0,4,5976,2,0,4,12842,-117,0
41714134,,1,1812,0,0,0,0,4,5976,2,0,4,12842,-117,0
41724136,,1,1798,0,0,0,0,4,5976,2,0,4,12842,-117,0
41734133,,1,1795,0,0,0,0,4,5976,2,0,4,12842,-117,0
41744135,,1,1787,0,0,0,0,4,5976,2,0,4,12842,-117,0
41754137,,1,1784,0,0,0,0,4,5975,2,1,4,12842,-117,0
41764132,,1,1776,0,0,0,0,4,5976,2,0,4,12842,-117,0
41774133,,1,1772,0,0,0,0,4,5976,2,0,4,12842,-117,0
41784135,,1,1760,0,0,0,0,4,5976,2,0,4,12842,-117,0
41794136,,1,1756,0,0,0,0,4,5976,2,0,4,12842,-117,0
41804136,,1,1747,0,0,0,0,4,5976,2,0,4,12842,-117,0
41814138,,1,1743,0,0,0,0,4,5976,2,0,4,12842,-117,0
41824136,,1,1735,0,0,0,0,4,5975,2,1,4,12842,-117,0
41834133,,1,1733,0,0,0,0,4,5976,2,0,4,12842,-117,0
41844135,,1,1750,0,0,0,0,4,5976,2,0,4,12842,-117,0
41854135,,1,1765,0,0,0,0,4,5976,2,0,4,12842,-117,0
41864136,,1,1776,0,0,0,0,4,5976,2,0,4,12842,-117,0
41874137,,1,1787,0,0,0,0,4,5976,2,0,4,12842,-117,0
41884132,,1,1814,0,0,0,0,4,5976,2,0,4,12842,-117,0
41894131,,1,1823,0,0,0,0,4,5976,2,0,4,12842,-117,0
41904133,,1,1826,0,0,0,0,4,5976,2,0,4,12842,-117,0
41914138,,1,1832,0,0,0,0,4,5976,2,0,4,12842,-117,0
41924133,,1,1831,0,0,0,0,4,5976,2,0,4,12842,-117,0
41934136,,1,1837,0,0,0,0,4,5975,2,1,4,12842,-117,0
41944138,,1,1841,0,0,0,0,4,5976,2,0,4,12842,-117,0
41954132,,1,1843,0,0,0,0,4,5976,2,0,4,12842,-117,0
41964132,,1,1844,0,0,0,0,4,5976,2,0,4,12842,-117,0
41974135,,1,1841,0,0,0,0,4,5976,2,0,4,12842,-117,0
