time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
176294198,0,1,1766,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176304187,0,1,1773,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176314194,0,1,1779,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176324185,0,1,1792,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176334195,0,1,1799,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176344275,0,1,1808,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176354197,0,1,1818,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176364185,0,1,1822,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176374192,0,1,1806,100,1,99,0,4,5981,2,0,0,4,32501,-27,14,-3,83,-86,0,-86,0
176384183,0,1,1798,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176394197,0,1,1788,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176404183,0,1,1780,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176414198,0,1,1770,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176424200,0,1,1760,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176434183,0,1,1751,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176444199,0,1,1755,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176454186,0,1,1759,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176464201,0,1,1761,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176474192,0,1,1763,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176484181,0,1,1771,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176494279,0,1,1773,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176504190,0,1,1780,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176514267,0,1,1786,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176524180,0,1,1789,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176534197,0,1,1802,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176544192,0,1,1808,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176554199,0,1,1813,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176564183,0,1,1819,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176574184,0,1,1817,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176584181,0,1,1811,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176594195,0,1,1809,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176604195,0,1,1805,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176614190,0,1,1803,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176624198,0,1,1800,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176634192,0,1,1790,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176644266,0,1,1785,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176654182,0,1,1778,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176664188,0,1,1773,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176674196,0,1,1765,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176684199,0,1,1758,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176694196,0,1,1746,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176704195,0,1,1754,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176714194,0,1,1761,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176724196,0,1,1768,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176734189,0,1,1775,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176744199,0,1,1791,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176754191,0,1,1799,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176764180,0,1,1807,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176774185,0,1,1810,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176784181,0,1,1819,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176794270,0,1,1823,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176804185,0,1,1826,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176814200,0,1,1831,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
176824184,0,1,1836,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176834182,0,1,1837,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176844192,0,1,1835,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176854195,0,1,1834,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176864190,0,1,1830,100,1,99,0,4,5981,2,0,0,4,32501,-27,20,-3,83,-86,0,-86,0
176874192,0,1,1827,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176884184,0,1,1827,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176894181,0,1,1824,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176904197,0,1,1815,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176914186,0,1,1806,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176924197,0,1,1798,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176934188,0,1,1778,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176944271,0,1,1771,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
176954188,0,1,1761,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176964199,0,1,1752,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176974193,0,1,1751,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176984183,0,1,1751,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
176994195,0,1,1751,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
177004187,0,1,1752,100,1,99,0,4,5981,2,0,0,4,32501,-27,21,-3,83,-86,0,-86,0
177014194,0,1,1750,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
177024197,0,1,1748,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177034191,0,1,1752,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177044181,0,1,1768,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177054191,0,1,1777,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177064186,0,1,1784,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177074195,0,1,1793,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177084185,0,1,1804,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177094261,0,1,1819,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
177104183,0,1,1820,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177114193,0,1,1814,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177124185,0,1,1812,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177134195,0,1,1810,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
177144186,0,1,1805,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177154180,0,1,1803,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177164197,0,1,1800,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
177174190,0,1,1804,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
177184184,0,1,1805,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
177194185,0,1,1808,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177204200,0,1,1811,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
177214185,0,1,1810,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177224200,0,1,1815,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
177234192,0,1,1814,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
177244265,0,1,1799,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177254197,0,1,1792,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
177264190,0,1,1784,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
177274183,0,1,1774,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177284191,0,1,1768,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177294185,0,1,1756,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177304195,0,1,1758,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
177314192,0,1,1762,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
177324188,0,1,1768,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
177334181,0,1,1775,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
177344194,0,1,1782,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
177354182,0,1,1798,100,1,99,0,4,5981,2,0,0,4,32501,-27,15,-3,83,-86,0,-86,0
177364180,0,1,1802,100,1,99,0,4,5981,2,0,0,4,32501,-27,18,-3,83,-86,0,-86,0
177374194,0,1,1801,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
177384187,0,1,1804,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177394260,0,1,1803,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
177404200,0,1,1803,100,1,99,0,4,5981,2,0,0,4,32501,-27,16,-3,83,-86,0,-86,0
177414184,0,1,1804,100,1,99,0,4,5981,2,0,0,4,32501,-27,17,-3,83,-86,0,-86,0
