time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
653254184,0,1,1733,100,9,92,0,4,6042,1,0,0,4,33053,-27,2,-1,67,-68,0,-68,0
653264188,0,1,1732,100,9,92,0,4,6042,1,0,0,4,33053,-27,3,-1,67,-68,0,-68,0
653274223,0,1,1733,100,9,92,0,4,6042,1,0,0,4,33053,-27,3,-1,67,-68,0,-68,0
653284194,0,1,1733,100,9,92,0,4,6042,1,0,0,4,33053,-27,6,-1,67,-68,0,-68,0
653294189,0,1,1737,100,9,92,0,4,6042,1,0,0,4,33053,-27,10,-1,67,-68,0,-68,0
653304182,0,1,1738,100,9,92,0,4,6042,1,0,0,4,33053,-27,20,-1,67,-68,0,-68,0
653314194,0,1,1738,100,9,92,0,4,6042,1,0,0,4,33053,-27,37,-1,67,-68,0,-68,0
653324188,0,1,1739,100,9,92,0,4,6042,1,0,0,4,33053,-27,2,-1,67,-68,0,-68,0
653334188,0,1,1739,100,9,92,0,4,6042,1,0,0,4,33053,-27,1,-1,67,-68,0,-68,0
653344178,0,1,1739,100,9,92,0,4,6042,1,0,0,4,33053,-27,1,-1,67,-68,0,-68,0
653354177,0,1,1740,100,9,92,0,4,6042,1,0,0,4,33053,-27,2,-1,67,-68,0,-68,0
653364175,0,1,1740,100,9,92,0,4,6042,1,0,0,4,33053,-27,4,-1,67,-68,0,-68,0
653374187,0,1,1742,100,9,92,0,4,6042,1,0,0,4,33053,-27,6,-1,67,-68,0,-68,0
653384180,0,1,1742,100,9,92,0,4,6042,1,0,0,4,33053,-27,14,-1,67,-68,0,-68,0
653394177,0,1,1744,100,9,92,0,4,6042,1,0,0,4,33053,-27,26,-1,67,-68,0,-68,0
653404190,0,1,1744,100,9,92,0,4,6042,1,0,0,4,33053,-27,16,-1,67,-68,0,-68,0
653414188,0,1,1757,100,9,92,0,4,6043,1,0,-1,4,33053,-27,1,-1,67,-68,0,-68,0
653424182,0,1,1764,100,9,92,0,4,6042,1,0,0,4,33053,-27,1,-1,67,-68,0,-68,0
653434179,0,1,1770,100,9,92,0,4,6042,1,0,0,4,33053,-27,1,-1,67,-68,0,-68,0
653444194,0,1,1776,100,9,92,0,4,6042,1,0,0,4,33053,-27,3,-1,67,-68,0,-68,0
653454190,0,1,1785,100,9,92,0,4,6042,1,0,0,4,33053,-27,5,-1,67,-68,0,-68,0
653464185,0,1,1797,100,9,92,0,4,6042,1,0,0,4,33053,-27,9,-1,67,-68,0,-68,0
653474177,0,1,1788,100,9,92,0,4,6042,1,0,0,4,33053,-27,19,-1,67,-68,0,-68,0
653484177,0,1,1778,100,9,92,0,4,6042,1,0,0,4,33053,-27,36,-1,67,-68,0,-68,0
653494192,0,1,1766,100,9,92,0,4,6042,1,0,0,4,33053,-27,1,-1,67,-68,0,-68,0
653504188,0,1,1752,100,9,92,0,4,6042,1,0,0,4,33053,-27,1,-1,67,-68,0,-68,0
653514183,0,1,1741,100,9,92,0,4,6042,1,0,0,4,33053,-27,1,-1,67,-68,0,-68,0
653524176,0,1,1727,100,9,92,0,4,6042,1,0,0,4,33053,-27,2,-1,67,-68,0,-68,0
653534175,0,1,1708,100,9,92,0,4,6042,1,0,0,4,33053,-27,4,-1,67,-68,0,-68,0
653544191,0,1,1719,100,9,92,0,4,6042,1,0,0,4,33053,-27,6,-1,67,-68,0,-68,0
653554188,0,1,1731,100,9,92,0,4,6042,1,0,0,4,33053,-27,12,-1,67,-68,0,-68,0
653564192,0,1,1747,100,9,92,0,4,6042,1,0,0,4,33053,-27,24,-1,67,-68,0,-68,0
653574184,0,1,1760,100,9,92,0,4,6042,2,0,0,4,33053,-27,26,-1,67,-68,0,-68,0
653584182,0,1,1790,100,9,92,0,4,6042,1,0,0,4,33053,-27,2,-1,67,-68,0,-68,0
653594193,0,1,1808,100,9,92,0,4,6042,1,0,0,4,33053,-27,2,-1,67,-68,0,-68,0
653604185,0,1,1818,100,9,92,0,4,6042,1,0,0,4,33053,-27,2,-1,67,-68,0,-68,0
653614181,0,1,1819,100,9,92,0,4,6042,1,0,0,4,33053,-27,3,-1,67,-68,0,-68,0
653624177,0,1,1811,100,9,92,0,4,6043,1,0,-1,4,33053,-27,6,-1,67,-68,0,-68,0
653634178,0,1,1814,100,9,92,0,4,6042,1,6,0,4,33053,-27,9,-1,67,-68,0,-68,0
653644189,0,1,1812,100,9,92,0,4,6042,1,0,0,4,33053,-27,17,-1,67,-68,0,-68,0
653654182,0,1,1810,100,9,92,0,4,6042,1,0,0,4,33053,-27,36,-1,67,-68,0,-68,0
653664177,0,1,1809,100,9,92,0,4,6042,1,0,0,4,33053,-27,1,-1,67,-68,0,-68,0
653674190,0,1,1808,100,9,92,0,4,6042,1,0,0,4,33053,-27,1,-1,67,-68,0,-68,0
653684188,0,1,1800,100,9,92,0,4,6042,1,0,0,4,33053,-27,2,-1,67,-68,0,-68,0
653694243,0,1,1797,100,9,92,0,4,6042,1,0,0,4,33053,-27,2,-1,67,-68,0,-68,0
653704261,0,1,1792,100,9,92,0,4,6042,1,0,0,4,33053,-27,3,-1,67,-68,0,-68,0
653714186,0,1,1789,100,9,92,0,4,6042,1,0,0,4,33053,-27,7,-1,67,-68,0,-68,0
653724173,0,1,1784,100,9,92,0,4,6042,1,0,0,4,33053,-27,13,-1,67,-68,0,-68,0
653734194,0,1,1778,100,9,92,0,4,6042,1,0,0,4,33053,-27,24,-1,67,-68,0,-68,0
653744190,0,1,1781,100,9,92,0,4,6042,1,0,0,4,33053,-27,33,-1,67,-68,0,-68,0
653754181,0,1,1785,100,9,92,0,4,6042,1,0,0,4,33053,-27,1,-1,67,-68,0,-68,0
653764177,0,1,1786,100,9,92,0,4,6042,1,0,0,4,33053,-27,1,-1,67,-68,0,-68,0
653774192,0,1,1789,100,9,92,0,4,6042,1,0,0,4,33053,-27,2,-1,67,-68,0,-68,0
653784192,0,1,1796,100,9,92,0,4,6042,1,0,0,4,33053,-27,3,-1,67,-68,0,-68,0
653794186,0,1,1798,100,9,92,0,4,6042,1,0,0,4,33053,-27,4,-1,67,-68,0,-68,0
653804181,0,1,1802,100,9,92,0,4,6042,1,0,0,4,33053,-27,8,-1,67,-68,0,-68,0
653814174,0,1,1801,100,9,92,0,4,6042,1,0,0,4,33053,-27,18,-1,67,-68,0,-68,0
653824187,0,1,1801,100,9,92,0,4,6042,1,0,0,4,33053,-27,34,-1,67,-68,0,-68,0
