time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
809804194,0,1,1743,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809814190,0,1,1741,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809824251,0,1,1739,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809834188,0,1,1735,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809844186,0,1,1733,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809854181,0,1,1730,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809864177,0,1,1731,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809874193,0,1,1737,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809884187,0,1,1742,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809894183,0,1,1746,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809904180,0,1,1753,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809914175,0,1,1759,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809924192,0,1,1770,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809934186,0,1,1773,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809944264,0,1,1777,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809954177,0,1,1781,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809964191,0,1,1785,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809974191,0,1,1793,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809984181,0,1,1797,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
809994180,0,1,1802,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810004177,0,1,1798,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810014194,0,1,1787,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810024190,0,1,1772,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810034185,0,1,1762,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810044179,0,1,1754,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810054186,0,1,1744,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810064176,0,1,1739,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810074174,0,1,1746,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810084190,0,1,1769,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810094187,0,1,1780,100,9,99,0,4,6041,2,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810104181,0,1,1791,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810114177,0,1,1802,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810124177,0,1,1816,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810134190,0,1,1818,100,9,99,0,4,6041,2,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810144184,0,1,1810,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810154177,0,1,1802,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810164191,0,1,1791,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810174182,0,1,1786,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810184194,0,1,1767,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810194177,0,1,1761,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810204190,0,1,1756,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810214181,0,1,1754,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810224193,0,1,1753,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810234184,0,1,1753,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810244181,0,1,1749,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810254193,0,1,1747,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810264185,0,1,1747,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810274184,0,1,1754,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810284177,0,1,1761,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810294175,0,1,1766,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810304194,0,1,1782,100,9,99,0,4,6041,2,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810314186,0,1,1788,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810324180,0,1,1795,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810334174,0,1,1801,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810344179,0,1,1795,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810354175,0,1,1781,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810364193,0,1,1773,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810374187,0,1,1765,100,9,99,0,4,6041,2,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810384184,0,1,1756,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810394176,0,1,1751,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810404192,0,1,1744,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810414176,0,1,1757,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810424187,0,1,1764,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810434179,0,1,1774,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810444179,0,1,1783,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810454174,0,1,1792,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810464191,0,1,1808,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810474186,0,1,1807,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810484176,0,1,1804,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810494178,0,1,1801,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810504176,0,1,1797,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810514194,0,1,1790,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810524274,0,1,1787,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810534192,0,1,1785,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810544186,0,1,1788,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810554183,0,1,1790,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810564182,0,1,1797,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810574175,0,1,1802,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810584194,0,1,1806,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810594185,0,1,1807,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810604176,0,1,1814,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810614174,0,1,1819,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810624184,0,1,1821,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810634265,0,1,1823,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810644181,0,1,1824,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810654177,0,1,1830,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810664174,0,1,1832,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810674192,0,1,1834,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810684187,0,1,1837,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810694178,0,1,1839,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810704194,0,1,1842,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810714188,0,1,1843,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810724177,0,1,1846,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810734194,0,1,1847,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810744186,0,1,1851,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810754179,0,1,1851,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810764175,0,1,1855,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810774173,0,1,1857,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810784192,0,1,1860,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810794185,0,1,1863,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810804180,0,1,1861,100,9,99,0,4,6041,2,0,0,4,32234,-27,0,0,91,-91,0,-91,0
810814178,0,1,1863,100,9,99,0,4,6041,1,0,0,4,32234,-27,0,1,91,-90,0,-91,0
