time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
257804183,0,1,1800,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
257814177,0,1,1801,28,9,18,0,4,509,0,0,100,4,642,-1,3,10,100,100,9,91,0
257824188,0,1,1802,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
257834183,0,1,1803,28,9,18,0,4,509,0,0,100,4,642,-1,1,10,100,100,9,91,0
257844192,0,1,1806,28,9,18,0,4,509,0,0,100,4,642,-1,5,10,100,100,9,91,0
257854185,0,1,1808,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
257864195,0,1,1811,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
257874182,0,1,1814,28,9,18,0,4,509,0,0,100,4,642,-1,3,10,100,100,9,91,0
257884196,0,1,1818,28,9,18,0,4,509,0,0,100,4,642,-1,3,10,100,100,9,91,0
257894188,0,1,1825,28,9,18,0,4,509,0,0,100,4,642,-1,3,10,100,100,9,91,0
257904178,0,1,1828,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
257914195,0,1,1833,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
257924250,0,1,1838,28,9,18,0,4,509,0,0,100,4,642,-1,3,10,100,100,9,91,0
257934189,0,1,1835,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
257944182,0,1,1831,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
257954193,0,1,1825,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
257964190,0,1,1821,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
257974179,0,1,1815,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
257984192,0,1,1804,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
257994187,0,1,1801,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
258004179,0,1,1806,28,9,18,0,4,509,0,0,100,4,642,-1,3,10,100,100,9,91,0
258014179,0,1,1812,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
258024196,0,1,1820,28,9,18,0,4,509,0,0,100,4,642,-1,3,10,100,100,9,91,0
258034183,0,1,1833,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
258044194,0,1,1840,28,9,18,0,4,509,-1,0,100,4,642,-1,2,10,100,100,9,91,0
258054185,0,1,1847,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
258064180,0,1,1854,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
258074179,0,1,1853,28,9,18,0,4,509,0,0,100,4,642,-1,3,10,100,100,9,91,0
258084194,0,1,1852,28,9,18,0,4,509,0,0,100,4,642,-1,6,10,100,100,9,91,0
258094190,0,1,1851,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
258104184,0,1,1851,28,9,18,0,4,509,0,0,100,4,642,-1,3,10,100,100,9,91,0
258114192,0,1,1850,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
258124185,0,1,1850,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
258134176,0,1,1845,28,9,18,0,4,509,0,0,100,4,642,-1,2,10,100,100,9,91,0
