time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
238274186,90,2,3108,100,7,96,0,4,8051,60,2,-1,4,32756,-87,197,22,76,-54,26,-81,0
238284201,90,2,3111,100,7,96,0,4,8050,62,1,-1,4,32765,-86,200,22,76,-54,26,-80,0
238294195,92,2,3111,100,7,96,0,4,8050,62,1,-1,4,32776,-85,193,22,75,-53,27,-80,0
238304185,92,2,3115,100,7,96,0,4,8049,61,1,-1,4,32788,-84,182,22,75,-53,27,-80,0
238314181,92,2,3117,100,7,96,0,4,8048,62,1,-1,4,32799,-85,173,22,75,-53,27,-80,0
238324199,92,2,3117,100,7,96,0,4,8047,62,1,-1,4,32810,-86,183,21,74,-53,26,-79,0
238334199,92,2,3121,100,7,96,0,4,8047,63,2,-1,4,32820,-86,177,22,74,-52,26,-79,0
238344202,92,2,3121,100,7,96,0,4,8046,62,1,-1,4,32831,-85,209,22,74,-52,27,-79,0
238354185,86,2,3567,95,-1,96,0,4,8046,62,1,19,4,32842,-85,223,6,60,-54,24,-79,0
238364184,86,2,3563,95,-1,96,0,4,8052,60,142,19,4,32846,-84,43,7,60,-53,25,-78,0
238374194,86,2,3568,95,-1,96,0,4,8064,60,131,18,4,32845,-84,55,7,60,-53,25,-78,0
238384193,89,2,3559,95,-1,96,0,4,8075,63,133,18,4,32844,-85,53,7,60,-53,24,-78,0
238394184,89,2,3098,100,8,96,0,4,8086,66,126,18,4,32844,-85,53,7,60,-53,24,-78,0
238404194,89,2,3072,100,8,96,0,4,8097,69,115,-2,4,32844,-84,54,23,73,-50,27,-77,0
238414261,89,2,3044,100,9,96,0,4,8102,70,10,-2,4,32850,-84,247,23,73,-50,27,-77,0
238424185,89,2,3018,100,9,96,0,4,8100,70,8,-2,4,32860,-84,227,23,73,-50,27,-77,0
238434183,89,1,2990,100,9,96,0,4,8097,66,8,-62,4,32872,-84,167,-26,72,-98,-20,-77,0
238444191,89,1,2968,100,9,96,0,4,8057,62,349,-61,4,32867,-83,173,-26,72,-98,-20,-77,0
238454196,89,1,2947,100,9,96,0,4,7984,62,246,-59,4,32844,-82,137,-24,73,-97,-20,-77,0
238464189,29,1,2929,100,9,96,0,4,7898,62,185,-56,4,32813,-82,106,-24,74,-98,-20,-78,0
238474186,29,1,2909,100,9,96,0,4,7804,62,141,-53,4,32781,-80,116,-22,75,-97,-19,-78,0
238484194,29,1,2893,100,9,96,0,4,7703,57,127,-50,4,32750,-77,95,-20,76,-96,-18,-78,0
238494184,99,1,2878,100,9,96,0,4,7599,50,103,-47,4,32719,-72,88,-17,77,-94,-16,-78,0
238504185,99,1,2862,100,9,96,0,4,7492,50,89,-44,4,32689,-72,69,-17,78,-95,-16,-78,0
238514181,89,1,2843,100,9,96,0,4,7382,45,79,-41,4,32661,-67,71,-14,79,-93,-14,-78,0
238524184,89,1,2830,100,9,96,0,4,7271,40,67,-37,4,32635,-64,54,-13,79,-92,-13,-79,0
238534200,89,1,2809,100,9,96,0,4,7159,33,56,-34,4,32612,-60,49,-11,80,-91,-12,-79,0
