time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
130684173,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130694172,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130704183,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130714171,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130724166,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130734179,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130744175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130754185,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130764184,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130774165,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130784166,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130794176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130804184,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130814180,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130824176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130834170,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130844179,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130854180,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130864179,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130874177,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130884176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130894166,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130904167,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130914178,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130924172,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130934181,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130944177,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130954166,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130964178,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130974178,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130984180,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
130994175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131004168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131014176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131024184,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131034173,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131044165,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131054174,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131064169,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131074169,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131084181,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131094168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131104168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131114176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131124168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131134177,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131144176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131154185,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131164181,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131174171,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131184168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131194167,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131204168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131214184,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131224174,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131234184,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131244177,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131254169,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131264185,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131274177,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131284168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131294178,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131304177,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131314176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131324181,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131334185,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131344176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131354172,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131364166,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131374184,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131384183,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131394172,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131404171,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131414176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131424171,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131434165,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131444179,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131454178,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131464178,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131474176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131484175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131494236,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131504173,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131514169,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131524185,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131534183,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131544184,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131554172,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131564171,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131574169,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131584179,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131594175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131604168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131614175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131624181,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131634168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131644167,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131654169,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131664170,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131674175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131684165,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131694176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131704175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131714166,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131724175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131734166,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131744176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131754175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131764171,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131774165,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131784173,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131794184,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131804185,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131814167,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131824180,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131834176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131844168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131854184,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131864178,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131874168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131884180,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131894178,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131904170,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131914179,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131924172,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131934175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131944168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131954184,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131964170,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131974182,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131984175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
131994165,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132004175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132014178,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132024173,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132034168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132044177,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132054166,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132064175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132074172,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132084178,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132094185,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132104177,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132114172,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132124165,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132134177,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132144167,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132154176,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132164183,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132174169,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132184175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132194168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132204185,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132214173,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132224185,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132234165,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132244166,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132254166,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132264175,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132274173,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132284168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132294181,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132304181,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132314181,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132324181,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132334168,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132344172,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132354181,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132364178,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
132374167,0,1,0,0,0,99,0,3,-66,-42,0,0,3,-82,46,0,0,0,0,0,0,0
