time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
409714183,0,1,1785,100,9,99,0,4,6042,1,0,0,4,33416,-28,3,-1,56,-57,0,-57,0
409724188,0,1,1773,100,9,99,0,4,6042,1,0,0,4,33416,-28,3,-1,56,-57,0,-57,0
409734179,0,1,1764,100,9,99,0,4,6042,1,0,0,4,33416,-28,5,-1,56,-57,0,-57,0
409744188,0,1,1762,100,9,99,0,4,6042,1,0,0,4,33416,-28,4,-1,56,-57,0,-57,0
409754200,0,1,1760,100,9,99,0,4,6042,1,0,0,4,33416,-28,3,-1,56,-57,0,-57,0
409764180,0,1,1758,100,9,99,0,4,6042,1,0,0,4,33416,-28,3,-1,56,-57,0,-57,0
409774218,0,1,1758,100,9,99,0,4,6042,1,0,0,4,33416,-28,2,-1,56,-57,0,-57,0
409784191,0,1,1756,100,9,99,0,4,6042,1,0,0,4,33416,-28,5,-1,56,-57,0,-57,0
409794182,0,1,1756,100,9,99,0,4,6042,1,0,0,4,33416,-28,2,-1,56,-57,0,-57,0
409804182,0,1,1754,100,9,99,0,4,6042,1,0,0,4,33416,-28,4,-1,56,-57,0,-57,0
409814197,0,1,1757,100,9,99,0,4,6043,1,0,-1,4,33416,-28,5,-1,56,-57,0,-57,0
409824194,0,1,1760,100,9,99,0,4,6043,1,0,-1,4,33416,-27,3,-1,56,-57,0,-57,0
409834186,0,1,1764,100,9,99,0,4,6042,1,1,0,4,33416,-28,4,-1,56,-57,0,-57,0
409844190,0,1,1765,100,9,99,0,4,6042,1,0,0,4,33416,-28,3,-1,56,-57,0,-57,0
409854183,0,1,1767,100,9,99,0,4,6042,1,0,0,4,33416,-28,3,-1,56,-57,0,-57,0
409864177,0,1,1768,100,9,99,0,4,6042,1,0,0,4,33416,-28,5,-1,56,-57,0,-57,0
409874188,0,1,1772,100,9,99,0,4,6042,1,0,0,4,33416,-28,3,-1,56,-57,0,-57,0
409884182,0,1,1773,100,9,99,0,4,6042,1,0,0,4,33416,-28,4,-1,56,-57,0,-57,0
409894191,0,1,1772,100,9,99,0,4,6042,1,0,0,4,33416,-27,6,-1,56,-57,0,-57,0
409904181,0,1,1774,100,9,99,0,4,6042,1,0,0,4,33416,-28,3,-1,56,-57,0,-57,0
409914192,0,1,1776,100,9,99,0,4,6042,1,0,0,4,33416,-28,3,-1,56,-57,0,-57,0
409924179,0,1,1777,100,9,99,0,4,6042,1,0,0,4,33416,-28,2,-1,56,-57,0,-57,0
409934179,0,1,1782,100,9,99,0,4,6042,1,0,0,4,33416,-28,3,-1,56,-57,0,-57,0
409944188,0,1,1785,100,9,99,0,4,6042,1,0,0,4,33416,-28,4,-1,56,-57,0,-57,0
409954179,0,1,1790,100,9,99,0,4,6043,1,0,-1,4,33416,-28,3,-1,56,-57,0,-57,0
409964190,0,1,1795,100,9,99,0,4,6042,1,2,0,4,33416,-28,4,-1,56,-57,0,-57,0
409974187,0,1,1802,100,9,99,0,4,6042,1,0,0,4,33416,-28,5,-1,56,-57,0,-57,0
409984177,0,1,1807,100,9,99,0,4,6042,1,0,0,4,33416,-28,3,-1,56,-57,0,-57,0
409994193,0,1,1812,100,9,99,0,4,6042,1,0,0,4,33416,-28,4,-1,56,-57,0,-57,0
410004195,0,1,1812,100,9,99,0,4,6042,1,0,0,4,33416,-28,2,-1,56,-57,0,-57,0
410014187,0,1,1812,100,9,99,0,4,6042,1,0,0,4,33416,-28,4,-2,56,-58,0,-57,0
410024195,0,1,1806,100,9,99,0,4,6042,1,0,0,4,33416,-28,14,-2,56,-58,0,-57,0
410034182,0,1,1799,100,9,99,0,4,6042,1,0,0,4,33416,-28,8,-2,56,-58,0,-57,0
410044193,0,1,1799,100,9,99,0,4,6042,1,0,0,4,33416,-28,11,-2,56,-58,0,-57,0
410054183,0,1,1796,100,9,99,0,4,6042,1,0,0,4,33416,-28,9,-2,56,-58,0,-57,0
410064179,0,1,1793,100,9,99,0,4,6042,1,0,0,4,33416,-28,10,-2,56,-58,0,-57,0
410074194,0,1,1791,100,9,99,0,4,6042,1,0,0,4,33416,-28,13,-2,56,-58,0,-57,0
410084178,0,1,1784,100,9,99,0,4,6042,1,0,0,4,33416,-28,8,-2,56,-58,0,-57,0
410094193,0,1,1779,100,9,99,0,4,6042,1,0,0,4,33416,-28,10,-2,56,-58,0,-57,0
410104187,0,1,1777,100,9,99,0,4,6042,1,0,0,4,33416,-28,14,-2,56,-58,0,-57,0
410114179,0,1,1774,100,9,99,0,4,6042,1,0,0,4,33416,-28,9,-2,56,-58,0,-57,0
