time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
120504183,9,1,1762,100,14,96,1,4,5976,6,2,0,4,32105,-35,47,-5,95,-101,-2,-98,0
120514179,9,1,1775,100,14,96,1,4,5976,5,0,0,4,32105,-34,31,-5,95,-100,-2,-98,0
120524179,9,1,1780,100,14,96,1,4,5976,5,0,0,4,32105,-35,43,-5,95,-101,-2,-98,0
120534192,9,1,1787,100,14,96,1,4,5976,5,0,0,4,32105,-35,45,-5,95,-101,-2,-98,0
120544179,9,1,1795,100,14,96,1,4,5976,6,0,0,4,32105,-34,35,-5,95,-100,-2,-98,0
120554195,9,1,1801,100,14,96,1,4,5976,6,0,0,4,32105,-34,46,-5,95,-100,-2,-98,0
120564180,9,1,1810,100,14,96,1,4,5976,7,0,0,4,32105,-35,28,-5,95,-101,-2,-98,0
120574195,9,1,1809,100,14,96,1,4,5976,6,0,0,4,32105,-35,37,-5,95,-101,-2,-98,0
120584180,9,1,1807,100,14,96,1,4,5976,4,0,0,4,32105,-34,47,-5,95,-100,-2,-98,0
120594184,9,1,1807,100,14,96,1,4,5975,4,0,1,4,32105,-35,31,-5,95,-101,-2,-98,0
120604177,18,1,1805,100,14,96,1,4,5975,5,2,1,4,32105,-35,44,-5,95,-101,-2,-98,0
120614192,18,1,1802,100,14,96,1,4,5976,5,1,0,4,32105,-34,43,-5,95,-100,-2,-98,0
120624186,18,1,1800,100,14,96,1,4,5976,6,0,0,4,32105,-35,36,-5,95,-101,-2,-98,0
120634182,18,1,1797,100,14,96,1,4,5976,7,0,0,4,32105,-35,48,-5,95,-101,-2,-98,0
120644190,18,1,1793,100,14,96,1,4,5976,5,0,0,4,32105,-35,29,-5,95,-101,-2,-98,0
120654196,18,1,1787,100,14,96,1,4,5975,4,0,1,4,32105,-34,39,-5,95,-100,-2,-98,0
120664195,18,1,1780,100,14,96,1,4,5975,4,3,1,4,32105,-35,48,-5,95,-101,-2,-98,0
120674180,18,1,1776,100,14,96,1,4,5975,5,2,1,4,32105,-35,33,-5,95,-101,-2,-98,0
120684196,18,1,1772,100,14,96,1,4,5976,5,2,0,4,32105,-34,43,-5,95,-100,-2,-98,0
120694179,18,1,1767,100,14,96,1,4,5976,6,0,0,4,32105,-35,30,-5,95,-101,-2,-98,0
120704195,18,1,1771,100,14,96,1,4,5976,7,0,0,4,32105,-35,34,-5,95,-101,-2,-98,0
120714180,18,1,1782,100,14,96,1,4,5976,5,0,0,4,32105,-35,47,-5,95,-101,-2,-98,0
120724192,18,1,1788,100,14,96,1,4,5975,5,0,1,4,32105,-35,29,-5,95,-101,-2,-98,0
120734177,18,1,1792,100,14,96,1,4,5975,5,2,1,4,32105,-35,42,-5,95,-101,-2,-98,0
120744186,18,1,1799,100,14,96,1,4,5976,6,1,0,4,32105,-35,46,-5,95,-101,-2,-98,0
120754192,18,1,1804,100,14,96,1,4,5976,5,0,0,4,32105,-35,32,-5,95,-101,-2,-98,0
120764178,18,1,1807,100,14,96,1,4,5976,7,0,0,4,32105,-35,46,-5,95,-101,-2,-98,0
120774184,18,1,1801,100,14,96,1,4,5976,6,0,0,4,32105,-34,29,-5,95,-100,-2,-98,0
120784194,18,1,1792,100,14,96,1,4,5976,5,0,0,4,32105,-35,37,-5,95,-101,-2,-98,0
120794192,18,1,1784,100,14,96,1,4,5975,5,0,1,4,32105,-35,49,-5,95,-101,-2,-98,0
120804195,12,1,1777,100,14,96,1,4,5975,5,2,1,4,32105,-35,30,-5,95,-101,-2,-98,0
120814187,12,1,1769,100,14,96,1,4,5976,5,2,0,4,32105,-34,41,-5,95,-100,-2,-98,0
120824193,12,1,1749,100,14,96,1,4,5976,5,0,0,4,32105,-35,46,-5,95,-101,-2,-98,0
120834182,12,1,1755,100,14,96,1,4,5976,6,0,0,4,32105,-35,34,-5,95,-101,-2,-98,0
120844194,12,1,1757,100,14,96,1,4,5976,6,0,0,4,32105,-34,44,-5,95,-100,-2,-98,0
120854179,12,1,1765,100,14,96,1,4,5976,5,0,0,4,32105,-35,28,-5,95,-101,-2,-98,0
120864189,12,1,1771,100,14,96,1,4,5975,6,0,1,4,32105,-35,37,-5,95,-101,-2,-98,0
120874179,12,1,1783,100,14,96,1,4,5975,6,3,1,4,32105,-35,48,-5,95,-101,-2,-98,0
120884190,12,1,1789,100,14,96,1,4,5976,6,2,0,4,32105,-34,31,-5,95,-100,-2,-98,0
120894179,12,1,1798,100,14,96,1,4,5976,6,0,0,4,32105,-35,45,-5,95,-101,-2,-98,0
120904188,12,1,1794,100,14,96,1,4,5975,7,0,1,4,32105,-35,43,-5,95,-101,-2,-98,0
120914177,12,1,1791,100,14,96,1,4,5975,6,2,1,4,32105,-34,36,-5,95,-100,-2,-98,0
120924190,12,1,1784,100,14,96,1,4,5976,4,3,0,4,32105,-35,47,-5,95,-101,-2,-98,0
120934197,12,1,1770,100,14,96,1,4,5976,5,0,0,4,32105,-35,27,-5,95,-101,-2,-98,0
120944179,18,1,1765,100,14,96,1,4,5976,5,0,0,4,32105,-34,39,-5,95,-100,-2,-98,0
120954179,18,1,1758,100,14,96,1,4,5976,5,0,0,4,32105,-34,47,-5,95,-100,-2,-98,0
120964188,18,1,1752,100,14,96,1,4,5976,6,0,0,4,32105,-35,31,-5,95,-101,-2,-98,0
120974180,18,1,1752,100,14,96,1,4,5975,7,0,1,4,32105,-35,44,-5,95,-101,-2,-98,0
120984183,18,1,1759,100,14,96,1,4,5975,6,2,1,4,32105,-34,36,-5,95,-100,-2,-98,0
120994196,18,1,1763,100,14,96,1,4,5976,5,2,0,4,32105,-35,35,-5,95,-101,-2,-98,0
121004182,18,1,1767,100,14,96,1,4,5976,6,0,0,4,32105,-35,48,-5,95,-101,-2,-98,0
121014188,18,1,1771,100,14,96,1,4,5976,6,0,0,4,32105,-34,30,-5,95,-100,-2,-98,0
121024227,18,1,1776,100,14,96,1,4,5976,5,0,0,4,32105,-35,35,-5,95,-101,-2,-98,0
121034181,18,1,1778,100,14,96,1,4,5976,6,0,0,4,32105,-35,47,-5,95,-101,-2,-98,0
121044192,18,1,1786,100,14,96,1,4,5975,7,0,1,4,32105,-35,32,-5,95,-101,-2,-98,0
121054184,18,1,1789,100,14,96,1,4,5975,5,2,1,4,32105,-34,46,-5,95,-100,-2,-98,0
121064189,18,1,1795,100,14,96,1,4,5976,5,1,0,4,32105,-35,34,-5,95,-101,-2,-98,0
121074198,18,1,1797,100,14,96,1,4,5976,6,0,0,4,32105,-35,34,-5,95,-101,-2,-98,0
121084198,18,1,1802,100,14,96,1,4,5976,6,0,0,4,32105,-34,46,-5,95,-100,-2,-98,0
121094190,18,1,1810,100,14,96,1,4,5976,6,0,0,4,32105,-35,29,-5,95,-101,-2,-98,0
121104263,18,1,1809,100,14,96,1,4,5975,6,0,1,4,32105,-35,33,-5,95,-101,-2,-98,0
121114195,18,1,1807,100,14,96,1,4,5975,6,3,1,4,32105,-35,46,-5,95,-101,-2,-98,0
121124182,18,1,1806,100,14,96,1,4,5976,4,1,0,4,32105,-34,34,-5,95,-100,-2,-98,0
121134189,18,1,1804,100,14,96,1,4,5976,5,0,0,4,32105,-35,46,-5,95,-101,-2,-98,0
121144196,12,1,1801,100,14,96,1,4,5976,5,0,0,4,32105,-35,33,-5,95,-101,-2,-98,0
121154266,12,1,1801,100,14,96,1,4,5976,6,0,0,4,32105,-34,29,-5,95,-100,-2,-98,0
121164188,12,1,1800,100,14,96,1,4,5976,6,0,0,4,32105,-35,48,-5,95,-101,-2,-98,0
