time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
324564196,0,1,1777,100,14,97,3,4,6042,2,1,0,4,32133,-43,52,-5,95,-100,-5,-94,0
324574191,0,1,1776,100,14,97,3,4,6042,2,1,0,4,32133,-43,33,-5,95,-100,-5,-94,0
324584195,0,1,1780,100,14,97,3,4,6042,2,1,0,4,32133,-43,45,-5,95,-100,-5,-94,0
324594184,0,1,1786,100,14,97,3,4,6042,2,1,0,4,32133,-43,51,-5,95,-100,-5,-94,0
324604191,0,1,1785,100,14,97,3,4,6042,2,1,0,4,32133,-43,36,-5,95,-100,-5,-94,0
324614189,0,1,1791,100,14,97,3,4,6043,2,1,-1,4,32133,-43,49,-5,95,-100,-5,-94,0
324624187,0,1,1793,100,14,97,3,4,6043,2,3,-1,4,32133,-43,33,-5,95,-100,-5,-94,0
324634188,0,1,1794,100,14,97,3,4,6043,2,2,-1,4,32133,-43,41,-5,95,-100,-5,-94,0
324644190,0,1,1797,100,14,97,3,4,6043,2,3,-1,4,32133,-43,52,-5,95,-100,-5,-94,0
324654188,0,1,1798,100,14,97,3,4,6042,2,5,0,4,32133,-43,34,-5,95,-100,-5,-94,0
324664180,0,1,1798,100,14,97,3,4,6042,2,1,0,4,32133,-43,48,-5,95,-100,-5,-94,0
324674179,0,1,1800,100,14,97,3,4,6042,2,1,0,4,32133,-43,47,-5,95,-100,-5,-94,0
324684186,0,1,1799,100,14,97,3,4,6042,2,1,0,4,32133,-43,39,-5,95,-100,-5,-94,0
324694184,0,1,1801,100,14,97,3,4,6042,2,1,0,4,32133,-43,51,-5,95,-100,-5,-94,0
324704182,0,1,1803,100,14,97,3,4,6042,2,1,0,4,32133,-43,32,-5,95,-100,-5,-94,0
324714180,0,1,1804,100,14,97,3,4,6042,2,1,0,4,32133,-43,43,-5,95,-100,-5,-94,0
324724179,0,1,1806,100,14,97,3,4,6042,2,1,0,4,32133,-43,52,-5,95,-100,-5,-94,0
324734181,0,1,1806,100,14,97,3,4,6042,2,1,0,4,32133,-43,36,-5,95,-100,-5,-94,0
324744181,0,1,1811,100,14,97,3,4,6042,2,1,0,4,32133,-43,49,-5,95,-100,-5,-94,0
324754182,0,1,1815,100,14,97,3,4,6042,2,1,0,4,32133,-43,45,-5,95,-100,-5,-94,0
324764194,0,1,1816,100,14,97,3,4,6042,2,1,0,4,32133,-43,39,-5,95,-100,-5,-94,0
324774194,0,1,1818,100,14,97,3,4,6043,2,1,-1,4,32133,-43,51,-5,95,-100,-5,-94,0
324784193,0,1,1820,100,14,97,3,4,6042,2,3,0,4,32133,-43,32,-5,95,-100,-5,-94,0
324794186,0,1,1826,100,14,97,3,4,6042,2,1,0,4,32133,-43,44,-5,95,-100,-5,-94,0
324804184,0,1,1828,100,14,97,3,4,6042,2,1,0,4,32133,-43,52,-5,95,-100,-5,-94,0
324814183,0,1,1829,100,14,97,3,4,6042,2,1,0,4,32133,-43,36,-5,95,-100,-5,-94,0
324824180,0,1,1831,100,14,97,3,4,6042,2,1,0,4,32133,-43,50,-5,95,-100,-5,-94,0
324834194,0,1,1830,100,14,97,3,4,6042,2,1,0,4,32133,-43,47,-5,95,-100,-5,-94,0
324844196,0,1,1826,100,14,97,3,4,6043,2,1,-1,4,32133,-43,39,-5,95,-100,-5,-94,0
324854194,0,1,1820,100,14,97,3,4,6043,2,4,-1,4,32133,-43,52,-5,95,-100,-5,-94,0
324864188,0,1,1813,100,14,97,3,4,6042,2,2,0,4,32133,-43,33,-5,95,-100,-5,-94,0
324874193,0,1,1806,100,14,97,3,4,6042,2,1,0,4,32133,-43,44,-5,95,-100,-5,-94,0
324884189,0,1,1795,100,14,97,3,4,6042,2,1,0,4,32133,-43,51,-5,95,-100,-5,-94,0
324894187,0,1,1786,100,14,97,3,4,6042,2,1,0,4,32133,-43,38,-5,95,-100,-5,-94,0
324904182,0,1,1785,100,14,97,3,4,6043,2,1,-1,4,32133,-43,51,-5,95,-100,-5,-94,0
324914191,0,1,1784,100,14,97,3,4,6043,2,3,-1,4,32133,-43,40,-5,95,-100,-5,-94,0
324924195,0,1,1785,100,14,97,3,4,6042,2,2,0,4,32133,-43,40,-5,95,-100,-5,-94,0
324934184,0,1,1788,100,14,97,3,4,6042,2,1,0,4,32133,-43,52,-5,95,-100,-5,-94,0
324944186,0,1,1788,100,14,97,3,4,6042,2,1,0,4,32133,-43,33,-5,95,-100,-5,-94,0
324954189,0,1,1787,100,14,97,3,4,6042,2,1,0,4,32133,-43,46,-5,95,-100,-5,-94,0
324964191,0,1,1789,100,14,97,3,4,6042,2,1,0,4,32133,-43,50,-5,95,-100,-5,-94,0
324974188,0,1,1788,100,14,97,3,4,6042,2,1,0,4,32133,-43,38,-5,95,-100,-5,-94,0
324984186,0,1,1784,100,14,97,3,4,6042,2,1,0,4,32133,-43,52,-5,95,-100,-5,-94,0
324994194,0,1,1772,100,14,97,3,4,6042,2,1,0,4,32133,-43,35,-5,95,-100,-5,-94,0
325004186,0,1,1771,100,14,97,3,4,6042,2,1,0,4,32133,-43,43,-5,95,-100,-5,-94,0
325014183,0,1,1765,100,14,97,3,4,6042,2,1,0,4,32133,-43,53,-5,95,-100,-5,-94,0
325024182,0,1,1763,100,14,97,3,4,6042,2,1,0,4,32133,-43,35,-5,95,-100,-5,-94,0
325034179,0,1,1757,100,14,97,3,4,6042,2,1,0,4,32133,-43,48,-5,95,-100,-5,-94,0
325044182,0,1,1759,100,14,97,3,4,6042,2,1,0,4,32133,-43,44,-5,95,-100,-5,-94,0
325054184,0,1,1769,100,14,97,3,4,6042,2,1,0,4,32133,-43,39,-5,95,-100,-5,-94,0
325064269,0,1,1776,100,14,97,3,4,6043,2,1,-1,4,32133,-43,42,-5,95,-100,-5,-94,0
325074186,0,1,1779,100,14,97,3,4,6043,2,2,-1,4,32133,-43,32,-5,95,-100,-5,-94,0
325084183,0,1,1787,100,14,97,3,4,6043,2,4,-1,4,32133,-43,45,-5,95,-100,-5,-94,0
325094179,0,1,1791,100,14,97,3,4,6043,2,4,-1,4,32133,-43,52,-5,95,-100,-5,-94,0
325104197,0,1,1799,100,14,97,3,4,6043,2,3,-1,4,32133,-43,35,-5,95,-100,-5,-94,0
325114193,0,1,1795,100,14,97,3,4,6042,2,4,0,4,32133,-43,48,-5,95,-100,-5,-94,0
325124191,0,1,1795,100,14,97,3,4,6042,2,1,0,4,32133,-43,47,-5,95,-100,-5,-94,0
325134233,0,1,1792,100,14,97,3,4,6042,2,1,0,4,32133,-43,34,-5,95,-100,-5,-94,0
325144192,0,1,1791,100,14,97,3,4,6042,2,1,0,4,32133,-43,51,-5,95,-100,-5,-94,0
325154188,0,1,1785,100,14,97,3,4,6042,2,1,0,4,32133,-43,32,-5,95,-100,-5,-94,0
325164187,0,1,1781,100,14,97,3,4,6042,2,1,0,4,32133,-43,45,-5,95,-100,-5,-94,0
325174186,0,1,1786,100,14,97,3,4,6042,2,1,0,4,32133,-43,52,-5,95,-100,-5,-94,0
325184182,0,1,1789,100,14,97,3,4,6042,2,1,0,4,32133,-43,38,-5,95,-100,-5,-94,0
325194181,0,1,1794,100,14,97,3,4,6042,2,1,0,4,32133,-43,51,-5,95,-100,-5,-94,0
325204193,0,1,1801,100,14,97,3,4,6042,2,1,0,4,32133,-43,44,-5,95,-100,-5,-94,0
325214188,0,1,1805,100,14,97,3,4,6042,2,1,0,4,32133,-43,41,-5,95,-100,-5,-94,0
325224181,0,1,1810,100,14,97,3,4,6042,2,1,0,4,32133,-43,53,-5,95,-100,-5,-94,0
325234182,0,1,1815,100,14,97,3,4,6043,2,1,-1,4,32133,-43,33,-5,95,-100,-5,-94,0
325244179,0,1,1812,100,14,97,3,4,6043,2,3,-1,4,32133,-43,46,-5,95,-100,-5,-94,0
325254177,0,1,1807,100,14,97,3,4,6042,2,3,0,4,32133,-43,47,-5,95,-100,-5,-94,0
325264177,0,1,1803,100,14,97,3,4,6042,2,1,0,4,32133,-43,39,-5,95,-100,-5,-94,0
325274191,0,1,1801,100,14,97,3,4,6042,2,1,0,4,32133,-43,50,-5,95,-100,-5,-94,0
325284190,0,1,1799,100,14,97,3,4,6042,2,1,0,4,32133,-43,35,-5,95,-100,-5,-94,0
325294190,0,1,1794,100,14,97,3,4,6042,2,1,0,4,32133,-43,45,-5,95,-100,-5,-94,0
325304196,0,1,1793,100,14,97,3,4,6043,2,1,-1,4,32133,-43,53,-5,95,-100,-5,-94,0
325314195,0,1,1794,100,14,97,3,4,6043,2,3,-1,4,32133,-43,34,-5,95,-100,-5,-94,0
325324195,0,1,1795,100,14,97,3,4,6042,2,4,0,4,32133,-43,46,-5,95,-100,-5,-94,0
325334179,0,1,1796,100,14,97,3,4,6042,2,1,0,4,32133,-43,46,-5,95,-100,-5,-94,0
325344187,0,1,1799,100,14,97,3,4,6042,2,1,0,4,32133,-43,38,-5,95,-100,-5,-94,0
325354189,0,1,1803,100,14,97,3,4,6042,2,1,0,4,32133,-43,51,-5,95,-100,-5,-94,0
325364191,0,1,1803,100,14,97,3,4,6042,2,1,0,4,32133,-43,32,-5,95,-100,-5,-94,0
325374196,0,1,1801,100,14,97,3,4,6042,2,1,0,4,32133,-43,42,-5,95,-100,-5,-94,0
325384196,0,1,1799,100,14,97,3,4,6042,2,1,0,4,32133,-43,53,-5,95,-100,-5,-94,0
325394176,0,1,1794,100,14,97,3,4,6042,2,1,0,4,32133,-43,39,-5,95,-100,-5,-94,0
325404194,0,1,1786,100,14,97,3,4,6042,2,1,0,4,32133,-43,48,-5,95,-100,-5,-94,0
325414181,0,1,1782,100,14,97,3,4,6042,2,1,0,4,32133,-43,44,-5,95,-100,-5,-94,0
325424180,0,1,1779,100,14,97,3,4,6042,2,1,0,4,32133,-43,41,-5,95,-100,-5,-94,0
325434179,0,1,1775,100,14,97,3,4,6043,2,1,-1,4,32133,-43,52,-5,95,-100,-5,-94,0
325444195,0,1,1776,100,14,97,3,4,6043,2,2,-1,4,32133,-43,31,-5,95,-100,-5,-94,0
325454186,0,1,1782,100,14,97,3,4,6042,2,2,0,4,32133,-43,44,-5,95,-100,-5,-94,0
325464186,0,1,1785,100,14,97,3,4,6042,2,1,0,4,32133,-43,52,-5,95,-100,-5,-94,0
