time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
125604188,0,1,1746,100,4,99,2,4,6042,2,1,0,4,32735,-27,11,-3,76,-79,0,-79,0
125614195,0,1,1748,100,4,99,2,4,6042,2,0,0,4,32735,-27,19,-3,76,-79,0,-79,0
125624193,0,1,1747,100,4,99,2,4,6042,2,0,0,4,32735,-26,25,-2,76,-78,0,-79,0
125634192,0,1,1749,100,4,99,2,4,6042,2,0,0,4,32735,-26,8,-2,76,-78,0,-79,0
125644187,0,1,1751,100,4,99,2,4,6042,2,0,0,4,32735,-26,14,-2,76,-78,0,-79,0
125654187,0,1,1758,100,4,99,2,4,6042,1,0,0,4,32735,-26,16,-2,76,-78,0,-79,0
125664177,0,1,1762,100,4,99,2,4,6042,1,0,0,4,32735,-26,11,-2,76,-78,0,-79,0
125674197,0,1,1764,100,4,99,2,4,6042,2,0,0,4,32735,-27,14,-3,76,-79,0,-79,0
125684180,0,1,1768,100,4,99,2,4,6042,2,0,0,4,32735,-27,15,-3,76,-79,0,-79,0
125694182,0,1,1771,100,4,99,2,4,6042,2,0,0,4,32735,-26,21,-2,76,-78,0,-79,0
125704184,0,1,1777,100,4,99,2,4,6042,2,0,0,4,32735,-26,18,-2,76,-78,0,-79,0
125714182,0,1,1770,100,4,99,2,4,6042,1,0,0,4,32735,-26,11,-2,76,-78,0,-79,0
125724180,0,1,1763,100,4,99,2,4,6042,2,0,0,4,32735,-26,15,-2,76,-78,0,-79,0
125734195,0,1,1758,100,4,99,2,4,6042,2,0,0,4,32735,-26,16,-2,76,-78,0,-79,0
125744191,0,1,1751,100,4,99,2,4,6042,2,0,0,4,32735,-26,10,-2,76,-78,0,-79,0
125754189,0,1,1744,100,4,99,2,4,6042,2,0,0,4,32735,-26,14,-2,76,-78,0,-79,0
125764180,0,1,1740,100,4,99,2,4,6043,2,0,-1,4,32735,-26,9,-2,76,-78,0,-79,0
125774178,0,1,1733,100,4,99,2,4,6042,2,2,0,4,32735,-26,13,-2,76,-78,0,-79,0
125784180,0,1,1739,100,4,99,2,4,6042,1,0,0,4,32735,-26,16,-2,76,-78,0,-79,0
125794180,0,1,1745,100,4,99,2,4,6042,2,0,0,4,32735,-26,10,-2,76,-78,0,-79,0
125804194,0,1,1750,100,4,99,2,4,6042,2,0,0,4,32735,-26,15,-2,76,-78,0,-79,0
125814188,0,1,1756,100,4,99,2,4,6042,2,0,0,4,32735,-27,17,-3,76,-79,0,-79,0
125824184,0,1,1762,100,4,99,2,4,6042,2,0,0,4,32735,-26,19,-2,76,-78,0,-79,0
125834180,0,1,1773,100,4,99,2,4,6042,2,0,0,4,32735,-26,16,-2,76,-78,0,-79,0
125844187,0,1,1768,100,4,99,2,4,6042,2,0,0,4,32735,-26,9,-2,76,-78,0,-79,0
125854187,0,1,1757,100,4,99,2,4,6042,1,2,0,4,32735,-26,13,-2,76,-78,0,-79,0
125864187,0,1,1746,100,4,99,2,4,6042,2,0,0,4,32735,-26,17,-2,76,-78,0,-79,0
125874185,0,1,1735,100,4,99,2,4,6042,2,0,0,4,32735,-26,10,-2,76,-78,0,-79,0
125884187,0,1,1723,100,4,99,2,4,6042,2,0,0,4,32735,-27,14,-3,76,-79,0,-79,0
125894182,0,1,1711,100,4,99,2,4,6042,1,0,0,4,32735,-26,17,-2,76,-78,0,-79,0
125904185,0,1,1701,100,4,99,2,4,6042,2,0,0,4,32735,-26,12,-2,76,-78,0,-79,0
125914187,0,1,1680,100,4,99,2,4,6042,2,0,0,4,32735,-26,16,-2,76,-78,0,-79,0
125924194,0,1,1677,100,4,99,2,4,6042,1,0,0,4,32735,-26,10,-2,76,-78,0,-79,0
125934193,0,1,1675,100,4,99,2,4,6042,2,0,0,4,32735,-27,14,-3,76,-79,0,-79,0
125944184,0,1,1673,100,4,99,2,4,6042,2,0,0,4,32735,-26,22,-2,76,-78,0,-79,0
125954182,0,1,1670,100,4,99,2,4,6042,2,0,0,4,32735,-27,12,-3,76,-79,0,-79,0
125964179,0,1,1669,100,4,99,2,4,6042,1,1,0,4,32735,-27,25,-3,76,-79,0,-79,0
125974177,0,1,1665,100,4,99,2,4,6042,1,0,0,4,32735,-26,15,-2,76,-78,0,-79,0
125984196,0,1,1660,100,4,99,2,4,6043,2,0,-1,4,32735,-26,13,-2,76,-78,0,-79,0
125994190,0,1,1653,100,4,99,2,4,6043,1,3,-1,4,32735,-27,16,-3,76,-79,0,-79,0
126004178,0,1,1644,100,4,99,2,4,6042,1,2,0,4,32735,-27,16,-3,76,-79,0,-79,0
126014193,0,1,1625,100,4,99,2,4,6042,1,0,0,4,32735,-26,22,-2,76,-78,0,-79,0
126024188,0,1,1617,100,4,99,2,4,6042,2,0,0,4,32735,-26,16,-2,76,-78,0,-79,0
126034185,0,1,1606,100,4,99,2,4,6042,1,0,0,4,32735,-27,11,-3,76,-79,0,-79,0
126044183,0,1,1596,100,4,99,2,4,6042,1,0,0,4,32735,-26,25,-2,76,-78,0,-79,0
126054183,0,1,1583,100,4,99,2,4,6042,2,0,0,4,32735,-26,10,-2,76,-78,0,-79,0
126064185,0,1,1571,100,4,99,2,4,6042,2,0,0,4,32735,-27,13,-3,76,-79,0,-79,0
126074197,0,1,1558,100,4,99,2,4,6042,2,0,0,4,32735,-27,26,-3,76,-79,0,-79,0
126084192,0,1,1543,100,4,99,2,4,6042,2,0,0,4,32735,-26,17,-2,76,-78,0,-79,0
126094186,0,1,1530,100,4,99,2,4,6042,2,0,0,4,32735,-26,14,-2,76,-78,0,-79,0
126104184,0,1,1516,100,4,99,2,4,6042,2,0,0,4,32735,-26,14,-2,76,-78,0,-79,0
126114188,0,1,1502,100,4,99,2,4,6042,1,0,0,4,32735,-27,11,-3,76,-79,0,-79,0
126124188,0,1,1489,100,4,99,2,4,6042,2,0,0,4,32735,-26,24,-2,76,-78,0,-79,0
126134187,0,1,1474,100,4,99,2,4,6042,2,0,0,4,32735,-26,8,-2,76,-78,0,-79,0
126144185,0,1,1494,100,4,99,2,4,6042,1,0,0,4,32735,-27,11,-3,76,-79,0,-79,0
126154187,0,1,1523,100,4,99,2,4,6042,1,0,0,4,32735,-27,24,-2,76,-78,0,-79,0
126164183,0,1,1557,100,4,99,2,4,6042,2,0,0,4,32735,-27,10,-2,76,-78,0,-79,0
126174188,0,1,1591,100,4,99,2,4,6042,2,1,0,4,32734,-27,13,-2,76,-78,0,-79,0
126184194,0,1,1628,100,4,99,2,4,6042,2,0,0,4,32734,-27,14,-2,76,-78,0,-79,0
126194195,0,1,1709,100,4,99,2,4,6042,2,0,0,4,32734,-27,12,-2,76,-78,0,-79,0
126204192,0,1,1763,100,4,99,2,4,6042,2,0,0,4,32734,-27,16,-2,76,-78,0,-79,0
126214191,0,1,1782,100,4,99,2,4,6042,2,1,0,4,32734,-27,9,-2,76,-78,0,-79,0
126224183,0,1,1796,100,4,99,2,4,6042,2,0,0,4,32734,-27,13,-2,76,-78,0,-79,0
126234191,0,1,1823,100,4,99,2,4,6042,2,0,0,4,32734,-27,16,-2,76,-78,0,-79,0
126244187,0,1,1837,100,4,99,2,4,6042,2,0,0,4,32734,-27,11,-2,76,-78,0,-79,0
126254192,0,1,1852,100,4,99,2,4,6042,2,0,0,4,32734,-27,15,-2,76,-78,0,-79,0
126264191,0,1,1870,100,4,99,2,4,6042,2,0,0,4,32734,-27,10,-2,76,-78,0,-79,0
126274191,0,1,1891,100,4,99,2,4,6042,2,0,0,4,32734,-27,12,-2,76,-78,0,-79,0
126284189,0,1,1885,100,4,99,2,4,6042,2,0,0,4,32734,-27,16,-2,76,-78,0,-79,0
126294181,0,1,1879,100,4,99,2,4,6042,2,0,0,4,32734,-27,10,-2,76,-78,0,-79,0
126304180,0,1,1874,100,4,99,2,4,6042,2,0,0,4,32734,-27,15,-2,76,-78,0,-79,0
126314187,0,1,1863,100,4,99,2,4,6042,2,0,0,4,32734,-27,16,-2,76,-78,0,-79,0
126324187,0,1,1857,100,4,99,2,4,6042,1,0,0,4,32734,-27,11,-2,76,-78,0,-79,0
126334187,0,1,1850,100,4,99,2,4,6042,2,0,0,4,32734,-27,15,-2,76,-78,0,-79,0
126344186,0,1,1853,100,4,99,2,4,6042,2,0,0,4,32734,-27,9,-2,76,-78,0,-79,0
126354188,0,1,1860,100,4,99,2,4,6042,1,0,0,4,32734,-27,11,-2,76,-78,0,-79,0
126364179,0,1,1863,100,4,99,2,4,6042,1,0,0,4,32734,-27,16,-2,76,-78,0,-79,0
126374178,0,1,1867,100,4,99,2,4,6043,2,0,-1,4,32734,-27,10,-2,76,-78,0,-79,0
126384196,0,1,1870,100,4,99,2,4,6043,2,3,-1,4,32734,-27,13,-2,76,-78,0,-79,0
126394185,0,1,1875,100,4,99,2,4,6042,2,2,0,4,32734,-27,14,-2,76,-78,0,-79,0
126404185,0,1,1880,100,4,99,2,4,6042,2,0,0,4,32734,-27,10,-2,76,-78,0,-79,0
126414185,0,1,1880,100,4,99,2,4,6042,1,0,0,4,32734,-27,15,-2,76,-78,0,-79,0
126424182,0,1,1880,100,4,99,2,4,6042,2,0,0,4,32734,-27,9,-2,76,-78,0,-79,0
126434177,0,1,1883,100,4,99,2,4,6042,2,0,0,4,32734,-27,13,-2,76,-78,0,-79,0
126444176,0,1,1882,100,4,99,2,4,6043,2,0,-1,4,32734,-27,16,-2,76,-78,0,-79,0
126454196,0,1,1883,100,4,99,2,4,6043,2,3,-1,4,32734,-27,11,-2,76,-78,0,-79,0
126464182,0,1,1883,100,4,99,2,4,6042,2,3,0,4,32734,-27,15,-2,76,-78,0,-79,0
126474180,0,1,1886,100,4,99,2,4,6042,2,0,0,4,32734,-27,9,-2,76,-78,0,-79,0
126484179,0,1,1887,100,4,99,2,4,6042,2,0,0,4,32734,-27,11,-2,76,-78,0,-79,0
126494180,0,1,1887,100,4,99,2,4,6042,2,0,0,4,32734,-27,16,-2,76,-78,0,-79,0
126504194,0,1,1888,100,4,99,2,4,6042,2,0,0,4,32734,-27,9,-2,76,-78,0,-79,0
126514195,0,1,1890,100,4,99,2,4,6042,2,0,0,4,32734,-27,13,-2,76,-78,0,-79,0
126524195,0,1,1891,100,4,99,2,4,6042,2,0,0,4,32734,-27,17,-2,76,-78,0,-79,0
126534177,0,1,1892,100,4,99,2,4,6042,2,0,0,4,32734,-27,11,-2,76,-78,0,-79,0
126544184,0,1,1894,100,4,99,2,4,6042,1,0,0,4,32734,-27,14,-2,76,-78,0,-79,0
126554184,0,1,1895,100,4,99,2,4,6042,2,0,0,4,32734,-27,9,-2,76,-78,0,-79,0
126564248,0,1,1895,100,4,99,2,4,6042,2,0,0,4,32734,-27,10,-2,76,-78,0,-79,0
126574177,0,1,1894,100,4,99,2,4,6042,2,0,0,4,32734,-27,17,-2,76,-78,0,-79,0
126584180,0,1,1897,100,4,99,2,4,6042,2,0,0,4,32734,-27,10,-2,76,-78,0,-79,0
126594177,0,1,1898,100,4,99,2,4,6042,2,0,0,4,32734,-27,13,-2,76,-78,0,-79,0
126604177,0,1,1897,100,4,99,2,4,6042,2,0,0,4,32734,-27,15,-2,76,-78,0,-79,0
126614179,0,1,1900,100,4,99,2,4,6042,1,0,0,4,32734,-27,11,-2,76,-78,0,-79,0
126624187,0,1,1901,100,4,99,2,4,6043,2,0,-1,4,32734,-27,15,-2,76,-78,0,-79,0
126634247,0,1,1903,100,4,99,2,4,6043,2,3,-1,4,32734,-27,17,-2,76,-78,0,-79,0
126644180,0,1,1904,100,4,99,2,4,6042,2,2,0,4,32734,-27,13,-2,76,-78,0,-79,0
126654184,0,1,1905,100,4,99,2,4,6042,2,0,0,4,32734,-27,17,-2,76,-78,0,-79,0
126664182,0,1,1906,100,4,99,2,4,6042,2,0,0,4,32734,-27,9,-2,76,-78,0,-79,0
126674177,0,1,1907,100,4,99,2,4,6042,1,0,0,4,32734,-27,14,-2,76,-78,0,-79,0
126684197,0,1,1907,100,4,99,2,4,6042,2,0,0,4,32734,-27,16,-2,76,-78,0,-79,0
126694191,0,1,1908,100,4,99,2,4,6042,2,0,0,4,32734,-27,11,-2,76,-78,0,-79,0
126704264,0,1,1909,100,4,99,2,4,6042,2,0,0,4,32734,-27,12,-2,76,-78,0,-79,0
126714179,0,1,1911,100,4,99,2,4,6042,2,0,0,4,32734,-27,9,-2,76,-78,0,-79,0
126724181,0,1,1910,100,4,99,2,4,6042,2,0,0,4,32734,-27,12,-2,76,-78,0,-79,0
126734179,0,1,1908,100,4,99,2,4,6042,1,0,0,4,32734,-27,16,-2,76,-78,0,-79,0
126744182,0,1,1907,100,4,99,2,4,6042,2,0,0,4,32734,-27,10,-2,76,-78,0,-79,0
126754182,0,1,1906,100,4,99,2,4,6043,2,0,-1,4,32734,-27,14,-2,76,-78,0,-79,0
126764182,0,1,1905,100,4,99,2,4,6043,2,2,-1,4,32734,-27,12,-2,76,-78,0,-79,0
126774196,0,1,1902,100,4,99,2,4,6043,2,1,-1,4,32734,-27,11,-2,76,-78,0,-79,0
126784185,0,1,1902,100,4,99,2,4,6042,2,3,0,4,32734,-27,15,-2,76,-78,0,-79,0
126794179,0,1,1901,100,4,99,2,4,6042,2,0,0,4,32734,-27,9,-2,76,-78,0,-79,0
126804177,0,1,1899,100,4,99,2,4,6042,1,0,0,4,32734,-27,14,-2,76,-78,0,-79,0
126814194,0,1,1896,100,4,99,2,4,6042,2,0,0,4,32734,-27,17,-2,76,-78,0,-79,0
126824196,0,1,1894,100,4,99,2,4,6043,2,0,-1,4,32734,-27,10,-2,76,-78,0,-79,0
126834196,0,1,1891,100,4,99,2,4,6043,2,2,-1,4,32734,-27,13,-2,76,-78,0,-79,0
126844188,0,1,1890,100,4,99,2,4,6042,2,1,0,4,32734,-27,14,-2,76,-78,0,-79,0
126854177,0,1,1887,100,4,99,2,4,6042,2,0,0,4,32734,-27,12,-2,76,-78,0,-79,0
126864181,0,1,1885,100,4,99,2,4,6042,1,0,0,4,32734,-27,16,-2,76,-78,0,-79,0
126874184,0,1,1886,100,4,99,2,4,6042,2,0,0,4,32734,-27,9,-2,76,-78,0,-79,0
126884182,0,1,1883,100,4,99,2,4,6042,2,0,0,4,32734,-27,13,-2,76,-78,0,-79,0
126894177,0,1,1881,100,4,99,2,4,6042,2,0,0,4,32734,-27,16,-2,76,-78,0,-79,0
126904196,0,1,1879,100,4,99,2,4,6042,2,0,0,4,32734,-27,11,-2,76,-78,0,-79,0
126914185,0,1,1878,100,4,99,2,4,6042,2,0,0,4,32734,-27,15,-2,76,-78,0,-79,0
126924191,0,1,1878,100,4,99,2,4,6042,2,0,0,4,32734,-27,11,-2,76,-78,0,-79,0
126934180,0,1,1877,100,4,99,2,4,6042,1,0,0,4,32734,-27,13,-2,76,-78,0,-79,0
126944181,0,1,1878,100,4,99,2,4,6043,2,0,-1,4,32734,-27,17,-2,76,-78,0,-79,0
126954179,0,1,1878,100,4,99,2,4,6043,2,2,-1,4,32734,-27,11,-2,76,-78,0,-79,0
126964177,0,1,1877,100,4,99,2,4,6043,2,3,-1,4,32734,-27,11,-2,76,-78,0,-79,0
126974194,0,1,1878,100,4,99,2,4,6042,2,0,0,4,32734,-27,11,-2,76,-78,0,-79,0
126984182,0,1,1880,100,4,99,2,4,6042,2,0,0,4,32734,-27,11,-2,76,-78,0,-79,0
126994180,0,1,1879,100,4,99,2,4,6042,1,0,0,4,32734,-27,14,-2,76,-78,0,-79,0
127004184,0,1,1881,100,4,99,2,4,6042,2,0,0,4,32734,-27,9,-2,76,-78,0,-79,0
127014192,0,1,1881,100,4,99,2,4,6042,2,0,0,4,32734,-27,13,-2,76,-78,0,-79,0
127024188,0,1,1882,100,4,99,2,4,6042,2,0,0,4,32734,-27,16,-2,76,-78,0,-79,0
127034190,0,1,1884,100,4,99,2,4,6042,2,0,0,4,32734,-27,11,-2,76,-78,0,-79,0
127044196,0,1,1882,100,4,99,2,4,6042,2,0,0,4,32734,-27,13,-2,76,-78,0,-79,0
127054189,0,1,1885,100,4,99,2,4,6042,2,0,0,4,32734,-27,16,-2,76,-78,0,-79,0
127064189,0,1,1884,100,4,99,2,4,6042,2,0,0,4,32734,-27,12,-2,76,-78,0,-79,0
127074188,0,1,1885,100,4,99,2,4,6043,2,0,-1,4,32734,-27,13,-2,76,-78,0,-79,0
