time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
181074199,0,1,1803,100,100,57,1,4,6015,2,0,0,4,32592,-27,17,-1,81,-82,0,-83,0
181084199,0,1,1800,100,100,57,1,4,6015,2,0,0,4,32592,-28,1,-2,81,-83,0,-83,0
181094199,0,1,1802,100,100,57,1,4,6015,2,0,0,4,32592,-27,14,-1,81,-82,0,-83,0
181104196,0,1,1791,100,100,57,1,4,6015,2,0,0,4,32592,-27,5,-1,81,-82,0,-83,0
181114199,0,1,1784,100,100,57,1,4,6015,2,0,0,4,32592,-27,3,-1,81,-82,0,-83,0
181124199,0,1,1793,100,100,57,1,4,6015,2,0,0,4,32592,-28,4,-2,81,-83,0,-83,0
181134198,0,1,1779,100,100,57,1,4,6015,2,0,0,4,32592,-27,9,-1,81,-82,0,-83,0
181144199,0,1,1772,100,100,57,1,4,6015,2,0,0,4,32592,-27,4,-1,81,-82,0,-83,0
181154197,0,1,1767,100,100,57,1,4,6015,2,0,0,4,32592,-28,5,-2,81,-83,0,-83,0
181164196,0,1,1766,100,100,57,1,4,6015,2,0,0,4,32592,-27,10,-1,81,-82,0,-83,0
181174199,0,1,1772,100,100,57,1,4,6015,2,0,0,4,32592,-27,4,-1,81,-82,0,-83,0
181184198,0,1,1762,100,100,57,1,4,6015,2,0,0,4,32592,-28,10,-2,81,-83,0,-83,0
181194198,0,1,1766,100,100,57,1,4,6015,2,0,0,4,32592,-28,12,-2,81,-83,0,-83,0
181204258,0,1,1763,100,100,57,1,4,6015,2,0,0,4,32592,-27,14,-1,81,-82,0,-83,0
181214268,0,1,1770,100,100,57,1,4,6015,2,0,0,4,32592,-28,5,-2,81,-83,0,-83,0
181224194,0,1,1761,100,100,57,1,4,6015,2,0,0,4,32592,-28,14,-2,81,-83,0,-83,0
181234191,0,1,1764,100,100,57,1,4,6015,2,0,0,4,32592,-27,19,-1,81,-82,0,-83,0
181244187,0,1,1753,100,100,57,1,4,6015,2,0,0,4,32592,-27,3,-1,81,-82,0,-83,0
181254184,0,1,1752,100,100,57,1,4,6015,2,0,0,4,32592,-28,3,-2,81,-83,0,-83,0
181264183,0,1,1749,100,100,57,1,4,6015,2,0,0,4,32592,-27,8,-1,81,-82,0,-83,0
181274199,0,1,1747,100,100,57,1,4,6015,2,0,0,4,32592,-27,3,-1,81,-82,0,-83,0
181284180,0,1,1738,100,100,57,1,4,6015,2,0,0,4,32592,-27,4,-1,81,-82,0,-83,0
181294190,0,1,1747,100,100,57,1,4,6015,2,0,0,4,32592,-27,3,-1,81,-82,0,-83,0
181304190,0,1,1755,100,100,57,1,4,6015,2,0,0,4,32592,-27,4,-1,81,-82,0,-83,0
181314189,0,1,1761,100,100,57,1,4,6015,2,0,0,4,32592,-27,7,-1,81,-82,0,-83,0
181324185,0,1,1763,100,100,57,1,4,6015,2,0,0,4,32592,-28,4,-2,81,-83,0,-83,0
181334183,0,1,1769,100,100,57,1,4,6015,2,0,0,4,32592,-27,16,-1,81,-82,0,-83,0
181344197,0,1,1774,100,100,57,1,4,6015,2,0,0,4,32592,-27,3,-1,81,-82,0,-83,0
181354191,0,1,1777,100,100,57,1,4,6015,2,0,0,4,32592,-28,3,-2,81,-83,0,-83,0
181364189,0,1,1786,100,100,57,1,4,6015,2,0,0,4,32592,-27,14,-1,81,-82,0,-83,0
181374195,0,1,1790,100,100,57,1,4,6015,2,0,0,4,32592,-27,3,-1,81,-82,0,-83,0
181384198,0,1,1792,100,100,57,1,4,6015,2,0,0,4,32592,-27,4,-1,81,-82,0,-83,0
181394198,0,1,1796,100,100,57,1,4,6015,2,0,0,4,32592,-28,12,-2,81,-83,0,-83,0
181404197,0,1,1799,100,100,57,1,4,6015,2,0,0,4,32592,-27,12,-1,81,-82,0,-83,0
181414192,0,1,1810,100,100,57,1,4,6015,2,0,0,4,32592,-27,5,-1,81,-82,0,-83,0
181424190,0,1,1808,100,100,57,1,4,6015,2,0,0,4,32592,-27,2,-1,81,-82,0,-83,0
181434189,0,1,1807,100,100,57,1,4,6015,2,0,0,4,32592,-27,4,-1,81,-82,0,-83,0
181444199,0,1,1806,100,100,57,1,4,6015,2,0,0,4,32592,-27,4,-1,81,-82,0,-83,0
181454199,0,1,1803,100,100,57,1,4,6015,2,0,0,4,32592,-27,2,-1,81,-82,0,-83,0
181464198,0,1,1796,100,100,57,1,4,6015,2,0,0,4,32592,-28,3,-2,81,-83,0,-83,0
181474189,0,1,1806,100,100,57,1,4,6015,2,0,0,4,32592,-27,12,-1,81,-82,0,-83,0
181484189,0,1,1798,100,100,57,1,4,6015,2,0,0,4,32592,-28,3,-2,81,-83,0,-83,0
181494187,0,1,1799,100,100,57,1,4,6015,2,0,0,4,32592,-27,12,-1,81,-82,0,-83,0
181504185,0,1,1795,100,100,57,1,4,6015,2,2,0,4,32592,-27,3,-1,81,-82,0,-83,0
181514181,0,1,1799,100,100,57,1,4,6015,2,0,0,4,32592,-27,4,-1,81,-82,0,-83,0
181524190,0,1,1806,100,100,57,1,4,6015,2,0,0,4,32592,-27,5,-1,81,-82,0,-83,0
181534189,0,1,1813,100,100,57,1,4,6015,2,0,0,4,32592,-28,2,-2,81,-83,0,-83,0
181544182,0,1,1802,100,100,57,1,4,6015,2,0,0,4,32592,-27,15,-1,81,-82,0,-83,0
181554183,0,1,1808,100,100,57,1,4,6015,2,0,0,4,32592,-28,2,-2,81,-83,0,-83,0
181564183,0,1,1802,100,100,57,1,4,6015,2,0,0,4,32592,-27,13,-1,81,-82,0,-83,0
181574182,0,1,1813,100,100,57,1,4,6015,2,0,0,4,32592,-27,5,-1,81,-82,0,-83,0
181584199,0,1,1804,100,100,57,1,4,6015,2,0,0,4,32592,-28,3,-2,81,-83,0,-83,0
181594181,0,1,1805,100,100,57,1,4,6015,2,0,0,4,32592,-28,13,-2,81,-83,0,-83,0
181604181,0,1,1805,100,100,57,1,4,6015,2,0,0,4,32592,-28,16,-2,81,-83,0,-83,0
181614194,0,1,1799,100,100,57,1,4,6015,2,0,0,4,32592,-27,11,-1,81,-82,0,-83,0
181624190,0,1,1798,100,100,57,1,4,6015,2,0,0,4,32592,-28,4,-2,81,-83,0,-83,0
181634190,0,1,1796,100,100,57,1,4,6015,2,0,0,4,32592,-27,9,-1,81,-82,0,-83,0
181644185,0,1,1795,100,100,57,1,4,6015,2,0,0,4,32592,-27,4,-1,81,-82,0,-83,0
181654183,0,1,1792,100,100,57,1,4,6015,2,0,0,4,32592,-28,4,-2,81,-83,0,-83,0
181664183,0,1,1793,100,100,57,1,4,6015,2,0,0,4,32592,-28,11,-2,81,-83,0,-83,0
181674253,0,1,1792,100,100,57,1,4,6015,2,0,0,4,32592,-28,11,-2,81,-83,0,-83,0
181684187,0,1,1791,100,100,57,1,4,6015,2,0,0,4,32592,-27,11,-1,81,-82,0,-83,0
181694189,0,1,1792,100,100,57,1,4,6015,2,0,0,4,32592,-28,2,-2,81,-83,0,-83,0
181704186,0,1,1800,100,100,57,1,4,6015,2,0,0,4,32592,-27,16,-1,81,-82,0,-83,0
181714189,0,1,1802,100,100,57,1,4,6015,2,0,0,4,32592,-27,2,-1,81,-82,0,-83,0
181724189,0,1,1804,100,100,57,1,4,6015,2,0,0,4,32592,-28,4,-2,81,-83,0,-83,0
181734189,0,1,1803,100,100,57,1,4,6015,2,0,0,4,32592,-27,18,-1,81,-82,0,-83,0
181744203,0,1,1810,100,100,57,1,4,6015,2,0,0,4,32592,-28,2,-2,81,-83,0,-83,0
181754192,0,1,1811,100,100,57,1,4,6015,2,0,0,4,32592,-28,16,-2,81,-83,0,-83,0
181764194,0,1,1807,100,100,57,1,4,6015,2,0,0,4,32592,-27,11,-1,81,-82,0,-83,0
181774199,0,1,1802,100,100,57,1,4,6015,2,0,0,4,32592,-27,2,-1,81,-82,0,-83,0
181784198,0,1,1799,100,100,57,1,4,6015,2,0,0,4,32592,-27,4,-1,81,-82,0,-83,0
181794196,0,1,1794,100,100,57,1,4,6015,2,0,0,4,32592,-28,3,-2,81,-83,0,-83,0
181804196,0,1,1784,100,100,57,1,4,6015,2,0,0,4,32592,-27,14,-1,81,-82,0,-83,0
181814193,0,1,1781,100,100,57,1,4,6015,2,0,0,4,32592,-28,7,-2,81,-83,0,-83,0
181824182,0,1,1784,100,100,57,1,4,6015,2,0,0,4,32592,-28,12,-2,81,-83,0,-83,0
181834184,0,1,1786,100,100,57,1,4,6015,2,0,0,4,32592,-27,16,-1,81,-82,0,-83,0
181844182,0,1,1790,100,100,57,1,4,6015,2,0,0,4,32592,-27,3,-1,81,-82,0,-83,0
181854180,0,1,1799,100,100,57,1,4,6015,2,0,0,4,32592,-28,3,-2,81,-83,0,-83,0
181864198,0,1,1803,100,100,57,1,4,6015,2,0,0,4,32592,-28,16,-2,81,-83,0,-83,0
181874193,0,1,1807,100,100,57,1,4,6015,2,0,0,4,32592,-27,10,-1,81,-82,0,-83,0
181884185,0,1,1813,100,100,57,1,4,6015,2,0,0,4,32592,-28,4,-2,81,-83,0,-83,0
181894183,0,1,1809,100,100,57,1,4,6015,2,0,0,4,32592,-27,11,-1,81,-82,0,-83,0
181904190,0,1,1801,100,100,57,1,4,6015,2,0,0,4,32592,-27,2,-1,81,-82,0,-83,0
181914190,0,1,1794,100,100,57,1,4,6015,2,0,0,4,32592,-27,5,-1,81,-82,0,-83,0
181924186,0,1,1791,100,100,57,1,4,6015,2,0,0,4,32592,-28,4,-2,81,-83,0,-83,0
181934182,0,1,1786,100,100,57,1,4,6015,2,0,0,4,32592,-28,11,-2,81,-83,0,-83,0
181944197,0,1,1783,100,100,57,1,4,6015,2,0,0,4,32592,-27,17,-1,81,-82,0,-83,0
181954199,0,1,1776,100,100,57,1,4,6015,2,0,0,4,32592,-28,3,-2,81,-83,0,-83,0
181964198,0,1,1773,100,100,57,1,4,6015,2,0,0,4,32592,-27,14,-1,81,-82,0,-83,0
181974185,0,1,1772,100,100,57,1,4,6015,2,0,0,4,32592,-27,5,-1,81,-82,0,-83,0
181984184,0,1,1776,100,100,57,1,4,6015,2,0,0,4,32592,-27,3,-1,81,-82,0,-83,0
181994182,0,1,1767,100,100,57,1,4,6015,2,0,0,4,32592,-28,5,-2,81,-83,0,-83,0
182004179,0,1,1766,100,100,57,1,4,6015,2,0,0,4,32592,-27,11,-1,81,-82,0,-83,0
182014193,0,1,1764,100,100,57,1,4,6015,2,0,0,4,32592,-27,3,-1,81,-82,0,-83,0
182024193,0,1,1758,100,100,57,1,4,6015,2,0,0,4,32592,-27,4,-1,81,-82,0,-83,0
182034192,0,1,1767,100,100,57,1,4,6015,2,0,0,4,32592,-27,3,-1,81,-82,0,-83,0
182044192,0,1,1769,100,100,57,1,4,6015,2,0,0,4,32592,-27,4,-1,81,-82,0,-83,0
