time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
159324198,0,1,1778,71,9,61,0,4,6042,1,0,0,4,33094,-27,38,4,66,-62,0,-62,0
159334193,0,1,1783,71,9,61,0,4,6043,1,0,-1,4,33094,-27,24,4,66,-62,0,-62,0
159344185,0,1,1788,71,9,61,0,4,6043,1,1,-1,4,33094,-27,32,4,66,-62,0,-62,0
159354199,0,1,1797,71,9,61,0,4,6043,1,0,-1,4,33094,-27,39,4,66,-62,0,-62,0
159364193,0,1,1802,71,9,61,0,4,6043,1,0,-1,4,33094,-27,26,4,66,-62,0,-62,0
159374203,0,1,1808,71,9,61,0,4,6043,1,1,-1,4,33094,-27,34,4,66,-62,0,-62,0
159384193,0,1,1809,71,9,61,0,4,6042,2,1,0,4,33094,-27,33,4,66,-62,0,-62,0
159394186,0,1,1809,71,9,61,0,4,6042,1,0,0,4,33094,-27,30,4,66,-62,0,-62,0
159404201,0,1,1807,71,9,61,0,4,6042,1,0,0,4,33094,-27,39,4,66,-62,0,-62,0
159414194,0,1,1806,71,9,61,0,4,6042,1,0,0,4,33094,-27,25,4,66,-62,0,-62,0
159424192,0,1,1806,71,9,61,0,4,6042,1,0,0,4,33094,-27,34,4,66,-62,0,-62,0
159434193,0,1,1806,71,9,61,0,4,6042,1,0,0,4,33094,-27,40,4,66,-62,0,-62,0
159444183,0,1,1806,71,9,61,0,4,6043,1,0,-1,4,33094,-27,29,4,66,-62,0,-62,0
159454199,0,1,1805,71,9,61,0,4,6043,2,2,-1,4,33094,-27,36,4,66,-62,0,-62,0
159464193,0,1,1808,71,9,61,0,4,6043,1,2,-1,4,33094,-27,30,4,66,-62,0,-62,0
159474188,0,1,1805,71,9,61,0,4,6042,1,2,0,4,33094,-27,32,4,66,-62,0,-62,0
159484200,0,1,1807,71,9,61,0,4,6042,1,0,0,4,33094,-27,41,4,66,-62,0,-62,0
159494198,0,1,1808,71,9,61,0,4,6042,1,0,0,4,33094,-27,26,4,66,-62,0,-62,0
159504200,0,1,1807,71,9,61,0,4,6042,1,0,0,4,33094,-27,32,4,66,-62,0,-62,0
159514195,0,1,1805,71,9,61,0,4,6042,2,0,0,4,33094,-27,39,4,66,-62,0,-62,0
159524198,0,1,1800,71,9,61,0,4,6042,1,0,0,4,33094,-27,28,4,66,-62,0,-62,0
159534193,0,1,1792,71,9,61,0,4,6042,1,0,0,4,33094,-27,38,4,66,-62,0,-62,0
159544193,0,1,1789,71,9,61,0,4,6042,1,0,0,4,33094,-27,25,4,66,-62,0,-62,0
159554185,0,1,1779,71,9,61,0,4,6042,1,0,0,4,33094,-27,32,4,66,-62,0,-62,0
159564197,0,1,1775,71,9,61,0,4,6042,1,0,0,4,33094,-27,41,4,66,-62,0,-62,0
159574186,0,1,1768,71,9,61,0,4,6043,1,0,-1,4,33094,-27,27,4,66,-62,0,-62,0
159584201,0,1,1770,71,9,61,0,4,6042,2,0,0,4,33094,-27,34,4,66,-62,0,-62,0
159594190,0,1,1775,71,9,61,0,4,6042,1,0,0,4,33094,-27,38,4,66,-62,0,-62,0
159604193,0,1,1784,71,9,61,0,4,6042,1,0,0,4,33094,-27,30,4,66,-62,0,-62,0
159614185,0,1,1789,71,9,61,0,4,6042,1,0,0,4,33094,-27,39,4,66,-62,0,-62,0
159624203,0,1,1794,71,9,61,0,4,6042,1,0,0,4,33094,-27,25,4,66,-62,0,-62,0
159634197,0,1,1799,71,9,61,0,4,6043,1,0,-1,4,33094,-27,32,4,66,-62,0,-62,0
159644199,0,1,1804,71,9,61,0,4,6043,1,3,-1,4,33094,-27,41,4,66,-62,0,-62,0
159654197,0,1,1800,71,9,61,0,4,6043,2,1,-1,4,33094,-27,27,4,66,-62,0,-62,0
159664189,0,1,1795,71,9,61,0,4,6043,1,3,-1,4,33094,-27,37,4,66,-62,0,-62,0
159674191,0,1,1795,71,9,61,0,4,6042,1,1,0,4,33094,-27,36,4,66,-62,0,-62,0
159684195,0,1,1791,71,9,61,0,4,6042,1,0,0,4,33094,-27,31,4,66,-62,0,-62,0
159694195,0,1,1788,71,9,61,0,4,6042,1,0,0,4,33094,-27,40,4,66,-62,0,-62,0
159704186,0,1,1786,71,9,61,0,4,6042,1,0,0,4,33094,-27,26,4,66,-62,0,-62,0
159714260,0,1,1782,71,9,61,0,4,6042,2,0,0,4,33094,-27,28,4,66,-62,0,-62,0
