time,rwSpeed,eState,eSpeed,ePID,100,0,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
663964190,0,1,1846,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
663974271,0,1,1860,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
663984180,0,1,1862,0,0,0,0,4,5975,1,0,1,4,12194,-58,0,0,693,-100,-11,-88,0
663994194,0,1,1862,0,0,0,0,4,5975,1,1,1,4,12194,-58,0,0,693,-100,-11,-88,0
664004190,0,1,1862,0,0,0,0,4,5975,1,0,1,4,12194,-58,0,0,693,-100,-11,-88,0
664014198,0,1,1859,0,0,0,0,4,5975,1,1,1,4,12194,-58,0,0,693,-100,-11,-88,0
664024192,0,1,1857,0,0,0,0,4,5975,1,0,1,4,12194,-58,0,0,693,-100,-11,-88,0
664034183,0,1,1857,0,0,0,0,4,5976,1,1,0,4,12194,-58,0,0,693,-100,-11,-88,0
664044198,0,1,1857,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664054193,0,1,1854,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664064185,0,1,1852,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664074199,0,1,1854,0,0,0,0,4,5976,1,0,0,4,12194,-58,1,0,693,-100,-11,-88,0
664084192,0,1,1851,0,0,0,0,4,5975,1,0,1,4,12194,-58,0,0,693,-100,-11,-88,0
664094183,0,1,1849,0,0,0,0,4,5975,1,1,1,4,12194,-58,0,0,693,-100,-11,-88,0
664104195,0,1,1848,0,0,0,0,4,5975,1,0,1,4,12194,-58,0,0,693,-100,-11,-88,0
664114187,0,1,1849,0,0,0,0,4,5976,1,1,0,4,12194,-58,0,0,693,-100,-11,-88,0
664124199,0,1,1852,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664134181,0,1,1860,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664144191,0,1,1863,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664154192,0,1,1866,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664164191,0,1,1869,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664174191,0,1,1874,0,0,0,0,4,5975,1,0,1,4,12194,-58,0,0,693,-100,-11,-88,0
664184185,0,1,1875,0,0,0,0,4,5975,1,0,1,4,12194,-58,0,0,693,-100,-11,-88,0
664194200,0,1,1875,0,0,0,0,4,5975,1,1,1,4,12194,-58,0,0,693,-100,-11,-88,0
664204193,0,1,1875,0,0,0,0,4,5975,1,2,1,4,12194,-58,0,0,693,-100,-11,-88,0
664214181,0,1,1878,0,0,0,0,4,5975,1,1,1,4,12194,-58,0,0,693,-100,-11,-88,0
664224195,0,1,1879,0,0,0,0,4,5975,1,1,1,4,12194,-58,0,0,693,-100,-11,-88,0
664234180,0,1,1879,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664244181,0,1,1877,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664254192,0,1,1872,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664264184,0,1,1863,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664274180,0,1,1857,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664284198,0,1,1851,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664294197,0,1,1845,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664304193,0,1,1842,0,0,0,0,4,5975,1,0,1,4,12194,-58,0,0,693,-100,-11,-88,0
664314194,0,1,1847,0,0,0,0,4,5975,1,0,1,4,12194,-58,2,0,693,-100,-11,-88,0
664324193,0,1,1853,0,0,0,0,4,5975,1,1,1,4,12194,-58,0,0,693,-100,-11,-88,0
664334182,0,1,1857,0,0,0,0,4,5975,1,2,1,4,12194,-58,0,0,693,-100,-11,-88,0
664344180,0,1,1870,0,0,0,0,4,5976,1,1,0,4,12194,-58,0,0,693,-100,-11,-88,0
664354195,0,1,1878,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664364182,0,1,1883,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664374180,0,1,1885,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664384195,0,1,1884,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664394253,0,1,1885,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664404200,0,1,1884,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664414193,0,1,1885,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664424186,0,1,1885,0,0,0,0,4,5975,1,0,1,4,12194,-58,0,0,693,-100,-11,-88,0
664434187,0,1,1881,0,0,0,0,4,5975,1,1,1,4,12194,-58,0,0,693,-100,-11,-88,0
664444182,0,1,1880,0,0,0,0,4,5975,1,0,1,4,12194,-58,0,0,693,-100,-11,-88,0
664454198,0,1,1878,0,0,0,0,4,5975,1,1,1,4,12194,-58,0,0,693,-100,-11,-88,0
664464194,0,1,1873,0,0,0,0,4,5975,1,1,1,4,12194,-58,0,0,693,-100,-11,-88,0
664474187,0,1,1869,0,0,0,0,4,5975,1,0,1,4,12194,-58,0,0,693,-100,-11,-88,0
664484192,0,1,1867,0,0,0,0,4,5975,1,1,1,4,12194,-58,0,0,693,-100,-11,-88,0
664494191,0,1,1866,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664504184,0,1,1873,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664514185,0,1,1879,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
664524179,0,1,1884,0,0,0,0,4,5976,1,0,0,4,12194,-58,0,0,693,-100,-11,-88,0
