time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
143774267,0,1,1844,100,20,91,0,4,5995,2,0,0,4,33083,-27,16,-3,66,-69,0,-69,0
143784189,0,1,1843,100,20,91,0,4,5995,2,0,0,4,33083,-27,24,-3,66,-69,0,-69,0
143794182,0,1,1846,100,20,91,0,4,5995,2,0,0,4,33083,-28,17,-3,66,-69,0,-69,0
143804186,0,1,1847,100,20,91,0,4,5995,2,0,0,4,33083,-27,23,-3,66,-69,0,-69,0
143814185,0,1,1852,100,20,91,0,4,5995,2,0,0,4,33083,-28,14,-3,66,-69,0,-69,0
143824197,0,1,1854,100,20,91,0,4,5995,2,0,0,4,33083,-28,18,-3,66,-69,0,-69,0
143834184,0,1,1858,100,20,91,0,4,5995,2,0,0,4,33083,-27,25,-3,66,-69,0,-69,0
143844197,0,1,1858,100,20,91,0,4,5995,2,0,0,4,33083,-28,14,-3,66,-69,0,-69,0
143854190,0,1,1859,100,20,91,0,4,5995,2,0,0,4,33083,-27,19,-3,66,-69,0,-69,0
143864199,0,1,1858,100,20,91,0,4,5995,2,0,0,4,33083,-27,25,-3,66,-69,0,-69,0
143874191,0,1,1858,100,20,91,0,4,5995,2,0,0,4,33083,-27,16,-3,66,-69,0,-69,0
143884179,0,1,1857,100,20,91,0,4,5995,2,0,0,4,33083,-28,23,-3,66,-69,0,-69,0
143894191,0,1,1857,100,20,91,0,4,5995,2,0,0,4,33083,-28,13,-3,66,-69,0,-69,0
143904181,0,1,1855,100,20,91,0,4,5995,2,0,0,4,33083,-27,19,-3,66,-69,0,-69,0
143914192,0,1,1859,100,20,91,0,4,5995,2,0,0,4,33083,-28,25,-3,66,-69,0,-69,0
143924185,0,1,1862,100,20,91,0,4,5995,2,0,0,4,33083,-27,14,-3,66,-69,0,-69,0
143934197,0,1,1864,100,20,91,0,4,5995,2,0,0,4,33083,-27,21,-3,66,-69,0,-69,0
143944182,0,1,1870,100,20,91,0,4,5995,2,0,0,4,33083,-27,23,-3,66,-69,0,-69,0
143954182,0,1,1873,100,20,91,0,4,5995,2,0,0,4,33083,-28,17,-3,66,-69,0,-69,0
143964181,0,1,1876,100,20,91,0,4,5995,2,0,0,4,33083,-27,23,-3,66,-69,0,-69,0
143974180,0,1,1879,100,20,91,0,4,5995,2,0,0,4,33083,-27,15,-3,66,-69,0,-69,0
143984182,0,1,1882,100,20,91,0,4,5995,2,0,0,4,33083,-27,18,-3,66,-69,0,-69,0
143994196,0,1,1883,100,20,91,0,4,5995,2,0,0,4,33083,-27,25,-3,66,-69,0,-69,0
144004191,0,1,1886,100,20,91,0,4,5995,2,0,0,4,33083,-28,16,-3,66,-69,0,-69,0
144014200,0,1,1888,100,20,91,0,4,5995,2,0,0,4,33083,-28,19,-3,66,-69,0,-69,0
144024193,0,1,1892,100,20,91,0,4,5995,2,0,0,4,33083,-28,23,-3,66,-69,0,-69,0
144034189,0,1,1894,100,20,91,0,4,5995,2,0,0,4,33083,-27,18,-3,66,-69,0,-69,0
144044184,0,1,1893,100,20,91,0,4,5995,2,0,0,4,33083,-28,24,-3,66,-69,0,-69,0
144054200,0,1,1894,100,20,91,0,4,5995,2,0,0,4,33083,-27,14,-3,66,-69,0,-69,0
144064190,0,1,1893,100,20,91,0,4,5995,2,0,0,4,33083,-28,19,-3,66,-69,0,-69,0
144074182,0,1,1892,100,20,91,0,4,5995,2,0,0,4,33083,-28,24,-3,66,-69,0,-69,0
144084195,0,1,1893,100,20,91,0,4,5995,2,0,0,4,33083,-27,16,-3,66,-69,0,-69,0
144094206,0,1,1893,100,20,91,0,4,5995,2,0,0,4,33083,-28,21,-3,66,-69,0,-69,0
144104179,0,1,1893,100,20,91,0,4,5995,2,0,0,4,33083,-28,15,-3,66,-69,0,-69,0
144114180,0,1,1893,100,20,91,0,4,5995,2,0,0,4,33083,-28,19,-3,66,-69,0,-69,0
144124194,0,1,1894,100,20,91,0,4,5995,2,0,0,4,33083,-27,24,-3,66,-69,0,-69,0
144134187,0,1,1894,100,20,91,0,4,5995,2,0,0,4,33083,-28,15,-3,66,-69,0,-69,0
144144179,0,1,1895,100,20,91,0,4,5995,2,0,0,4,33083,-28,21,-3,66,-69,0,-69,0
144154189,0,1,1895,100,20,91,0,4,5995,2,0,0,4,33083,-27,24,-3,66,-69,0,-69,0
144164183,0,1,1896,100,20,91,0,4,5995,2,0,0,4,33083,-28,17,-3,66,-69,0,-69,0
144174195,0,1,1891,100,20,91,0,4,5995,2,0,0,4,33083,-27,21,-3,66,-69,0,-69,0
144184182,0,1,1887,100,20,91,0,4,5995,2,0,0,4,33083,-27,12,-3,66,-69,0,-69,0
144194194,0,1,1884,100,20,91,0,4,5995,2,0,0,4,33083,-27,18,-3,66,-69,0,-69,0
144204187,0,1,1882,100,20,91,0,4,5995,2,0,0,4,33083,-28,24,-3,66,-69,0,-69,0
144214183,0,1,1875,100,20,91,0,4,5995,2,0,0,4,33083,-28,16,-3,66,-69,0,-69,0
144224194,0,1,1872,100,20,91,0,4,5995,2,0,0,4,33083,-28,20,-3,66,-69,0,-69,0
144234184,0,1,1873,100,20,91,0,4,5995,2,0,0,4,33083,-28,23,-3,66,-69,0,-69,0
144244185,0,1,1872,100,20,91,0,4,5995,2,0,0,4,33083,-27,17,-3,66,-69,0,-69,0
144254183,0,1,1874,100,20,91,0,4,5995,2,0,0,4,33083,-28,23,-3,66,-69,0,-69,0
144264187,0,1,1874,100,20,91,0,4,5995,2,0,0,4,33083,-28,14,-3,66,-69,0,-69,0
144274184,0,1,1873,100,20,91,0,4,5995,2,0,0,4,33083,-28,20,-3,66,-69,0,-69,0
