time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
90214188,0,1,1771,999,24,995,0,4,6022,1,1,0,4,33533,-28,15,-3,53,-56,0,-56,0
90224202,0,1,1769,999,24,995,0,4,6022,1,1,0,4,33533,-28,21,-3,53,-56,0,-56,0
90234182,0,1,1773,999,24,995,0,4,6022,1,1,0,4,33533,-28,27,-3,53,-56,0,-56,0
90244262,0,1,1774,999,24,995,0,4,6022,1,1,0,4,33533,-28,23,-3,53,-56,0,-56,0
90254192,0,1,1777,999,24,995,0,4,6022,1,1,0,4,33533,-28,23,-3,53,-56,0,-56,0
90264184,0,1,1778,999,24,995,0,4,6022,1,1,0,4,33533,-28,19,-3,53,-56,0,-56,0
90274188,0,1,1779,999,24,995,0,4,6022,1,1,0,4,33533,-28,19,-3,53,-56,0,-56,0
90284199,0,1,1782,999,24,995,0,4,6022,1,1,0,4,33533,-28,25,-3,53,-56,0,-56,0
90294189,0,1,1785,999,24,995,0,4,6022,1,1,0,4,33533,-28,17,-3,53,-56,0,-56,0
90304187,0,1,1782,999,24,995,0,4,6022,1,1,0,4,33533,-28,21,-3,53,-56,0,-56,0
90314191,0,1,1775,999,24,995,0,4,6022,1,1,0,4,33533,-28,27,-3,53,-56,0,-56,0
90324189,0,1,1774,999,24,995,0,4,6022,1,1,0,4,33533,-28,19,-3,53,-56,0,-56,0
90334202,0,1,1770,999,24,995,0,4,6022,1,1,0,4,33533,-28,22,-3,53,-56,0,-56,0
90344196,0,1,1768,999,24,995,0,4,6022,1,2,0,4,33533,-28,22,-3,53,-56,0,-56,0
90354189,0,1,1764,999,24,995,0,4,6022,1,1,0,4,33533,-28,20,-3,53,-56,0,-56,0
90364186,0,1,1760,999,24,995,0,4,6022,1,1,0,4,33533,-28,26,-3,53,-56,0,-56,0
90374186,0,1,1758,999,24,995,0,4,6022,1,1,0,4,33533,-28,17,-3,53,-56,0,-56,0
90384191,0,1,1758,999,24,995,0,4,6022,1,1,0,4,33533,-28,22,-3,53,-56,0,-56,0
90394198,0,1,1754,999,24,995,0,4,6022,1,1,0,4,33533,-28,29,-3,53,-56,0,-56,0
90404199,0,1,1754,999,24,995,0,4,6022,1,1,0,4,33533,-28,18,-3,53,-56,0,-56,0
90414192,0,1,1752,999,24,995,0,4,6022,1,1,0,4,33533,-28,24,-3,53,-56,0,-56,0
90424189,0,1,1751,999,24,995,0,4,6022,1,1,0,4,33533,-28,17,-3,53,-56,0,-56,0
90434202,0,1,1753,999,24,995,0,4,6022,1,1,0,4,33533,-28,20,-3,53,-56,0,-56,0
90444199,0,1,1757,999,24,995,0,4,6022,1,1,0,4,33533,-28,26,-3,53,-56,0,-56,0
90454184,0,1,1761,999,24,995,0,4,6022,1,1,0,4,33533,-28,18,-3,53,-56,0,-56,0
90464200,0,1,1764,999,24,995,0,4,6022,1,1,0,4,33533,-28,23,-3,53,-56,0,-56,0
90474186,0,1,1768,999,24,995,0,4,6022,1,1,0,4,33533,-28,25,-3,53,-56,0,-56,0
90484202,0,1,1776,999,24,995,0,4,6022,1,1,0,4,33533,-28,18,-3,53,-56,0,-56,0
90494200,0,1,1780,999,24,995,0,4,6022,1,1,0,4,33533,-28,24,-3,53,-56,0,-56,0
90504193,0,1,1781,999,24,995,0,4,6022,1,1,0,4,33533,-28,14,-3,53,-56,0,-56,0
90514184,0,1,1783,999,24,995,0,4,6022,1,1,0,4,33533,-28,21,-3,53,-56,0,-56,0
90524189,0,1,1782,999,24,995,0,4,6022,1,1,0,4,33533,-28,27,-3,53,-56,0,-56,0
90534184,0,1,1783,999,24,995,0,4,6022,1,1,0,4,33533,-28,18,-3,53,-56,0,-56,0
90544195,0,1,1783,999,24,995,0,4,6022,1,1,0,4,33533,-28,23,-3,53,-56,0,-56,0
90554193,0,1,1785,999,24,995,0,4,6022,1,1,0,4,33533,-28,25,-3,53,-56,0,-56,0
90564185,0,1,1785,999,24,995,0,4,6022,1,1,0,4,33533,-28,20,-3,53,-56,0,-56,0
90574197,0,1,1786,999,24,995,0,4,6022,1,1,0,4,33533,-28,25,-3,53,-56,0,-56,0
90584185,0,1,1785,999,24,995,0,4,6022,1,1,0,4,33533,-28,17,-3,53,-56,0,-56,0
90594201,0,1,1787,999,24,995,0,4,6022,1,1,0,4,33533,-28,22,-3,53,-56,0,-56,0
90604202,0,1,1787,999,24,995,0,4,6022,1,1,0,4,33533,-28,27,-3,53,-56,0,-56,0
90614201,0,1,1788,999,24,995,0,4,6022,1,1,0,4,33533,-28,17,-3,53,-56,0,-56,0
90624181,0,1,1787,999,24,995,0,4,6022,1,1,0,4,33533,-28,23,-3,53,-56,0,-56,0
90634199,0,1,1788,999,24,995,0,4,6022,1,1,0,4,33533,-28,24,-3,53,-56,0,-56,0
90644192,0,1,1776,999,24,995,0,4,6022,1,1,0,4,33533,-28,23,-3,53,-56,0,-56,0
90654193,0,1,1768,999,24,995,0,4,6022,1,1,0,4,33533,-28,26,-3,53,-56,0,-56,0
90664199,0,1,1760,999,24,995,0,4,6022,1,1,0,4,33533,-28,17,-3,53,-56,0,-56,0
90674192,0,1,1752,999,24,995,0,4,6022,1,1,0,4,33533,-28,22,-3,53,-56,0,-56,0
90684191,0,1,1744,999,24,995,0,4,6022,1,1,0,4,33533,-28,27,-3,53,-56,0,-56,0
90694182,0,1,1736,999,24,995,0,4,6022,1,1,0,4,33533,-28,19,-3,53,-56,0,-56,0
90704192,0,1,1726,999,24,995,0,4,6022,1,1,0,4,33533,-28,25,-3,53,-56,0,-56,0
90714188,0,1,1730,999,24,995,0,4,6022,1,1,0,4,33533,-28,19,-3,53,-56,0,-56,0
90724184,0,1,1734,999,24,995,0,4,6022,1,1,0,4,33533,-28,21,-3,53,-56,0,-56,0
90734192,0,1,1737,999,24,995,0,4,6022,1,1,0,4,33533,-28,26,-3,53,-56,0,-56,0
90744202,0,1,1741,999,24,995,0,4,6022,1,1,0,4,33533,-28,16,-3,53,-56,0,-56,0
90754183,0,1,1746,999,24,995,0,4,6022,1,1,0,4,33533,-28,23,-3,53,-56,0,-56,0
90764183,0,1,1750,999,24,995,0,4,6022,1,1,0,4,33533,-28,25,-3,53,-56,0,-56,0
90774193,0,1,1756,999,24,995,0,4,6022,1,1,0,4,33533,-28,19,-3,53,-56,0,-56,0
90784194,0,1,1760,999,24,995,0,4,6022,1,1,0,4,33533,-28,24,-3,53,-56,0,-56,0
90794183,0,1,1763,999,24,995,0,4,6022,1,1,0,4,33533,-28,16,-3,53,-56,0,-56,0
90804195,0,1,1766,999,24,995,0,4,6022,1,1,0,4,33533,-28,21,-3,53,-56,0,-56,0
90814189,0,1,1769,999,24,995,0,4,6022,1,1,0,4,33533,-28,27,-3,53,-56,0,-56,0
90824183,0,1,1774,999,24,995,0,4,6022,1,1,0,4,33533,-28,18,-3,53,-56,0,-56,0
90834198,0,1,1778,999,24,995,0,4,6022,1,1,0,4,33533,-28,23,-3,53,-56,0,-56,0
90844186,0,1,1778,999,24,995,0,4,6022,1,1,0,4,33533,-28,27,-4,53,-57,0,-56,0
90854185,0,1,1779,999,24,995,0,4,6022,1,1,0,4,33533,-28,27,-4,53,-57,0,-56,0
90864194,0,1,1779,999,24,995,0,4,6022,1,1,0,4,33533,-28,35,-4,53,-57,0,-56,0
90874182,0,1,1780,999,24,995,0,4,6022,1,1,0,4,33533,-28,22,-4,53,-57,0,-56,0
90884198,0,1,1781,999,24,995,0,4,6022,1,1,0,4,33533,-28,29,-4,53,-57,0,-56,0
