time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCell, pCurrent, pPID, sState, sEncoder, sLoadCell, sCurrent, sPID, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD
116544198,0,1,2054,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116554187,0,1,2037,943,71,871,0,4,6042,2,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116564186,0,1,2028,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116574186,0,1,2023,943,71,871,0,4,6043,1,0,-1,4,31956,-47,0,0,100,-100,-7,-92,0
116584201,0,1,2012,943,71,871,0,4,6043,1,1,-1,4,31956,-47,0,0,100,-100,-7,-92,0
116594200,0,1,2015,943,71,871,0,4,6043,1,3,-1,4,31956,-47,0,0,100,-100,-7,-92,0
116604201,0,1,1779,943,71,871,0,4,6042,1,2,0,4,31956,-47,0,0,100,-100,-7,-92,0
116614201,0,1,1784,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116624201,0,1,1790,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116634188,0,1,1798,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116644187,0,1,1804,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116654202,0,1,1810,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116664201,0,1,1807,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116674201,0,1,1802,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116684200,0,1,1798,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116694200,0,1,1794,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116704202,0,1,1789,943,71,871,0,4,6043,1,0,-1,4,31956,-47,0,0,100,-100,-7,-92,0
116714191,0,1,1782,943,71,871,0,4,6043,1,1,-1,4,31956,-47,0,0,100,-100,-7,-92,0
116724185,0,1,1781,943,71,871,0,4,6043,1,3,-1,4,31956,-47,0,0,100,-100,-7,-92,0
116734184,0,1,1782,943,71,871,0,4,6043,1,2,-1,4,31956,-47,0,0,100,-100,-7,-92,0
116744184,0,1,1784,943,71,871,0,4,6042,1,2,0,4,31956,-47,0,0,100,-100,-7,-92,0
116754184,0,1,1787,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116764184,0,1,1790,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116774185,0,1,1791,943,71,871,0,4,6042,1,0,0,4,31956,-47,1,0,100,-100,-7,-92,0
116784184,0,1,1792,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116794187,0,1,1793,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116804187,0,1,1791,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116814189,0,1,1787,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116824189,0,1,1785,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116834189,0,1,1783,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116844188,0,1,1781,943,71,871,0,4,6043,1,0,-1,4,31956,-47,0,0,100,-100,-7,-92,0
116854187,0,1,1780,943,71,871,0,4,6043,1,2,-1,4,31956,-47,0,0,100,-100,-7,-92,0
116864202,0,1,1776,943,71,871,0,4,6042,1,1,0,4,31956,-47,0,0,100,-100,-7,-92,0
116874190,0,1,1768,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116884188,0,1,1763,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116894188,0,1,1758,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116904186,0,1,1754,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116914185,0,1,1750,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
116924185,0,1,1745,943,71,871,0,4,6042,1,0,0,4,31956,-47,0,0,100,-100,-7,-92,0
