time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCell, pCurrent, pPID, sState, sEncoder, sLoadCell, sCurrent, sPID, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD
102294181,0,1,2308,606,49,557,0,4,6042,1,1,0,4,27346,-45,108,10,238,-42,-6,-36,0
102304186,0,1,2314,606,49,557,0,4,6042,1,1,0,4,27346,-45,81,10,238,-42,-6,-36,0
102314191,0,1,2322,606,49,557,0,4,6042,1,1,0,4,27346,-45,105,10,238,-42,-6,-36,0
102324199,0,1,2335,606,49,557,0,4,6042,1,1,0,4,27346,-45,104,10,238,-42,-6,-36,0
102334182,0,1,2000,606,49,557,0,4,6042,1,1,0,4,27346,-45,92,10,238,-42,-6,-36,0
102344199,0,1,1751,606,49,557,0,4,6042,1,1,0,4,27346,-45,111,10,238,-42,-6,-36,0
102354184,0,1,1753,606,49,557,0,4,6042,1,1,0,4,27346,-45,74,10,238,-42,-6,-36,0
102364190,0,1,1755,606,49,557,0,4,6042,1,1,0,4,27346,-45,96,10,238,-42,-6,-36,0
102374186,0,1,1758,606,49,557,0,4,6042,1,1,0,4,27346,-45,108,10,238,-42,-6,-36,0
102384192,0,1,1760,606,49,557,0,4,6042,1,2,0,4,27346,-44,81,10,238,-42,-6,-36,0
102394199,0,1,1762,606,49,557,0,4,6042,1,1,0,4,27346,-45,105,10,238,-43,-6,-36,0
102404183,0,1,1768,606,49,557,0,4,6042,1,2,0,4,27346,-45,83,10,238,-43,-6,-36,0
102414200,0,1,1771,606,49,557,0,4,6042,1,1,0,4,27346,-45,89,10,238,-43,-6,-36,0
102424183,0,1,1773,606,49,557,0,4,6042,1,1,0,4,27346,-45,109,10,238,-43,-6,-36,0
102434191,0,1,1778,606,49,557,0,4,6043,1,1,-1,4,27346,-45,74,10,238,-43,-6,-36,0
102444197,0,1,1778,606,49,557,0,4,6043,1,3,-1,4,27346,-44,100,10,238,-42,-6,-36,0
102454193,0,1,1781,606,49,557,0,4,6043,1,4,-1,4,27346,-44,108,10,238,-43,-6,-37,0
102464180,0,1,1781,606,49,557,0,4,6042,1,2,0,4,27346,-45,87,10,238,-43,-6,-37,0
102474186,0,1,1784,606,49,557,0,4,6042,1,1,0,4,27346,-45,110,10,238,-43,-6,-37,0
102484182,0,1,1786,606,49,557,0,4,6042,1,1,0,4,27346,-45,75,10,238,-43,-6,-37,0
102494189,0,1,1789,606,49,557,0,4,6042,1,1,0,4,27346,-45,92,10,238,-43,-6,-37,0
102504199,0,1,1786,606,49,557,0,4,6042,1,1,0,4,27346,-45,110,10,238,-43,-6,-37,0
102514183,0,1,1782,606,49,557,0,4,6042,1,1,0,4,27346,-44,79,10,238,-43,-6,-37,0
102524190,0,1,1780,606,49,557,0,4,6042,1,1,0,4,27346,-45,102,10,238,-43,-6,-37,0
102534184,0,1,1778,606,49,557,0,4,6042,1,1,0,4,27346,-45,101,10,238,-43,-6,-37,0
102544191,0,1,1775,606,49,557,0,4,6042,1,1,0,4,27346,-45,87,10,238,-44,-6,-37,0
102554186,0,1,1773,606,49,557,0,4,6042,1,1,0,4,27346,-45,109,10,238,-44,-6,-37,0
102564191,0,1,1769,606,49,557,0,4,6042,1,2,0,4,27346,-45,76,10,238,-44,-6,-37,0
102574197,0,1,1772,606,49,557,0,4,6042,1,1,0,4,27346,-45,94,10,238,-44,-6,-37,0
102584182,0,1,1774,606,49,557,0,4,6042,1,1,0,4,27346,-44,109,10,238,-43,-6,-37,0
102594188,0,1,1775,606,49,557,0,4,6042,1,1,0,4,27346,-45,80,10,238,-44,-6,-37,0
102604193,0,1,1777,606,49,557,0,4,6042,1,1,0,4,27346,-45,104,10,238,-44,-6,-37,0
102614191,0,1,1781,606,49,557,0,4,6042,1,1,0,4,27346,-45,100,10,238,-44,-6,-38,0
102624183,0,1,1783,606,49,557,0,4,6042,1,1,0,4,27346,-45,90,10,238,-44,-6,-38,0
102634189,0,1,1784,606,49,557,0,4,6042,1,1,0,4,27346,-45,108,10,238,-44,-6,-38,0
102644197,0,1,1783,606,49,557,0,4,6042,1,1,0,4,27346,-45,74,10,238,-44,-6,-38,0
102654181,0,1,1785,606,49,557,0,4,6042,1,1,0,4,27346,-44,100,10,238,-44,-6,-38,0
102664189,0,1,1787,606,49,557,0,4,6042,1,1,0,4,27346,-45,108,10,238,-44,-6,-38,0
102674197,0,1,1787,606,49,557,0,4,6043,1,1,-1,4,27346,-45,80,10,238,-44,-6,-38,0
102684182,0,1,1786,606,49,557,0,4,6043,1,3,-1,4,27346,-45,107,10,238,-44,-6,-38,0
102694264,0,1,1787,606,49,557,0,4,6043,1,3,-1,4,27346,-45,109,10,238,-44,-6,-38,0
102704192,0,1,1787,606,49,557,0,4,6043,1,3,-1,4,27346,-45,89,10,238,-45,-6,-38,0
102714200,0,1,1788,606,49,557,0,4,6042,1,4,0,4,27346,-45,110,10,238,-45,-6,-38,0
102724183,0,1,1786,606,49,557,0,4,6042,1,1,0,4,27346,-45,76,10,238,-45,-6,-38,0
102734189,0,1,1785,606,49,557,0,4,6042,1,1,0,4,27346,-45,101,10,238,-45,-6,-38,0
102744197,0,1,1785,606,49,557,0,4,6042,1,1,0,4,27346,-45,110,10,238,-45,-6,-38,0
102754183,0,1,1785,606,49,557,0,4,6042,1,1,0,4,27346,-45,85,10,238,-45,-6,-38,0
102764189,0,1,1785,606,49,557,0,4,6042,1,1,0,4,27346,-45,107,10,238,-45,-6,-39,0
102774197,0,1,1777,606,49,557,0,4,6042,1,1,0,4,27346,-45,90,10,238,-45,-6,-39,0
102784182,0,1,1774,606,49,557,0,4,6042,1,1,0,4,27346,-45,95,10,238,-45,-6,-39,0
102794189,0,1,1768,606,49,557,0,4,6042,1,1,0,4,27346,-45,110,10,238,-45,-6,-39,0
102804196,0,1,1765,606,49,557,0,4,6042,1,1,0,4,27346,-45,75,10,238,-45,-6,-39,0
102814182,0,1,1758,606,49,557,0,4,6042,1,1,0,4,27346,-45,105,10,238,-45,-6,-39,0
102824190,0,1,1755,606,49,557,0,4,6042,1,1,0,4,27346,-45,106,10,238,-45,-6,-39,0
102834197,0,1,1752,606,49,557,0,4,6042,1,1,0,4,27346,-45,84,10,238,-45,-6,-39,0
102844191,0,1,1755,606,49,557,0,4,6043,1,1,-1,4,27346,-45,109,10,238,-45,-6,-39,0
102854187,0,1,1761,606,49,557,0,4,6043,1,4,-1,4,27346,-45,75,10,238,-45,-6,-39,0
102864191,0,1,1765,606,49,557,0,4,6042,1,3,0,4,27346,-45,95,10,238,-46,-6,-39,0
102874199,0,1,1769,606,49,557,0,4,6042,1,1,0,4,27346,-45,111,10,238,-46,-6,-39,0
102884182,0,1,1782,606,49,557,0,4,6042,1,1,0,4,27346,-45,80,10,238,-46,-6,-39,0
102894189,0,1,1785,606,49,557,0,4,6042,1,1,0,4,27346,-45,102,10,238,-46,-6,-39,0
