time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCell, pCurrent, pPID, sState, sEncoder, sLoadCell, sCurrent, sPID, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD
94354182,0,1,2362,883,49,833,0,4,6042,1,0,0,4,28762,-45,0,0,196,-100,-6,-93,0
94364223,0,1,2035,883,49,833,0,4,6042,1,0,0,4,28762,-45,0,0,196,-100,-6,-93,0
94374184,0,1,2048,883,49,833,0,4,6042,1,0,0,4,28762,-45,0,0,196,-100,-6,-93,0
94384184,0,1,1800,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94394184,0,1,1807,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94404183,0,1,1813,883,49,833,0,4,6042,2,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94414181,0,1,1812,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94424181,0,1,1809,883,49,833,0,4,6042,1,0,0,4,28762,-45,0,0,196,-100,-6,-93,0
94434181,0,1,1796,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94444196,0,1,1790,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94454184,0,1,1784,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94464183,0,1,1779,883,49,833,0,4,6042,1,0,0,4,28762,-45,0,0,196,-100,-6,-93,0
94474182,0,1,1773,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94484202,0,1,1768,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94494181,0,1,1768,883,49,833,0,4,6042,1,0,0,4,28762,-45,0,0,196,-100,-6,-93,0
94504182,0,1,1769,883,49,833,0,4,6042,2,0,0,4,28762,-45,0,0,196,-100,-6,-93,0
94514196,0,1,1769,883,49,833,0,4,6042,2,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94524195,0,1,1768,883,49,833,0,4,6042,1,0,0,4,28762,-45,0,0,196,-100,-6,-93,0
94534183,0,1,1768,883,49,833,0,4,6042,1,0,0,4,28762,-45,0,0,196,-100,-6,-93,0
94544183,0,1,1767,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94554182,0,1,1765,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94564182,0,1,1762,883,49,833,0,4,6042,1,0,0,4,28762,-45,0,0,196,-100,-6,-93,0
94574183,0,1,1759,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94584196,0,1,1757,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94594195,0,1,1756,883,49,833,0,4,6042,1,0,0,4,28762,-45,0,0,196,-100,-6,-93,0
94604195,0,1,1750,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94614183,0,1,1751,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
94624183,0,1,1755,883,49,833,0,4,6042,1,0,0,4,28762,-46,0,0,196,-100,-6,-93,0
