time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
126514174,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126524181,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126534167,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126544169,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126554181,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126564176,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126574172,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126584178,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126594166,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126604182,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126614167,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126624181,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126634167,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126644178,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126654164,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126664164,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126674176,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126684165,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126694167,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126704181,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126714180,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126724171,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126734163,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126744175,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126754164,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126764168,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126774165,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126784173,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126794181,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126804171,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126814176,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126824167,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126834174,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126844174,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126854165,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126864176,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126874163,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126884176,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126894163,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126904170,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126914176,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126924169,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126934177,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126944164,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126954170,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126964178,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126974165,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126984179,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
126994169,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127004178,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127014173,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,3,0,0,0,0,0,0
127024181,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127034173,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127044166,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127054173,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127064173,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127074173,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127084167,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127094175,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127104177,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127114170,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127124179,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127134166,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127144172,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127154166,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127164177,0,1,0,0,0,0,0,3,11,-23,1,0,3,-137,54,0,0,0,0,0,0,0
127174167,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127184164,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127194174,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127204166,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127214165,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127224173,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127234179,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127244173,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127254181,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127264174,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127274183,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127284171,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127294171,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127304178,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127314164,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127324254,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,3,0,0,0,0,0,0
127334167,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127344180,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127354164,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127364172,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127374180,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127384173,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127394183,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127404173,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127414173,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127424166,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127434169,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127444174,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127454184,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127464181,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127474173,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127484183,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127494175,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127504164,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127514183,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127524169,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127534176,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127544183,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127554173,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127564178,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127574227,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127584178,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127594181,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127604172,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
127614178,0,1,0,0,0,0,0,3,11,-23,0,0,3,-137,54,0,0,0,0,0,0,0
