time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCell, pCurrent, pPID, sState, sEncoder, sLoadCell, sCurrent, sPID, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD
316953770,5,0,14593,9,0,0,0,0,1531652,256,0,0,0,3097860,-13824,23807,2560,-18688,-15102,-2049,-12289,255
85134181,0,1,2351,0,0,0,0,4,5983,1,0,0,4,12101,-54,118,10,695,-59,-9,-49,0
85144201,0,1,2023,0,0,0,0,4,5983,1,0,0,4,12101,-54,106,10,695,-59,-9,-49,0
85154183,0,1,1775,0,0,0,0,4,5983,1,0,0,4,12101,-54,102,10,695,-59,-9,-49,0
85164181,0,1,1777,0,0,0,0,4,5983,1,0,0,4,12101,-54,119,10,695,-59,-9,-49,0
85174181,0,1,1779,0,0,0,0,4,5983,1,0,0,4,12101,-54,86,10,695,-59,-9,-50,0
85184180,0,1,1781,0,0,0,0,4,5983,1,0,0,4,12101,-54,112,10,695,-59,-9,-50,0
85194180,0,1,1782,0,0,0,0,4,5983,1,0,0,4,12101,-54,110,10,695,-60,-9,-50,0
85204181,0,1,1780,0,0,0,0,4,5983,1,0,0,4,12101,-54,96,10,695,-60,-9,-50,0
85214197,0,1,1770,0,0,0,0,4,5983,1,0,0,4,12101,-54,117,10,695,-60,-9,-50,0
85224196,0,1,1769,0,0,0,0,4,5983,1,1,0,4,12101,-54,94,10,695,-60,-9,-50,0
85234183,0,1,1761,0,0,0,0,4,5983,1,0,0,4,12101,-54,106,10,695,-60,-9,-50,0
85244183,0,1,1757,0,0,0,0,4,5983,1,0,0,4,12101,-54,118,10,695,-60,-9,-50,0
85254181,0,1,1753,0,0,0,0,4,5983,1,0,0,4,12101,-54,88,10,695,-60,-9,-50,0
85264181,0,1,1747,0,0,0,0,4,5983,1,0,0,4,12101,-54,113,10,695,-60,-9,-50,0
85274180,0,1,1754,0,0,0,0,4,5983,1,0,0,4,12101,-54,103,10,695,-60,-9,-51,0
85284196,0,1,1759,0,0,0,0,4,5983,1,0,0,4,12101,-54,94,10,695,-60,-9,-51,0
85294196,0,1,1765,0,0,0,0,4,5983,1,0,0,4,12101,-54,117,10,695,-61,-9,-51,0
85304259,0,1,1771,0,0,0,0,4,5983,1,0,0,4,12101,-54,118,10,695,-61,-9,-51,0
85314182,0,1,1775,0,0,0,0,4,5983,1,0,0,4,12101,-54,108,10,695,-61,-9,-51,0
85324181,0,1,1786,0,0,0,0,4,5983,1,0,0,4,12101,-54,116,10,695,-61,-9,-51,0
85334181,0,1,1785,0,0,0,0,4,5983,1,0,0,4,12101,-54,90,10,695,-61,-9,-51,0
85344180,0,1,1780,0,0,0,0,4,5983,1,0,0,4,12101,-54,115,10,695,-61,-9,-51,0
85354196,0,1,1774,0,0,0,0,4,5983,1,0,0,4,12101,-54,110,10,695,-61,-9,-51,0
85364197,0,1,1769,0,0,0,0,4,5983,1,0,0,4,12101,-54,95,10,695,-61,-9,-51,0
85374196,0,1,1761,0,0,0,0,4,5983,1,0,0,4,12101,-54,118,10,695,-61,-9,-52,0
85384185,0,1,1753,0,0,0,0,4,5983,1,0,0,4,12101,-54,83,10,695,-61,-9,-52,0
85394185,0,1,1746,0,0,0,0,4,5983,1,0,0,4,12101,-54,108,10,695,-62,-9,-52,0
85404185,0,1,1747,0,0,0,0,4,5983,1,0,0,4,12101,-54,117,10,695,-62,-9,-52,0
85414184,0,1,1754,0,0,0,0,4,5983,1,0,0,4,12101,-54,91,10,695,-62,-9,-52,0
85424178,0,1,1761,0,0,0,0,4,5983,1,0,0,4,12101,-54,115,10,695,-62,-9,-52,0
85434180,0,1,1771,0,0,0,0,4,5983,1,2,0,4,12101,-54,89,10,695,-62,-9,-52,0
