time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCell, pCurrent, pPID, sState, sEncoder, sLoadCell, sCurrent, sPID, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD
3816895146,2,0,1,0,0,0,0,0,9731,-32000,255,0,0,-113661,16383,0,0,0,0,0,0,0
48474166,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48484180,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48494172,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48504182,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48514162,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48524175,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48534165,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48544176,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48554163,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48564172,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48574179,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48584179,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48594173,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48604180,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48614172,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48624180,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48634167,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48644174,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48654174,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48664163,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48674178,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48684164,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48694177,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48704164,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48714169,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48724175,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48734166,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48744163,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48754177,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48764164,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48774172,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,2,0,0,0,0,0,0
48784172,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48794163,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48804168,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48814174,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48824166,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
48834175,0,1,0,0,0,0,0,3,38,-125,0,0,3,-444,63,0,0,0,0,0,0,0
