time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCell, pCurrent, pPID, sState, sEncoder, sLoadCell, sCurrent, sPID, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD
1672129159,-31367,-104,0,-14335,-12793,515,-13568,3,1879310336,19,512,0,0,2097414144,140,-7680,6143,768,-4864,5887,-256,6143
2558894188,0,1,1992,974,2,971,0,4,4976,2,0,0,4,35965,-30,27,3,-19,22,-1,23,0
2558904200,0,1,1991,974,2,971,0,4,4976,2,0,0,4,35965,-30,18,3,-19,22,-1,23,0
2558914195,0,1,2002,974,2,971,0,4,4976,2,0,0,4,35965,-30,24,3,-19,22,-1,23,0
2558924186,0,1,1751,974,2,971,0,4,4976,2,0,0,4,35965,-30,15,3,-19,22,-1,23,0
2558934180,0,1,1754,974,2,971,0,4,4976,2,0,0,4,35965,-30,22,3,-19,22,-1,23,0
2558944199,0,1,1755,974,2,971,0,4,4976,2,0,0,4,35965,-30,27,3,-19,22,-1,23,0
2558954190,0,1,1756,974,2,971,0,4,4976,2,0,0,4,35965,-30,18,3,-19,22,-1,23,0
2558964200,0,1,1757,974,2,971,0,4,4976,2,0,0,4,35965,-30,23,3,-19,22,-1,23,0
2558974191,0,1,1759,974,2,971,0,4,4976,2,0,0,4,35965,-30,24,3,-19,22,-1,23,0
2558984187,0,1,1761,974,2,971,0,4,4976,2,0,0,4,35965,-30,18,3,-19,22,-1,23,0
2558994183,0,1,1765,974,2,971,0,4,4976,2,0,0,4,35965,-30,23,3,-19,22,-1,23,0
2559004194,0,1,1767,974,2,971,0,4,4976,2,0,0,4,35965,-30,15,3,-19,22,-1,23,0
2559014189,0,1,1759,974,2,971,0,4,4976,2,0,0,4,35965,-30,20,3,-19,22,-1,23,0
2559024198,0,1,1757,974,2,971,0,4,4976,2,0,0,4,35965,-30,25,3,-19,22,-1,23,0
2559034190,0,1,1755,974,2,971,0,4,4976,2,0,0,4,35965,-30,16,3,-19,22,-1,23,0
2559044181,0,1,1751,974,2,971,0,4,4976,2,0,0,4,35965,-30,21,3,-19,22,-1,23,0
2559054191,0,1,1747,974,2,971,0,4,4976,2,0,0,4,35965,-30,23,3,-19,22,-1,23,0
2559064182,0,1,1744,974,2,971,0,4,4976,2,0,0,4,35965,-30,19,3,-19,22,-1,23,0
2559074183,0,1,1741,974,2,971,0,4,4976,2,0,0,4,35965,-30,24,3,-19,22,-1,23,0
2559084199,0,1,1748,974,2,971,0,4,4976,2,0,0,4,35965,-30,16,3,-19,22,-1,23,0
2559094194,0,1,1751,974,2,971,0,4,4976,2,0,0,4,35965,-30,19,3,-19,22,-1,23,0
2559104192,0,1,1754,974,2,971,0,4,4976,2,0,0,4,35965,-30,25,3,-19,22,-1,23,0
2559114190,0,1,1755,974,2,971,0,4,4976,2,0,0,4,35965,-30,19,3,-19,22,-1,23,0
2559124197,0,1,1758,974,2,971,0,4,4976,2,0,0,4,35965,-30,24,3,-19,22,-1,23,0
2559134190,0,1,1766,974,2,971,0,4,4976,2,1,0,4,35965,-30,20,3,-19,22,-1,23,0
