time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCell, pCurrent, pPID, sState, sEncoder, sLoadCell, sCurrent, sPID, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD
60954177,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
60964180,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
60974174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
60984181,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
60994181,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61004171,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61014163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61024169,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61034174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61044181,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61054167,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61064180,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61074164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61084177,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61094245,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61104173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61114163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61124165,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61134178,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61144163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61154173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61164180,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61174166,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61184164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61194174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61204182,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61214167,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61224173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61234182,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61244179,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61254170,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61264163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61274175,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61284167,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61294172,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61304176,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61314164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61324171,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61334180,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61344167,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61354174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61364183,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61374230,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61384166,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61394175,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61404164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61414175,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61424164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61434169,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61444163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61454164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61464177,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61474173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61484182,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61494171,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61504177,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61514183,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61524169,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61534181,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61544173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61554183,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61564174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61574182,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61584169,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61594183,0,1,0,0,0,0,0,3,0,-45,2,0,3,-88,38,1,0,0,0,0,0,0
61604177,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61614163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61624176,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61634166,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61644169,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61654182,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61664173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61674166,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61684166,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61694171,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61704164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61714175,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61724168,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61734174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61744182,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61754169,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61764173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61774163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61784195,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61794169,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61804182,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61814164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61824173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61834166,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61844165,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61854173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61864179,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61874172,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61884177,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61894164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61904174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61914243,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61924181,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61934173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61944171,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61954163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61964177,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61974168,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61984174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
61994181,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62004171,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62014166,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62024173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62034180,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62044172,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62054165,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62064174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62074170,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62084181,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62094167,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62104173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62114166,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62124173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62134164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62144175,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62154163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62164173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62174163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62184171,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62194177,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62204165,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62214177,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62224164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62234176,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62244166,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62254174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62264167,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62274174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62284182,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62294168,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62304180,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62314167,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62324176,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62334175,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62344182,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62354169,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62364177,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62374183,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62384163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62394182,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62404173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62414175,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62424169,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62434175,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62444183,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62454211,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62464174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62474166,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62484168,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62494176,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62504180,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62514165,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62524177,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62534177,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62544164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62554174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62564167,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62574175,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62584167,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62594174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62604163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62614168,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62624163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62634171,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62644178,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62654173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,4,0,0,0,0,0,0
62664166,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62674173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62684180,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62694181,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62704173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62714170,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62724164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62734253,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62744169,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62754175,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62764173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62774163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62784171,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62794180,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62804169,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62814174,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62824166,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62834175,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62844181,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62854173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62864169,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62874180,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62884173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62894179,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62904165,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62914165,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62924172,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62934163,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62944170,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62954178,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62964164,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62974179,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62984170,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
62994328,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
63004168,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
63014180,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
63024172,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
63034166,0,1,0,0,0,0,0,3,0,-45,4,0,3,-88,38,1,0,0,0,0,0,0
63044173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
63054180,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
63064166,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
63074173,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
63084169,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
63094181,0,1,0,0,0,0,0,3,0,-45,1,0,3,-88,38,1,0,0,0,0,0,0
