Ratio Percentage,Primary Enc Counts From Zero,Secondary Enc Counts from zero,Clamping Force (lbf)
999,8009,35300,580
998,8222,35163,573
997,8432,35028,567
996,8639,34895,561
995,8842,34764,555
994,9042,34635,549
993,9240,34507,544
992,9434,34381,539
991,9626,34256,533
990,9814,34133,528
989,10001,34011,524
988,10184,33890,519
987,10366,33771,514
986,10545,33654,510
985,10721,33537,506
984,10895,33422,502
983,11068,33308,498
982,11238,33195,494
981,11406,33083,490
980,11572,32973,486
979,11736,32863,483
978,11898,32755,479
977,12058,32648,476
976,12217,32541,473
975,12373,32436,469
974,12528,32331,466
973,12682,32228,463
972,12833,32125,460
971,12984,32024,457
970,13132,31923,454
969,13279,31823,451
968,13425,31724,449
967,13569,31625,446
966,13712,31528,443
965,13853,31431,441
964,13993,31335,438
963,14132,31240,436
962,14269,31146,433
961,14405,31052,431
960,14540,30959,429
959,14674,30867,427
958,14806,30775,424
957,14937,30684,422
956,15067,30594,420
955,15196,30504,418
954,15324,30415,416
953,15451,30327,414
952,15577,30239,412
951,15701,30152,410
950,15825,30065,408
949,15947,29979,406
948,16069,29894,404
947,16190,29809,402
946,16309,29725,401
945,16428,29641,399
944,16546,29558,397
943,16663,29475,395
942,16779,29393,394
941,16894,29311,392
940,17008,29230,390
939,17121,29150,389
938,17234,29070,387
937,17346,28990,386
936,17457,28911,384
935,17567,28832,383
934,17676,28754,381
933,17785,28676,380
932,17892,28599,378
931,17999,28522,377
930,18106,28445,375
929,18211,28369,374
928,18316,28294,373
927,18420,28219,371
926,18523,28144,370
925,18626,28069,369
924,18728,27995,367
923,18830,27922,366
922,18930,27849,365
921,19030,27776,364
920,19130,27704,362
919,19228,27632,361
918,19327,27560,360
917,19424,27489,359
916,19521,27418,358
915,19617,27347,357
914,19713,27277,355
913,19808,27207,354
912,19903,27138,353
911,19997,27069,352
910,20090,27000,351
909,20183,26931,350
908,20275,26863,349
907,20367,26795,348
906,20458,26728,347
905,20549,26661,346
904,20639,26594,345
903,20728,26528,344
902,20817,26461,343
901,20906,26395,342
900,20994,26330,341
899,21082,26265,340
898,21169,26200,339
897,21256,26135,338
896,21342,26070,337
895,21427,26006,336
894,21513,25942,336
893,21597,25879,335
892,21682,25816,334
891,21765,25753,333
890,21849,25690,332
889,21932,25627,331
888,22014,25565,330
887,22096,25503,330
886,22178,25442,329
885,22259,25380,328
884,22340,25319,327
883,22420,25258,326
882,22500,25198,326
881,22580,25137,325
880,22659,25077,324
879,22738,25017,323
878,22816,24958,322
877,22894,24898,322
876,22972,24839,321
875,23049,24780,320
874,23126,24721,319
873,23202,24663,319
872,23278,24605,318
871,23354,24547,317
870,23429,24489,317
869,23504,24431,316
868,23579,24374,315
867,23653,24317,315
866,23727,24260,314
865,23801,24203,313
864,23874,24147,313
863,23947,24091,312
862,24019,24035,311
861,24091,23979,311
860,24163,23923,310
859,24235,23868,309
858,24306,23813,309
857,24377,23758,308
856,24448,23703,307
855,24518,23648,307
854,24588,23594,306
853,24657,23540,306
852,24727,23486,305
851,24796,23432,304
850,24865,23378,304
849,24933,23325,303
848,25001,23272,303
847,25069,23219,302
846,25136,23166,302
845,25204,23113,301
844,25271,23061,300
843,25337,23008,300
842,25404,22956,299
841,25470,22904,299
840,25536,22853,298
839,25601,22801,298
838,25666,22750,297
837,25731,22698,297
836,25796,22647,296
835,25861,22596,296
834,25925,22546,295
833,25989,22495,294
832,26052,22445,294
831,26116,22394,293
830,26179,22344,293
829,26242,22294,292
828,26305,22245,292
827,26367,22195,291
826,26429,22146,291
825,26491,22096,291
824,26553,22047,290
823,26614,21998,290
822,26675,21950,289
