time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
216573098,11,1,1,-6136,-2557,-22528,3,0,777476,512,3584,0,0,5295364,18432,6143,2304,-23296,26879,3328,23040,0,8704,19457
185405343,0,1,2047,1000,246,936,0,4,3037,2,13,0,4,20685,-184,56,9,-91,104,13,90,0,290,332
185415351,0,1,2047,1000,246,936,0,4,3037,2,13,0,4,20685,-184,23,9,-91,104,13,90,0,290,332
185425363,0,1,2049,1000,246,936,0,4,3037,2,13,0,4,20685,-184,24,9,-91,104,13,90,0,291,332
185435368,0,1,2049,1000,246,936,0,4,3037,2,13,0,4,20685,-184,23,9,-91,104,13,90,0,291,332
185445337,0,1,2050,1000,246,936,0,4,3037,2,13,0,4,20685,-183,23,9,-91,104,14,90,0,290,332
185455363,0,1,2050,1000,246,936,0,4,3037,2,15,0,4,20685,-184,24,9,-91,104,13,90,0,291,332
185465363,0,1,2050,1000,246,936,0,4,3037,2,13,0,4,20685,-184,23,9,-91,104,13,90,0,290,332
185475371,0,1,2052,1000,246,936,0,4,3037,2,13,0,4,20685,-184,24,9,-91,104,13,90,0,290,332
185485338,0,1,2052,1000,246,936,0,4,3037,2,13,0,4,20685,-184,23,9,-91,104,13,90,0,290,332
185495343,0,1,2053,1000,246,936,0,4,3037,2,14,0,4,20685,-184,23,9,-91,104,13,90,0,291,332
185505360,0,1,2054,1000,246,936,0,4,3037,2,14,0,4,20685,-183,23,9,-91,104,14,90,0,290,332
185515367,0,1,2054,1000,246,936,0,4,3037,2,14,0,4,20685,-184,23,9,-91,104,13,90,0,291,333
185525369,0,1,2054,1000,246,936,0,4,3037,2,13,0,4,20685,-184,23,9,-91,104,13,90,0,290,332
185535338,0,1,2052,1000,246,936,0,4,3037,2,13,0,4,20685,-184,58,9,-91,104,13,90,0,290,332
185545345,0,1,2052,1000,246,936,0,4,3037,2,14,0,4,20685,-184,23,9,-91,104,13,90,0,291,332
185555375,0,1,2048,1000,246,936,0,4,3037,2,15,0,4,20685,-184,24,9,-91,104,13,90,0,290,332
185565345,0,1,2045,1000,246,936,0,4,3037,2,14,0,4,20685,-183,23,9,-91,104,14,90,0,291,333
185575347,0,1,2044,1000,246,936,0,4,3037,2,14,0,4,20685,-184,23,9,-91,104,13,90,0,291,332
185585353,0,1,2041,1000,246,936,0,4,3037,2,14,0,4,20685,-184,24,9,-91,104,13,90,0,290,332
185595363,0,1,2040,1000,246,936,0,4,3037,2,13,0,4,20685,-184,23,9,-91,104,13,90,0,291,332
185605431,0,1,2040,1000,246,936,0,4,3037,2,15,0,4,20685,-184,24,9,-91,104,13,90,0,290,332
185615350,0,1,2039,1000,246,936,0,4,3037,2,14,0,4,20685,-183,35,9,-91,104,14,90,0,290,332
185625350,0,1,2040,1000,246,936,0,4,3037,2,14,0,4,20685,-183,23,9,-91,104,14,90,0,290,332
185635341,0,1,2040,1000,246,936,0,4,3037,2,13,0,4,20685,-184,24,9,-91,104,13,90,0,291,332
185645368,0,1,2041,1000,246,936,0,4,3037,2,13,0,4,20685,-184,53,9,-91,104,13,90,0,291,332
185655361,0,1,2043,1000,246,936,0,4,3037,2,13,0,4,20685,-184,23,9,-91,104,13,90,0,291,332
185665361,0,1,2044,1000,246,936,0,4,3037,2,14,0,4,20685,-184,24,9,-91,104,13,90,0,291,332
185675352,0,1,2047,1000,246,936,0,4,3037,2,13,0,4,20685,-183,23,9,-91,104,14,90,0,291,332
