time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
497724013,-17077,0,257,-255,-6137,-2813,-20736,3,-586940416,11,512,3328,0,-1459355648,76,-6912,5631,256,-15104,15615,0,15360,18,-11520
314405409,0,1,2049,1000,245,943,0,4,3037,2,14,0,4,19625,-27,22,1,-59,60,0,60,0,211,258
314415425,0,1,2051,1000,245,943,0,4,3037,2,13,0,4,19625,-27,21,1,-59,60,0,60,0,211,257
314425398,0,1,2053,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,211,257
314435413,0,1,2050,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,210,258
314445397,0,1,2048,1000,245,943,0,4,3037,2,13,0,4,19625,-27,21,1,-59,60,0,60,0,211,258
314455431,0,1,2043,1000,245,943,0,4,3037,2,13,0,4,19625,-27,21,1,-59,60,0,60,0,211,257
314465415,0,1,2041,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,210,257
314475397,0,1,2036,1000,245,943,0,4,3037,2,13,0,4,19625,-27,21,1,-59,60,0,60,0,211,257
314485429,0,1,2032,1000,245,943,0,4,3038,1,13,-1,4,19625,-27,21,1,-59,60,0,60,0,211,257
314495400,0,1,2033,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,210,258
314505428,0,1,2033,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,211,257
314515404,0,1,2037,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,211,256
314525421,0,1,2036,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,210,257
314535397,0,1,2038,1000,245,943,0,4,3037,2,13,0,4,19625,-27,21,1,-59,60,0,60,0,210,258
314545421,0,1,2039,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,210,257
314555408,0,1,2039,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,210,258
314565432,0,1,2039,1000,245,943,0,4,3037,2,13,0,4,19625,-27,22,1,-59,60,0,60,0,210,257
314575406,0,1,2038,1000,245,943,0,4,3037,2,13,0,4,19625,-27,21,1,-59,60,0,60,0,210,257
314585396,0,1,2037,1000,245,943,0,4,3037,2,13,0,4,19625,-27,21,1,-59,60,0,60,0,209,257
314595430,0,1,2036,1000,245,943,0,4,3037,2,13,0,4,19625,-27,21,1,-59,60,0,60,0,210,257
314605422,0,1,2036,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,210,257
314615497,0,1,2037,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,209,257
314625416,0,1,2037,1000,245,943,0,4,3037,1,15,0,4,19625,-27,22,1,-59,60,0,60,0,210,257
314635401,0,1,2039,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,209,257
314645425,0,1,2039,1000,245,943,0,4,3038,1,13,-1,4,19625,-27,21,1,-59,60,0,60,0,209,257
314655418,0,1,2039,1000,245,943,0,4,3037,1,13,0,4,19625,-27,22,1,-59,60,0,60,0,210,257
314665421,0,1,2041,1000,245,943,0,4,3037,1,14,0,4,19625,-27,21,1,-59,60,0,60,0,209,257
314675410,0,1,2043,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,209,257
314685408,0,1,2044,1000,245,943,0,4,3037,2,13,0,4,19625,-27,21,1,-59,60,0,60,0,209,257
314695401,0,1,2047,1000,245,943,0,4,3037,1,12,0,4,19625,-27,22,1,-59,60,0,60,0,209,257
314705397,0,1,2052,1000,245,943,0,4,3037,2,13,0,4,19625,-27,21,1,-59,60,0,60,0,209,257
314715404,0,1,2054,1000,245,943,0,4,3037,2,13,0,4,19625,-27,21,1,-59,60,0,60,0,208,257
314725432,0,1,2054,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,208,257
314735417,0,1,2054,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,208,257
314745408,0,1,2052,1000,245,943,0,4,3037,2,13,0,4,19625,-27,22,1,-59,60,0,60,0,209,257
314755408,0,1,2051,1000,245,943,0,4,3038,1,13,-1,4,19625,-27,21,1,-59,60,0,60,0,208,257
314765411,0,1,2048,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,209,257
314775431,0,1,2048,1000,245,943,0,4,3037,2,13,0,4,19625,-27,21,1,-59,60,0,60,0,208,257
314785421,0,1,2048,1000,245,943,0,4,3037,1,13,0,4,19625,-27,21,1,-59,60,0,60,0,208,257
