time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
230455419,0,1,2082,1000,82,1000,0,4,3037,1,12,-21846,11,900568,-16128,-6144,256,2067,1000,82,1000,0,193,232
230555400,0,1,2066,1000,82,1000,0,4,3037,2,12,0,4,19902,-27,20,1,-67,68,0,68,0,193,232
230565422,0,1,2063,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230575401,0,1,2062,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230585430,0,1,2060,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230595422,0,1,2058,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230605418,0,1,2057,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230615412,0,1,2054,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,24,1,-67,68,0,68,0,193,231
230625415,0,1,2054,1000,82,1000,0,4,3037,1,14,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230635422,0,1,2053,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230645412,0,1,2054,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230655400,0,1,2056,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,20,1,-67,68,0,68,0,193,232
230665433,0,1,2056,1000,82,1000,0,4,3037,2,12,0,4,19902,-27,20,1,-67,68,0,68,0,193,232
230675432,0,1,2056,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,22,1,-67,68,0,68,0,193,232
230685415,0,1,2057,1000,82,1000,0,4,3037,1,11,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230695403,0,1,2059,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230705403,0,1,2058,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230715396,0,1,2059,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230725399,0,1,2059,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230735424,0,1,2059,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230745412,0,1,2060,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230755404,0,1,2058,1000,82,1000,0,4,3038,2,13,-1,4,19902,-27,21,1,-67,68,0,68,0,193,228
230765474,0,1,2059,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230775396,0,1,2058,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230785429,0,1,2057,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230795424,0,1,2059,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230805417,0,1,2057,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230815412,0,1,2058,1000,82,1000,0,4,3037,2,14,0,4,19902,-27,22,1,-67,68,0,68,0,193,232
230825404,0,1,2058,1000,82,1000,0,4,3037,2,12,0,4,19902,-27,22,1,-67,68,0,68,0,193,232
230835412,0,1,2060,1000,82,1000,0,4,3037,2,14,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230845400,0,1,2061,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230855433,0,1,2060,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,23,1,-67,68,0,68,0,193,232
230865418,0,1,2061,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230875411,0,1,2058,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,20,1,-67,68,0,68,0,194,232
230885407,0,1,2059,1000,82,1000,0,4,3037,2,15,0,4,19902,-27,21,1,-67,68,0,68,0,192,232
230895426,0,1,2058,1000,82,1000,0,4,3037,1,14,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230905417,0,1,2057,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230915417,0,1,2058,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,20,1,-67,68,0,68,0,193,232
230925407,0,1,2056,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230935404,0,1,2055,1000,82,1000,0,4,3037,2,12,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230945429,0,1,2055,1000,82,1000,0,4,3037,2,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230955422,0,1,2054,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,21,1,-67,68,0,68,0,194,233
230965411,0,1,2053,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,20,1,-67,68,0,68,0,193,232
230975408,0,1,2055,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
230985403,0,1,2054,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,231
230995432,0,1,2051,1000,82,1000,0,4,3037,1,13,0,4,19902,-27,21,1,-67,68,0,68,0,193,232
231005423,0,1,2052,1000,82,1000,0,4,3038,1,12,-1,4,19902,-27,20,1,-67,68,0,68,0,193,232
