time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
3186000298,0,0,1,0,0,0,0,0,-921597,-12289,3583,0,0,-204797,16383,5120,0,0,0,0,0,0,25344,25344
12455299,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12465320,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12475298,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12485321,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
12495308,0,1,0,0,0,0,0,3,-3600,-49,14,0,3,-800,63,20,0,0,0,0,0,0,99,99
12505369,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12515313,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,21,0,0,0,0,0,0,100,99
12525332,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
12535317,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
12545299,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
12555322,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,21,0,0,0,0,0,0,99,99
12565308,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
12575295,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
12585312,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
12595331,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12605318,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12615299,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,19,0,0,0,0,0,0,99,99
12625322,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
12635306,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12645331,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,21,0,0,0,0,0,0,99,99
12655314,0,1,0,0,0,0,0,3,-3600,-49,11,0,3,-800,63,20,0,0,0,0,0,0,100,99
12665293,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12675314,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12685294,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
12695316,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
12705297,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
12715320,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12725301,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12735324,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
12745306,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,22,0,0,0,0,0,0,99,99
12755331,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12765317,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
12775301,0,1,0,0,0,0,0,3,-3600,-49,14,0,3,-800,63,20,0,0,0,0,0,0,99,99
12785326,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
12795307,0,1,0,0,0,0,0,3,-3600,-49,11,0,3,-800,63,20,0,0,0,0,0,0,99,99
12805294,0,1,0,0,0,0,0,3,-3600,-49,11,0,3,-800,63,20,0,0,0,0,0,0,99,99
12815314,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12825297,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,19,0,0,0,0,0,0,99,99
12835329,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12845319,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,21,0,0,0,0,0,0,100,99
12855300,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12865319,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12875300,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,100,99
12885322,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
12895307,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
12905294,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12915320,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
12925303,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12935326,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12945308,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
12955332,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
12965314,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
12975298,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
12985326,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
12995319,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
13005300,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13015322,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13025304,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,19,0,0,0,0,0,0,100,99
13035326,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13045385,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
13055294,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13065320,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
13075300,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13085322,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13095306,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13105331,0,1,0,0,0,0,0,3,-3600,-49,14,0,3,-800,63,20,0,0,0,0,0,0,100,99
13115312,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13125294,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13135319,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,21,0,0,0,0,0,0,100,99
13145298,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13155323,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,22,0,0,0,0,0,0,99,99
13165305,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
13175323,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
13185306,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13195368,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13205317,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13215298,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13225321,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
13235300,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13245322,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
13255302,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,19,0,0,0,0,0,0,99,99
13265327,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13275314,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
13285294,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
13295318,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13305302,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,21,0,0,0,0,0,0,100,99
13315323,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,19,0,0,0,0,0,0,100,99
13325304,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13335325,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13345310,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,100,99
13355332,0,1,0,0,0,0,0,3,-3600,-49,14,0,3,-800,63,20,0,0,0,0,0,0,99,99
13365319,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
13375302,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13385323,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13395302,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13405324,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13415305,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
13425329,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,19,0,0,0,0,0,0,100,99
13435308,0,1,0,0,0,0,0,3,-3600,-49,13,0,3,-800,63,20,0,0,0,0,0,0,99,99
13445332,0,1,0,0,0,0,0,3,-3600,-49,12,0,3,-800,63,20,0,0,0,0,0,0,99,99
