time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
54275245,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,100
54455231,0,1,0,0,0,0,0,3,-3625,-49,13,0,3,-800,70,21,0,0,0,0,0,0,101,101
54465255,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,100,100
54475242,0,1,0,0,0,0,0,3,-3625,-49,13,0,3,-800,70,21,0,0,0,0,0,0,100,100
54485224,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,101
54495247,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,101
54505232,0,1,0,0,0,0,0,3,-3625,-49,13,0,3,-800,70,24,0,0,0,0,0,0,101,100
54515253,0,1,0,0,0,0,0,3,-3625,-49,13,0,3,-800,70,21,0,0,0,0,0,0,100,100
54525234,0,1,0,0,0,0,0,3,-3625,-49,15,0,3,-800,70,22,0,0,0,0,0,0,101,100
54535254,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,100
54545238,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,100
54555224,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,100
54565249,0,1,0,0,0,0,0,3,-3625,-49,13,0,3,-800,70,21,0,0,0,0,0,0,101,101
54575230,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,100,100
54585252,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,100,100
54595234,0,1,0,0,0,0,0,3,-3625,-49,13,0,3,-800,70,24,0,0,0,0,0,0,101,100
54605219,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,24,0,0,0,0,0,0,100,100
54615241,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,100,100
54625225,0,1,0,0,0,0,0,3,-3625,-49,13,0,3,-800,70,22,0,0,0,0,0,0,100,101
54635249,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,100
54645232,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,100,100
54655256,0,1,0,0,0,0,0,3,-3625,-49,13,0,3,-800,70,22,0,0,0,0,0,0,101,100
54665242,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,20,0,0,0,0,0,0,101,101
54675222,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,101
54685245,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,100,100
54695227,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,100
54705248,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,101
54715232,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,100,100
54725252,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,100
54735233,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,100
54745257,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,100
54755245,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,100
54765231,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,100
54775254,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,101
54785235,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,100,100
54795257,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,100
54805244,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,100
54815232,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,101
54825252,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,100
54835234,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,100,100
54845222,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,101
54855244,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,100
54865226,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,100,100
54875251,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,101
54885231,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,101
54895332,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,100
54905237,0,1,0,0,0,0,0,3,-3625,-49,13,0,3,-800,70,20,0,0,0,0,0,0,101,100
54915224,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,100
54925247,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,100,100
54935225,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,100,100
54945246,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,100,101
54955225,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,101
54965323,0,1,0,0,0,0,0,3,-3625,-49,13,0,3,-800,70,20,0,0,0,0,0,0,100,100
54975231,0,1,0,0,0,0,0,3,-3625,-49,13,0,3,-800,70,21,0,0,0,0,0,0,101,101
54985255,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,100
54995239,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,100,100
55005221,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,100,100
55015244,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,100,101
55025233,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,101,101
55035254,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,100,100
55045239,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,100
55055223,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,101
55065247,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,21,0,0,0,0,0,0,100,100
55075231,0,1,0,0,0,0,0,3,-3625,-49,14,0,3,-800,70,22,0,0,0,0,0,0,101,100
