time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
23525206,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,21,0,0,0,0,0,0,99,107
23535238,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23545224,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,22,0,0,0,0,0,0,100,107
23555214,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,106
23565216,0,1,0,0,0,0,0,3,-3016,-83,14,0,3,-1807,70,21,0,0,0,0,0,0,99,106
23575205,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
23585206,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23595236,0,1,0,0,0,0,0,3,-3016,-83,14,0,3,-1807,70,21,0,0,0,0,0,0,99,106
23605232,0,1,0,0,0,0,0,3,-3016,-83,11,0,3,-1807,70,21,0,0,0,0,0,0,99,107
23615220,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,106
23625216,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,107
23635208,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23645238,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23655231,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,106
23665220,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,106
23675223,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
23685214,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23695206,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23705206,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23715205,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23725216,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23735206,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23745229,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,19,0,0,0,0,0,0,99,107
23755214,0,1,0,0,0,0,0,3,-3016,-83,14,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23765214,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,106
23775288,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,106
23785203,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23795238,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
23805225,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23815221,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,107
23825213,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,100,107
23835214,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23845208,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,107
23855210,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,106
23865207,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,106
23875235,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,106
23885233,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,106
23895223,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23905209,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23915206,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23925207,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23935215,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
23945205,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
23955235,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
23965233,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
23975234,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,21,0,0,0,0,0,0,99,106
23985232,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
23995235,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24005235,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24015224,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24025215,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24035213,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24045213,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24055202,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24065237,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24075203,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24085235,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24095234,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,107
24105223,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24115212,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24125203,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,107
24135239,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24145238,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24155238,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24165233,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24175219,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24185217,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,107
24195216,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24205220,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24215220,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24225209,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24235209,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24245206,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24255209,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24265238,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,107
24275235,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24285206,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,21,0,0,0,0,0,0,99,107
24295236,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,107
24305231,0,1,0,0,0,0,0,3,-3016,-83,14,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24315220,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24325213,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24335210,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24345207,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,107
24355216,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24365213,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,106
24375207,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24385234,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24395228,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24405225,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24415228,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24425227,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24435217,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24445206,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,106
24455203,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24465206,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,21,0,0,0,0,0,0,99,106
24475234,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,107
24485224,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,107
24495216,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24505209,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24515206,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,21,0,0,0,0,0,0,99,107
24525235,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24535221,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24545210,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,106
24555207,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,21,0,0,0,0,0,0,99,107
24565219,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,106
24575220,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24585213,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24595213,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24605209,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24615206,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24625205,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24635203,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,21,0,0,0,0,0,0,99,106
24645233,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,22,0,0,0,0,0,0,99,107
24655220,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,19,0,0,0,0,0,0,99,107
24665218,0,1,0,0,0,0,0,3,-3016,-83,12,0,3,-1807,70,21,0,0,0,0,0,0,99,107
24675221,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24685213,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24695216,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
24705210,0,1,0,0,0,0,0,3,-3016,-83,13,0,3,-1807,70,20,0,0,0,0,0,0,99,107
