time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
9555214,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9565215,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,22,0,0,0,0,0,0,99,99
9575220,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9585220,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9595223,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,19,0,0,0,0,0,0,99,99
9605230,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9615231,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9625239,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9635206,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,100,100
9645205,0,1,0,0,0,0,0,3,-3020,-79,12,0,3,-1791,75,21,0,0,0,0,0,0,100,100
9655208,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9665205,0,1,0,0,0,0,0,3,-3020,-79,12,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9675211,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9685210,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9695222,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9705227,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9715226,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9725302,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9735227,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,22,0,0,0,0,0,0,99,99
9745228,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9755236,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9765204,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9775204,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9785209,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9795208,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9805208,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9815210,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,22,0,0,0,0,0,0,99,100
9825204,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,20,0,0,0,0,0,0,99,100
9835218,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9845223,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9855224,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9865229,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9875224,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9885224,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,20,0,0,0,0,0,0,99,99
9895229,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9905238,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9915238,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9925202,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
9935212,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9945214,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9955210,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9965216,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9975222,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9985227,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
9995236,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10005202,0,1,0,0,0,0,0,3,-3020,-79,14,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10015202,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10025202,0,1,0,0,0,0,0,3,-3020,-79,15,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10035315,0,1,0,0,0,0,0,3,-3020,-79,14,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10045217,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10055212,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10065205,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10075204,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,22,0,0,0,0,0,0,99,99
10085203,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10095201,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
10105205,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
10115207,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
10125204,0,1,0,0,0,0,0,3,-3020,-79,12,0,3,-1791,75,21,0,0,0,0,0,0,100,100
10135201,0,1,0,0,0,0,0,3,-3020,-79,15,0,3,-1791,75,21,0,0,0,0,0,0,100,100
10145237,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
10155203,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
10165210,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10175222,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10185218,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10195221,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10205215,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10215217,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10225224,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,20,0,0,0,0,0,0,99,99
10235224,0,1,0,0,0,0,0,3,-3020,-78,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10245238,0,1,0,0,0,0,0,3,-3020,-78,12,0,3,-1791,75,21,0,0,0,0,0,0,99,100
10255239,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10265238,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,99
10275203,0,1,0,0,0,0,0,3,-3020,-79,13,0,3,-1791,75,21,0,0,0,0,0,0,99,100
