time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
129925207,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,20,0,0,0,0,0,0,100,101
129935228,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
129945214,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,21,0,0,0,0,0,0,101,101
129955233,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
129965215,0,1,0,0,0,0,0,3,-2500,-71,13,0,3,-1700,63,22,0,0,0,0,0,0,101,101
129975238,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,102
129985220,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
129995206,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130005224,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130015207,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130025227,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130035206,0,1,0,0,0,0,0,3,-2500,-71,13,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130045232,0,1,0,0,0,0,0,3,-2500,-71,13,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130055214,0,1,0,0,0,0,0,3,-2500,-71,15,0,3,-1700,63,22,0,0,0,0,0,0,100,101
130065231,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,100,101
130075214,0,1,0,0,0,0,0,3,-2500,-71,13,0,3,-1700,63,23,0,0,0,0,0,0,101,101
130085202,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,21,0,0,0,0,0,0,101,101
130095220,0,1,0,0,0,0,0,3,-2500,-71,12,0,3,-1700,63,21,0,0,0,0,0,0,101,101
130105205,0,1,0,0,0,0,0,3,-2500,-71,13,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130115222,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130125206,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,100,101
130135224,0,1,0,0,0,0,0,3,-2500,-71,13,0,3,-1700,63,21,0,0,0,0,0,0,101,101
130145208,0,1,0,0,0,0,0,3,-2500,-71,13,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130155232,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,21,0,0,0,0,0,0,101,101
130165213,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130175237,0,1,0,0,0,0,0,3,-2500,-71,13,0,3,-1700,63,21,0,0,0,0,0,0,101,101
130185217,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130195203,0,1,0,0,0,0,0,3,-2500,-71,13,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130205223,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130215206,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130225229,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130235208,0,1,0,0,0,0,0,3,-2500,-71,13,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130245228,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,102
130255213,0,1,0,0,0,0,0,3,-2500,-71,13,0,3,-1700,63,22,0,0,0,0,0,0,100,101
130265233,0,1,0,0,0,0,0,3,-2500,-71,13,0,3,-1700,63,21,0,0,0,0,0,0,101,101
130275214,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,22,0,0,0,0,0,0,101,101
130285234,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,21,0,0,0,0,0,0,101,101
130295218,0,1,0,0,0,0,0,3,-2500,-71,13,0,3,-1700,63,21,0,0,0,0,0,0,101,101
130305240,0,1,0,0,0,0,0,3,-2500,-71,14,0,3,-1700,63,21,0,0,0,0,0,0,101,101
