time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
45405221,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,21,0,0,0,0,-22016,-31574,100,100
45645237,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,21,0,0,0,0,0,0,100,100
45655306,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,21,0,0,0,0,0,0,99,100
45665227,0,1,0,0,0,0,0,3,-3017,-63,14,0,3,-1789,69,20,0,0,0,0,0,0,99,99
45675225,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,21,0,0,0,0,0,0,99,99
45685219,0,1,0,0,0,0,0,3,-3017,-63,14,0,3,-1789,69,21,0,0,0,0,0,0,99,99
45695219,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,21,0,0,0,0,0,0,99,99
45705209,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,20,0,0,0,0,0,0,99,100
45715212,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,21,0,0,0,0,0,0,99,99
45725204,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,21,0,0,0,0,0,0,100,100
45735212,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,21,0,0,0,0,0,0,99,99
45745203,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,21,0,0,0,0,0,0,99,99
45755203,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,21,0,0,0,0,0,0,99,99
45765237,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,21,0,0,0,0,0,0,99,99
45775229,0,1,0,0,0,0,0,3,-3017,-63,14,0,3,-1789,69,21,0,0,0,0,0,0,99,100
45785217,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,21,0,0,0,0,0,0,99,100
45795213,0,1,0,0,0,0,0,3,-3017,-63,13,0,3,-1789,69,21,0,0,0,0,0,0,100,100
