time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
80715212,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80725227,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80735199,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80745212,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80755225,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,126,119
80765201,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,126,119
80775216,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80785199,0,1,0,0,0,0,0,3,-3000,-91,14,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80795213,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,22,0,0,0,0,0,0,125,119
80805227,0,1,0,0,0,0,0,3,-3000,-91,15,0,3,-1800,49,23,0,0,0,0,0,0,125,119
80815202,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80825292,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80835235,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80845209,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80855221,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80865205,0,1,0,0,0,0,0,3,-3000,-91,12,0,3,-1800,49,20,0,0,0,0,0,0,125,119
80875216,0,1,0,0,0,0,0,3,-3000,-91,14,0,3,-1800,49,21,0,0,0,0,0,0,126,119
80885227,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80895201,0,1,0,0,0,0,0,3,-3000,-91,14,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80905217,0,1,0,0,0,0,0,3,-3000,-91,14,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80915226,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80925204,0,1,0,0,0,0,0,3,-3000,-91,14,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80935216,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80945222,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,22,0,0,0,0,0,0,125,119
80955198,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80965211,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80975224,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80985201,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
80995214,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
81005231,0,1,0,0,0,0,0,3,-3000,-91,14,0,3,-1800,49,21,0,0,0,0,0,0,125,119
81015206,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
81025218,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
81035232,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
81045209,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
81055222,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,24,0,0,0,0,0,0,125,119
81065199,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
81075209,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
81085224,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,20,0,0,0,0,0,0,125,119
81095199,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,125,119
81105211,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,49,21,0,0,0,0,0,0,126,119
