time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
1515665336,0,1,2052,1000,198,937,0,4,1037,2,16,0,4,17650,-21788,-3414,24358,90,-28416,-25088,256,2029,146,158
1516195327,0,1,2026,1000,198,937,0,4,1037,2,15,0,4,17650,-27,24,0,0,0,0,0,0,146,159
1516205328,0,1,2020,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,145,158
1516215322,0,1,2020,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1516225320,0,1,2021,1000,198,937,0,4,1037,2,16,0,4,17650,-28,23,0,0,0,0,0,0,145,158
1516235327,0,1,2022,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,146,158
1516245326,0,1,2024,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1516255326,0,1,2026,1000,198,937,0,4,1038,2,18,-1,4,17650,-27,24,0,0,0,0,0,0,145,158
1516265330,0,1,2028,1000,198,937,0,4,1038,2,15,-1,4,17650,-27,23,0,0,0,0,0,0,144,157
1516275407,0,1,2030,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,146,158
1516285330,0,1,2034,1000,198,937,0,4,1038,2,15,-1,4,17650,-28,24,0,0,0,0,0,0,146,158
1516295327,0,1,2037,1000,198,937,0,4,1037,2,15,0,4,17650,-27,23,0,0,0,0,0,0,145,158
1516305326,0,1,2040,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,146,157
1516315319,0,1,2043,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,157
1516325326,0,1,2046,1000,198,937,0,4,1037,2,15,0,4,17650,-27,24,0,0,0,0,0,0,145,158
1516335335,0,1,2051,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,145,157
1516345322,0,1,2054,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,25,0,0,0,0,0,0,145,157
1516355320,0,1,2058,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,144,157
1516365319,0,1,2063,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1516375323,0,1,2064,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,157
1516385324,0,1,2069,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,144,157
1516395313,0,1,2070,1000,198,937,0,4,1038,2,15,-1,4,17650,-28,24,0,0,0,0,0,0,145,159
1516405346,0,1,2071,1000,198,937,0,4,1038,2,15,-1,4,17650,-27,24,0,0,0,0,0,0,145,160
1516415344,0,1,2070,1000,198,937,0,4,1037,2,15,0,4,17650,-27,24,0,0,0,0,0,0,145,158
1516425310,0,1,2071,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1516435308,0,1,2073,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,23,0,0,0,0,0,0,145,158
1516445351,0,1,2072,1000,198,937,0,4,1038,2,14,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1516455314,0,1,2072,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,145,159
1516465346,0,1,2071,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,158
1516475309,0,1,2071,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,145,158
1516485336,0,1,2068,1000,198,937,0,4,1038,2,15,-1,4,17650,-28,24,0,0,0,0,0,0,146,158
1516495332,0,1,2069,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,158
1516505332,0,1,2067,1000,198,937,0,4,1038,2,15,-1,4,17650,-28,24,0,0,0,0,0,0,146,157
1516515334,0,1,2065,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1516525336,0,1,2064,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,158
1516535330,0,1,2062,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,157
1516545324,0,1,2062,1000,198,937,0,4,1037,2,17,0,4,17650,-28,26,0,0,0,0,0,0,145,158
1516555323,0,1,2060,1000,198,937,0,4,1037,2,15,0,4,17650,-27,24,0,0,0,0,0,0,145,158
1516565320,0,1,2060,1000,198,937,0,4,1037,2,16,0,4,17650,-28,23,0,0,0,0,0,0,145,158
1516575331,0,1,2056,1000,198,937,0,4,1037,2,16,0,4,17650,-28,24,0,0,0,0,0,0,145,158
1516585319,0,1,2055,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,145,158
1516595312,0,1,2054,1000,198,937,0,4,1038,2,15,-1,4,17650,-27,23,0,0,0,0,0,0,145,158
1516605315,0,1,2051,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,158
1516615321,0,1,2050,1000,198,937,0,4,1038,2,15,-1,4,17650,-27,24,0,0,0,0,0,0,145,158
1516625308,0,1,2048,1000,198,937,0,4,1037,2,15,0,4,17650,-28,24,0,0,0,0,0,0,145,158
1516635310,0,1,2043,1000,198,937,0,4,1037,2,16,0,4,17650,-28,24,0,0,0,0,0,0,145,158
1516645342,0,1,2040,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,158
1516655336,0,1,2035,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1516665340,0,1,2033,1000,198,937,0,4,1037,2,15,0,4,17650,-27,23,0,0,0,0,0,0,145,158
1516675336,0,1,2028,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,144,158
1516685335,0,1,2026,1000,198,937,0,4,1037,2,16,0,4,17650,-28,24,0,0,0,0,0,0,145,157
1516695329,0,1,2025,1000,198,937,0,4,1037,2,16,0,4,17650,-28,24,0,0,0,0,0,0,145,158
1516705320,0,1,2022,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,144,157
1516715325,0,1,2020,1000,198,937,0,4,1038,2,15,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1516725321,0,1,2018,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,158
1516735320,0,1,2017,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,145,159
1516745318,0,1,2010,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,23,0,0,0,0,0,0,145,157
1516755322,0,1,2007,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,145,157
1516765317,0,1,2002,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,145,158
1516775314,0,1,1996,1000,198,937,0,4,1038,2,17,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1516785312,0,1,1990,1000,198,937,0,4,1037,2,16,0,4,17650,-27,23,0,0,0,0,0,0,145,158
1516795312,0,1,1984,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,157
1516805310,0,1,1990,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,23,0,0,0,0,0,0,144,157
1516815317,0,1,1997,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1516825316,0,1,2006,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,145,157
1516835345,0,1,2015,1000,198,937,0,4,1038,2,15,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1516845337,0,1,2021,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,146,158
1516855336,0,1,2030,1000,198,937,0,4,1038,2,15,-1,4,17650,-27,24,0,0,0,0,0,0,145,158
1516865341,0,1,2037,1000,198,937,0,4,1037,2,16,0,4,17650,-28,24,0,0,0,0,0,0,145,158
1516875410,0,1,2042,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,157
1516885331,0,1,2050,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,144,157
1516895334,0,1,2058,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,146,158
1516905411,0,1,2067,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,158
1516915338,0,1,2070,1000,198,937,0,4,1038,2,14,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1516925339,0,1,2070,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1516935339,0,1,2069,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,145,158
1516945344,0,1,2068,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,145,158
1516955310,0,1,2066,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,146,158
1516965310,0,1,2065,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,145,157
1516975346,0,1,2063,1000,198,937,0,4,1037,2,16,0,4,17650,-28,24,0,0,0,0,0,0,145,158
1516985342,0,1,2061,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,146,158
1516995340,0,1,2060,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,23,0,0,0,0,0,0,145,157
1517005309,0,1,2058,1000,198,937,0,4,1037,2,15,0,4,17650,-27,24,0,0,0,0,0,0,145,158
1517015310,0,1,2056,1000,198,937,0,4,1037,2,16,0,4,17650,-28,24,0,0,0,0,0,0,146,158
1517025344,0,1,2053,1000,198,937,0,4,1037,2,16,0,4,17650,-27,23,0,0,0,0,0,0,143,156
1517035343,0,1,2053,1000,198,937,0,4,1037,2,16,0,4,17650,-28,23,0,0,0,0,0,0,146,158
1517045341,0,1,2053,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,24,0,0,0,0,0,0,145,158
1517055345,0,1,2052,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,23,0,0,0,0,0,0,145,158
1517065337,0,1,2050,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,146,158
1517075327,0,1,2050,1000,198,937,0,4,1037,2,16,0,4,17650,-28,24,0,0,0,0,0,0,145,158
1517085321,0,1,2049,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,145,158
1517095323,0,1,2049,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,26,0,0,0,0,0,0,145,158
1517105328,0,1,2049,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,158
1517115318,0,1,2049,1000,198,937,0,4,1037,2,16,0,4,17650,-27,24,0,0,0,0,0,0,145,158
1517125315,0,1,2052,1000,198,937,0,4,1038,2,16,-1,4,17650,-27,24,0,0,0,0,0,0,145,158
1517135313,0,1,2050,1000,198,937,0,4,1038,2,16,-1,4,17650,-28,25,0,0,0,0,0,0,146,158
