time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
31215142,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,66,18,0,0,0,0,0,0,86,88
31225153,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,66,18,0,0,0,0,0,0,87,88
31235124,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,66,18,0,0,0,0,0,0,86,88
31245136,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,66,17,0,0,0,0,0,0,87,87
31255148,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,66,18,0,0,0,0,0,0,86,87
31265161,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,66,18,0,0,0,0,0,0,87,88
31275139,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,17,0,0,0,0,0,0,87,88
31285153,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,86,87
31295126,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31305139,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,17,0,0,0,0,0,0,87,89
31315153,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31325130,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31335151,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31345127,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,17,0,0,0,0,0,0,86,87
31355142,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,85,86
31365158,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,17,0,0,0,0,0,0,87,88
31375133,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31385145,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31395159,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31405134,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31415146,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31425126,0,1,0,0,0,0,0,3,-3062,-51,10,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31435136,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31445143,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31455153,0,1,0,0,0,0,0,3,-3062,-51,10,0,3,-1801,65,16,0,0,0,0,0,0,91,89
31465127,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31475139,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31485152,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31495142,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,19,0,0,0,0,0,0,87,88
31505132,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,20,0,0,0,0,0,0,87,88
31515150,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31525160,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,20,0,0,0,0,0,0,87,88
31535132,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,85,92
31545145,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,19,0,0,0,0,0,0,87,88
31555158,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31565131,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,17,0,0,0,0,0,0,87,88
31575146,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31585127,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31595139,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,17,0,0,0,0,0,0,87,88
31605151,0,1,0,0,0,0,0,3,-3062,-51,12,0,3,-1801,65,18,0,0,0,0,0,0,87,88
31615127,0,1,0,0,0,0,0,3,-3062,-51,11,0,3,-1801,65,18,0,0,0,0,0,0,86,88
