time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
54085299,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54095301,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54105330,0,1,0,0,0,0,0,3,-3000,-94,15,0,3,-1800,52,11,0,0,0,0,0,0,90,90
54115316,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54125309,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,90
54135299,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,90
54145328,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54155317,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54165315,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54175307,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54185301,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54195298,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54205320,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54215309,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54225298,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54235299,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54245330,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54255324,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54265309,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54275298,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54285331,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54295298,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54305297,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,90
54315302,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54325330,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54335315,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54345310,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54355300,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,10,0,0,0,0,0,0,89,90
54365331,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,90
54375316,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54385315,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54395311,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54405301,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,88,89
54415330,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,90
54425317,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54435307,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54445298,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54455299,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54465330,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,90,89
54475322,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,90
54485309,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54495298,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54505331,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54515325,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54525323,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,90
54535328,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,10,0,0,0,0,0,0,89,90
54545317,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54555311,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54565312,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54575307,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54585331,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54595316,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54605314,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54615310,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54625300,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54635295,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,90
54645321,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,90
54655307,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,89
54665302,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54675299,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54685328,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54695319,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,11,0,0,0,0,0,0,89,90
54705308,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,10,0,0,0,0,0,0,89,90
54715336,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54725327,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54735318,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,9,0,0,0,0,0,0,89,89
54745313,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54755307,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,90
54765330,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54775321,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54785316,0,1,0,0,0,0,0,3,-3000,-94,17,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54795307,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54805330,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,90
54815394,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,11,0,0,0,0,0,0,89,90
54825320,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
54835317,0,1,0,0,0,0,0,3,-3000,-94,16,0,3,-1800,52,10,0,0,0,0,0,0,89,89
