time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
676779690,3,0,-4607,-6137,-14845,-20480,3,0,265476,768,3840,0,0,4520452,-6912,6143,0,0,0,0,0,0,32256,-31232
52985311,0,1,2027,1000,198,944,0,4,1037,3,14,0,4,17658,-27,23,0,0,0,0,0,0,126,134
52995308,0,1,2024,1000,198,944,0,4,1037,3,14,0,4,17658,-27,22,0,0,0,0,0,0,126,135
53005311,0,1,2025,1000,198,944,0,4,1038,3,15,-1,4,17658,-27,23,0,0,0,0,0,0,126,134
53015310,0,1,2030,1000,198,944,0,4,1038,3,15,-1,4,17658,-27,22,0,0,0,0,0,0,126,134
53025308,0,1,2035,1000,198,944,0,4,1037,3,15,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53035341,0,1,2039,1000,198,944,0,4,1037,3,15,0,4,17658,-27,22,0,0,0,0,0,0,126,134
53045336,0,1,2042,1000,198,944,0,4,1037,3,13,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53055336,0,1,2046,1000,198,944,0,4,1037,3,15,0,4,17658,-27,22,0,0,0,0,0,0,126,134
53065334,0,1,2047,1000,198,944,0,4,1037,3,15,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53075344,0,1,2045,1000,198,944,0,4,1037,3,15,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53085341,0,1,2042,1000,198,944,0,4,1037,3,15,0,4,17658,-27,22,0,0,0,0,0,0,126,134
53095331,0,1,2041,1000,198,944,0,4,1038,3,15,-1,4,17658,-27,22,0,0,0,0,0,0,126,134
53105328,0,1,2038,1000,198,944,0,4,1038,3,14,-1,4,17658,-27,23,0,0,0,0,0,0,126,134
53115326,0,1,2036,1000,198,944,0,4,1038,3,15,-1,4,17658,-27,22,0,0,0,0,0,0,126,134
53125330,0,1,2035,1000,198,944,0,4,1037,3,15,0,4,17658,-27,22,0,0,0,0,0,0,126,135
53135324,0,1,2036,1000,198,944,0,4,1037,3,15,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53145312,0,1,2036,1000,198,944,0,4,1037,3,15,0,4,17658,-27,22,0,0,0,0,0,0,126,134
53155345,0,1,2037,1000,198,944,0,4,1037,3,13,0,4,17658,-27,22,0,0,0,0,0,0,126,134
53165345,0,1,2037,1000,198,944,0,4,1037,3,15,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53175310,0,1,2038,1000,198,944,0,4,1037,3,15,0,4,17658,-27,22,0,0,0,0,0,0,126,134
53185341,0,1,2034,1000,198,944,0,4,1037,3,14,0,4,17658,-27,24,0,0,0,0,0,0,126,134
53195337,0,1,2031,1000,198,944,0,4,1037,3,14,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53205343,0,1,2029,1000,198,944,0,4,1037,3,14,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53215341,0,1,2025,1000,198,944,0,4,1038,3,15,-1,4,17658,-27,23,0,0,0,0,0,0,126,135
53225345,0,1,2021,1000,198,944,0,4,1038,3,14,-1,4,17658,-27,23,0,0,0,0,0,0,126,134
53235340,0,1,2017,1000,198,944,0,4,1037,3,15,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53245340,0,1,2016,1000,198,944,0,4,1037,3,15,0,4,17658,-27,21,0,0,0,0,0,0,126,134
53255340,0,1,2015,1000,198,944,0,4,1038,3,16,-1,4,17658,-27,23,0,0,0,0,0,0,126,134
53265344,0,1,2013,1000,198,944,0,4,1038,3,15,-1,4,17658,-27,23,0,0,0,0,0,0,126,134
53275308,0,1,2012,1000,198,944,0,4,1037,3,15,0,4,17658,-27,22,0,0,0,0,0,0,126,134
53285308,0,1,2013,1000,198,944,0,4,1037,3,15,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53295308,0,1,2012,1000,198,944,0,4,1037,3,15,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53305310,0,1,2013,1000,198,944,0,4,1037,3,13,0,4,17658,-27,22,0,0,0,0,0,0,126,135
53315311,0,1,2015,1000,198,944,0,4,1037,3,16,0,4,17658,-27,22,0,0,0,0,0,0,126,135
53325396,0,1,2017,1000,198,944,0,4,1037,3,15,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53335317,0,1,2019,1000,198,944,0,4,1037,3,15,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53345307,0,1,2021,1000,198,944,0,4,1037,3,15,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53355344,0,1,2023,1000,198,944,0,4,1037,3,14,0,4,17658,-27,22,0,0,0,0,0,0,126,134
53365308,0,1,2026,1000,198,944,0,4,1038,3,15,-1,4,17658,-27,23,0,0,0,0,0,0,126,134
53375315,0,1,2027,1000,198,944,0,4,1037,3,15,0,4,17658,-27,23,0,0,0,0,0,0,126,134
53385345,0,1,2030,1000,198,944,0,4,1037,3,15,0,4,17658,-27,24,0,0,0,0,0,0,126,134
