time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
260225157,-22016,15,0,121,115,-5631,-6137,3,65470557,0,1540,4,0,3,0,-17660,68,-6912,511,512,256,256,-11350,-29924
260785128,0,1,2025,1000,93,999,0,4,1030,3,0,0,4,17595,-28,1,1,1,0,0,0,0,121,127
260795129,0,1,2028,1000,93,999,0,4,1030,4,0,0,4,17595,-27,1,2,1,1,0,0,0,134,139
260805136,0,1,2031,1000,93,999,0,4,1030,4,0,0,4,17595,-28,1,1,1,0,0,0,0,115,119
260815143,0,1,2036,1000,93,999,0,4,1030,3,0,0,4,17595,-27,1,2,1,1,0,0,0,123,129
260825151,0,1,2039,1000,93,999,0,4,1030,3,0,0,4,17595,-27,1,2,1,1,0,0,0,133,137
260835123,0,1,2046,1000,93,999,0,4,1030,3,0,0,4,17595,-28,1,1,1,0,0,0,0,124,127
260845134,0,1,2049,1000,93,999,0,4,1030,3,0,0,4,17595,-28,1,1,1,0,0,0,0,116,121
260855146,0,1,2053,1000,93,999,0,4,1030,4,0,0,4,17595,-27,1,2,1,1,0,0,0,131,135
260865156,0,1,2060,1000,93,999,0,4,1030,4,0,0,4,17595,-28,1,1,1,0,0,0,0,132,137
260875123,0,1,2061,1000,93,999,0,4,1030,3,0,0,4,17595,-27,1,2,1,1,0,0,0,114,119
260885137,0,1,2067,1000,93,999,0,4,1030,3,0,0,4,17595,-27,1,2,1,1,0,0,0,122,126
260895137,0,1,2071,1000,93,999,0,4,1030,3,0,0,4,17595,-28,1,1,1,0,0,0,0,120,124
260905143,0,1,2074,1000,93,999,0,4,1030,4,0,0,4,17595,-27,1,2,1,1,0,0,0,119,123
260915147,0,1,2079,1000,93,999,0,4,1030,4,0,0,4,17595,-27,1,2,1,1,0,0,0,115,118
260925157,0,1,2076,1000,93,999,0,4,1030,4,0,0,4,17595,-28,1,1,1,0,0,0,0,121,126
260935127,0,1,2073,1000,93,999,0,4,1030,4,0,0,4,17595,-27,1,2,1,1,0,0,0,132,137
260945128,0,1,2069,1000,93,999,0,4,1030,4,0,0,4,17595,-27,1,2,1,1,0,0,0,115,119
260955137,0,1,2066,1000,93,999,0,4,1030,4,0,0,4,17595,-28,1,1,1,0,0,0,0,131,133
260965141,0,1,2064,1000,93,999,0,4,1030,3,0,0,4,17595,-27,1,2,1,1,0,0,0,133,138
260975148,0,1,2061,1000,93,999,0,4,1030,4,0,0,4,17595,-28,1,1,1,0,0,0,0,133,138
