time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
3650511018,34,0,-4863,-6137,12291,-6400,3,0,268548,512,3072,-256,-1,4509188,-7168,5119,512,256,256,0,256,0,29440,30464
584695176,0,1,2031,1000,48,999,0,4,1049,2,13,-1,4,17614,-28,14,2,1,1,0,1,0,110,122
584705159,0,1,2033,1000,48,999,0,4,1049,2,16,-1,4,17614,-28,20,2,1,1,0,1,0,117,123
584715141,0,1,2033,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,19,2,1,1,0,1,0,115,120
584725160,0,1,2035,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,20,2,1,1,0,1,0,114,119
584735155,0,1,2031,1000,48,999,0,4,1049,2,14,-1,4,17614,-28,19,2,1,1,0,1,0,116,126
584745138,0,1,2030,1000,48,999,0,4,1049,2,13,-1,4,17614,-28,19,2,1,1,0,1,0,115,120
584755165,0,1,2028,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,19,2,1,1,0,1,0,117,119
584765155,0,1,2027,1000,48,999,0,4,1049,2,14,-1,4,17614,-28,23,2,1,1,0,1,0,135,141
584775144,0,1,2026,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,19,2,1,1,0,1,0,118,123
584785169,0,1,2026,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,19,2,1,1,0,1,0,115,119
584795154,0,1,2031,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,19,2,1,1,0,1,0,116,120
584805142,0,1,2036,1000,48,999,0,4,1049,2,13,-1,4,17614,-28,20,2,1,1,0,1,0,117,122
584815159,0,1,2040,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,20,2,1,1,0,1,0,123,129
584825144,0,1,2043,1000,48,999,0,4,1049,2,13,-1,4,17614,-28,21,2,1,1,0,1,0,125,128
584835162,0,1,2046,1000,48,999,0,4,1049,2,15,-1,4,17614,-28,23,2,1,1,0,1,0,131,137
584845143,0,1,2046,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,19,2,1,1,0,1,0,114,119
584855165,0,1,2043,1000,48,999,0,4,1049,2,13,-1,4,17614,-28,20,2,1,1,0,1,0,119,124
584865147,0,1,2040,1000,48,999,0,4,1049,2,13,-1,4,17614,-28,16,2,1,1,0,1,0,125,134
584875140,0,1,2038,1000,48,999,0,4,1049,2,14,-1,4,17614,-28,22,2,1,1,0,1,0,131,138
584885158,0,1,2034,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,21,2,1,1,0,1,0,115,120
584895139,0,1,2033,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,19,2,1,1,0,1,0,119,123
584905157,0,1,2033,1000,48,999,0,4,1049,2,14,-1,4,17614,-28,16,2,1,1,0,1,0,122,133
584915149,0,1,2035,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,19,2,1,1,0,1,0,115,120
584925172,0,1,2037,1000,48,999,0,4,1049,2,16,-1,4,17614,-28,21,2,1,1,0,1,0,120,122
584935158,0,1,2040,1000,48,999,0,4,1049,2,14,-1,4,17614,-28,4,2,1,1,0,1,0,120,126
584945142,0,1,2041,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,18,2,1,1,0,1,0,116,120
584955165,0,1,2041,1000,48,999,0,4,1049,2,15,-1,4,17614,-28,21,2,1,1,0,1,0,116,123
584965150,0,1,2040,1000,48,999,0,4,1049,2,15,-1,4,17614,-28,20,2,1,1,0,1,0,115,138
584975172,0,1,2035,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,20,2,1,1,0,1,0,119,118
584985160,0,1,2032,1000,48,999,0,4,1049,2,15,-1,4,17614,-28,20,2,1,1,0,1,0,119,125
584995139,0,1,2027,1000,48,999,0,4,1049,2,18,-1,4,17614,-28,20,2,1,1,0,1,0,126,135
585005243,0,1,2027,1000,48,999,0,4,1049,2,13,-1,4,17614,-28,20,2,1,1,0,1,0,123,128
585015150,0,1,2023,1000,48,999,0,4,1049,2,13,-1,4,17614,-28,20,2,1,1,0,1,0,116,121
585025164,0,1,2024,1000,48,999,0,4,1049,2,13,-1,4,17614,-28,20,2,1,1,0,1,0,122,127
585035150,0,1,2025,1000,48,999,0,4,1049,2,19,-1,4,17614,-28,25,2,1,1,0,1,0,121,119
585045170,0,1,2026,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,21,2,1,1,0,1,0,114,120
585055150,0,1,2029,1000,48,999,0,4,1049,2,13,-1,4,17614,-28,20,2,1,1,0,1,0,121,126
585065169,0,1,2027,1000,48,999,0,4,1049,2,13,-1,4,17614,-28,21,2,1,1,0,1,0,123,128
585075155,0,1,2030,1000,48,999,0,4,1049,2,12,-1,4,17614,-28,19,2,1,1,0,1,0,115,120
585085144,0,1,2037,1000,48,999,0,4,1049,2,13,-1,4,17614,-28,19,2,1,1,0,1,0,115,120
