time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
273095142,0,1,2048,1000,199,968,0,4,1021,4,1,0,4,17457,-28,1,3,5,-2,-21846,12346,4175,105,111
273635156,0,1,2019,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,102,108
273645120,0,1,2018,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,102,108
273655124,0,1,2018,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,102,109
273665124,0,1,2018,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,105,111
273675138,0,1,2018,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,102,108
273685147,0,1,2019,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,102,109
273695153,0,1,2018,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,102,109
273705124,0,1,2022,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,102,108
273715126,0,1,2028,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,117,124
273725141,0,1,2029,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,102,108
273735152,0,1,2035,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,102,109
273745157,0,1,2043,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,102,108
273755126,0,1,2051,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,102,108
273765137,0,1,2048,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,102,109
273775152,0,1,2052,1000,199,968,0,4,1021,4,1,0,4,17458,-28,1,3,5,-2,0,-2,0,103,109
