time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCell, pCurrent, pPID, sState, sEncoder, sLoadCell, sCurrent, sPID, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD
50414199,0,1,1838,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50424192,0,1,1839,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50434187,0,1,1840,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50444192,0,1,1841,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50454188,0,1,1843,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50464181,0,1,1839,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50474182,0,1,1840,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50484188,0,1,1842,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50494190,0,1,1843,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50504182,0,1,1843,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50514193,0,1,1844,0,0,0,0,4,2470,1,0,1,4,8359,-64,0,0,278,-100,-13,-86,0
50524190,0,1,1847,0,0,0,0,4,2470,1,0,1,4,8359,-64,0,0,278,-100,-13,-86,0
50534198,0,1,1847,0,0,0,0,4,2470,1,1,1,4,8359,-64,0,0,278,-100,-13,-86,0
50544200,0,1,1847,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50554200,0,1,1847,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50564187,0,1,1842,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50574198,0,1,1841,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50584180,0,1,1840,0,0,0,0,4,2471,1,2,0,4,8359,-64,0,0,278,-100,-13,-86,0
50594191,0,1,1834,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50604185,0,1,1832,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50614199,0,1,1829,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50624188,0,1,1829,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50634198,0,1,1832,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50644184,0,1,1832,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
50654194,0,1,1835,0,0,0,0,4,2471,1,0,0,4,8359,-64,0,0,278,-100,-13,-86,0
