time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCell, pCurrent, pPID, sState, sEncoder, sLoadCell, sCurrent, sPID, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD
2067703978,1,0,1,0,0,0,0,0,3331,-7424,255,0,0,19203,6144,0,0,0,0,0,0,0
24864180,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
24874184,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
24884181,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
24894179,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
24904173,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
24914181,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
24924180,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
24934185,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
24944186,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
24954166,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
24964168,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
24974166,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
24984184,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
24994166,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25004179,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25014175,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25024176,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25034173,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25044193,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25054176,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25064185,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25074182,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25084179,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25094179,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25104181,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25114178,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25124176,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25134175,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25144180,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25154181,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25164176,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25174176,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25184176,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25194173,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25204172,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25214177,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25224176,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25234171,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25244185,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25254182,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25264180,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25274178,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25284176,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25294180,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25304185,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25314183,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25324178,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25334173,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25344174,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25354174,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25364179,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25374176,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25384184,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25394185,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25404185,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25414183,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25424181,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25434261,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25444167,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
25454167,0,1,0,0,0,0,0,3,13,-29,0,0,3,75,24,0,0,0,0,0,0,0
