time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCell, pCurrent, pPID, sState, sEncoder, sLoadCell, sCurrent, sPID, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD
165484180,0,1,2086,841,26,815,0,4,2537,1,1,0,4,16404,-27,15,2,37,-35,0,-35,0
165494195,0,1,2097,841,26,815,0,4,2537,1,1,0,4,16404,-27,18,2,37,-35,0,-35,0
165504190,0,1,2093,841,26,815,0,4,2537,1,1,0,4,16404,-27,22,2,37,-35,0,-35,0
165514197,0,1,2084,841,26,815,0,4,2537,1,1,0,4,16404,-27,16,2,37,-35,0,-35,0
165524194,0,1,2077,841,26,815,0,4,2537,1,1,0,4,16404,-27,19,2,37,-35,0,-35,0
165534192,0,1,1811,841,26,815,0,4,2537,1,1,0,4,16404,-27,20,2,37,-35,0,-35,0
165544192,0,1,1805,841,26,815,0,4,2537,1,1,0,4,16404,-27,17,2,37,-35,0,-35,0
165554188,0,1,1800,841,26,815,0,4,2537,1,1,0,4,16404,-27,21,2,37,-35,0,-35,0
165564266,0,1,1794,841,26,815,0,4,2537,1,1,0,4,16404,-27,22,2,37,-35,0,-35,0
165574180,0,1,1787,841,26,815,0,4,2537,1,1,0,4,16404,-27,18,2,37,-35,0,-35,0
165584196,0,1,1790,841,26,815,0,4,2537,1,1,0,4,16404,-27,22,2,37,-35,0,-35,0
165594178,0,1,1792,841,26,815,0,4,2537,1,1,0,4,16404,-27,17,2,37,-35,0,-35,0
165604177,0,1,1796,841,26,815,0,4,2537,1,1,0,4,16404,-27,21,2,37,-35,0,-35,0
165614194,0,1,1798,841,26,815,0,4,2537,1,3,0,4,16404,-27,17,2,37,-35,0,-35,0
165624191,0,1,1801,841,26,815,0,4,2537,1,1,0,4,16404,-26,18,2,37,-35,0,-35,0
165634188,0,1,1808,841,26,815,0,4,2537,1,1,0,4,16404,-27,22,2,37,-35,0,-35,0
165644179,0,1,1811,841,26,815,0,4,2537,1,1,0,4,16404,-27,15,2,37,-35,0,-35,0
165654179,0,1,1817,841,26,815,0,4,2537,1,3,0,4,16404,-27,19,2,37,-35,0,-35,0
165664180,0,1,1821,841,26,815,0,4,2537,1,1,0,4,16404,-27,21,2,37,-35,0,-35,0
165674178,0,1,1827,841,26,815,0,4,2537,1,1,0,4,16404,-27,17,2,37,-35,0,-35,0
165684178,0,1,1832,841,26,815,0,4,2538,1,1,-1,4,16404,-27,21,2,37,-35,0,-35,0
165694180,0,1,1836,841,26,815,0,4,2538,1,3,-1,4,16404,-26,13,2,37,-35,0,-35,0
165704180,0,1,1839,841,26,815,0,4,2538,1,3,-1,4,16404,-27,19,2,37,-35,0,-35,0
165714196,0,1,1841,841,26,815,0,4,2538,1,4,-1,4,16404,-27,20,2,37,-35,0,-35,0
