Ratio Percentage,Primary Enc Counts From Zero,Secondary Enc Counts from zero,Clamping Force (lbf)
1000,4004,17650,580
999,4111,17582,573
998,4216,17514,567
997,4319,17448,561
996,4421,17382,555
995,4521,17318,549
994,4619,17254,544
993,4716,17191,539
992,4812,17128,533
991,4906,17067,528
990,4999,17006,524
989,5091,16946,519
988,5182,16886,514
987,5271,16828,510
986,5359,16769,506
985,5446,16712,502
984,5532,16655,498
983,5617,16599,494
982,5701,16543,490
981,5784,16487,486
980,5866,16433,483
979,5947,16379,479
978,6027,16325,476
977,6106,16272,473
976,6185,16219,469
975,6262,16167,466
974,6339,16115,463
973,6415,16064,460
972,6490,16013,457
971,6564,15963,454
970,6637,15913,451
969,6710,15863,449
968,6782,15814,446
967,6854,15766,443
966,6924,15717,441
965,6994,15669,438
964,7063,15622,436
963,7132,15575,433
962,7200,15528,431
961,7267,15481,429
960,7334,15435,427
959,7400,15389,424
958,7466,15344,422
957,7531,15299,420
956,7595,15254,418
955,7659,15210,416
954,7723,15165,414
953,7785,15122,412
952,7848,15078,410
951,7909,15035,408
950,7971,14992,406
949,8031,14949,404
948,8092,14907,402
947,8151,14865,401
946,8211,14823,399
945,8270,14781,397
944,8328,14740,395
943,8386,14699,394
942,8444,14658,392
941,8501,14618,390
940,8557,14577,389
939,8614,14537,387
938,8669,14497,386
937,8725,14458,384
936,8780,14419,383
935,8834,14379,381
934,8889,14341,380
933,8943,14302,378
932,8996,14264,377
931,9049,14225,375
930,9102,14187,374
929,9154,14150,373
928,9206,14112,371
927,9258,14075,370
926,9309,14037,369
925,9360,14001,367
924,9411,13964,366
923,9461,13927,365
922,9511,13891,364
921,9561,13855,362
920,9610,13819,361
919,9659,13783,360
918,9708,13747,359
917,9756,13712,358
916,9805,13677,357
915,9852,13642,355
914,9900,13607,354
913,9947,13572,353
912,9994,13537,352
911,10041,13503,351
910,10087,13469,350
909,10133,13435,349
908,10179,13401,348
907,10225,13367,347
906,10270,13334,346
905,10315,13300,345
904,10360,13267,344
903,10404,13234,343
902,10449,13201,342
901,10493,13168,341
900,10537,13136,340
899,10580,13103,339
898,10623,13071,338
897,10666,13039,337
896,10709,13006,336
895,10752,12975,336
894,10794,12943,335
893,10836,12911,334
892,10878,12880,333
891,10920,12848,332
890,10961,12817,331
889,11003,12786,330
888,11044,12755,330
887,11084,12724,329
886,11125,12694,328
885,11165,12663,327
884,11206,12633,326
883,11245,12602,326
882,11285,12572,325
881,11325,12542,324
880,11364,12512,323
879,11403,12482,322
878,11442,12453,322
877,11481,12423,321
876,11520,12394,320
875,11558,12364,319
874,11596,12335,319
873,11634,12306,318
872,11672,12277,317
871,11710,12248,317
870,11747,12219,316
869,11785,12191,315
868,11822,12162,315
867,11859,12134,314
866,11895,12106,313
865,11932,12077,313
864,11968,12049,312
863,12005,12021,311
862,12041,11993,311
861,12077,11966,310
860,12112,11938,309
859,12148,11910,309
858,12184,11883,308
857,12219,11855,307
856,12254,11828,307
855,12289,11801,306
854,12324,11774,306
853,12358,11747,305
852,12393,11720,304
851,12427,11693,304
850,12461,11666,303
849,12495,11640,303
848,12529,11613,302
847,12563,11587,302
846,12597,11561,301
845,12630,11534,300
844,12663,11508,300
843,12697,11482,299
842,12730,11456,299
841,12763,11430,298
840,12795,11405,298
839,12828,11379,297
838,12860,11353,297
837,12893,11328,296
836,12925,11302,296
835,12957,11277,295
834,12989,11252,294
833,13021,11226,294
832,13053,11201,293
831,13084,11176,293
830,13116,11151,292
829,13147,11127,292
828,13178,11102,291
827,13209,11077,291
826,13240,11052,291
825,13271,11028,290
824,13302,11003,290
823,13332,10979,289
822,13363,10955,289
821,13393,10931,288
820,13423,10906,288
819,13453,10882,287
818,13483,10858,287
817,13513,10834,286
816,13543,10811,286
815,13573,10787,285
814,13602,10763,285
813,13632,10739,285
812,13661,10716,284
811,13690,10692,284
810,13719,10669,283
809,13748,10646,283
808,13777,10622,282
807,13806,10599,282
806,13834,10576,281
805,13863,10553,281
804,13891,10530,281
803,13920,10507,280
802,13948,10484,280
801,13976,10461,279
800,14004,10439,279
799,14032,10416,279
798,14060,10393,278
797,14088,10371,278
796,14115,10348,277
795,14143,10326,277
794,14170,10304,277
793,14198,10281,276
792,14225,10259,276
791,14252,10237,275
790,14279,10215,275
789,14306,10193,275
788,14333,10171,274
787,14360,10149,274
786,14386,10127,274
785,14413,10105,273
784,14440,10084,273
783,14466,10062,273
782,14492,10041,272
781,14518,10019,272
780,14545,9998,271
779,14571,9976,271
778,14597,9955,271
777,14623,9933,270
776,14648,9912,270
775,14674,9891,270
774,14700,9870,269
773,14725,9849,269
772,14751,9828,269
771,14776,9807,268
770,14801,9786,268
769,14826,9765,268
768,14852,9744,267
767,14877,9724,267
766,14902,9703,267
765,14926,9682,266
764,14951,9662,266
763,14976,9641,266
762,15001,9621,265
761,15025,9600,265
760,15050,9580,265
759,15074,9560,264
758,15098,9539,264
757,15122,9519,264
756,15147,9499,263
755,15171,9479,263
754,15195,9459,263
753,15219,9439,263
752,15243,9419,262
751,15266,9399,262
750,15290,9379,262
749,15314,9360,261
748,15337,9340,261
747,15361,9320,261
746,15384,9301,260
745,15407,9281,260
744,15431,9261,260
743,15454,9242,260
742,15477,9222,259
741,15500,9203,259
740,15523,9184,259
739,15546,9164,258
738,15569,9145,258
737,15592,9126,258
736,15614,9107,258
735,15637,9088,257
734,15660,9069,257
733,15682,9050,257
732,15705,9031,256
731,15727,9012,256
730,15749,8993,256
729,15772,8974,256
728,15794,8955,255
727,15816,8936,255
726,15838,8918,255
725,15860,8899,255
724,15882,8880,254
723,15904,8862,254
722,15926,8843,254
721,15947,8825,254
720,15969,8806,253
719,15991,8788,253
718,16012,8770,253
717,16034,8751,253
716,16055,8733,252
715,16076,8715,252
714,16098,8697,252
713,16119,8678,252
712,16140,8660,251
711,16161,8642,251
710,16182,8624,251
709,16203,8606,251
708,16224,8588,250
707,16245,8570,250
706,16266,8553,250
705,16287,8535,250
704,16307,8517,249
703,16328,8499,249
702,16349,8482,249
701,16369,8464,249
700,16390,8446,248
699,16410,8429,248
698,16431,8411,248
697,16451,8394,248
696,16471,8376,247
695,16491,8359,247
694,16512,8341,247
693,16532,8324,247
692,16552,8307,247
691,16572,8289,246
690,16592,8272,246
689,16612,8255,246
688,16631,8238,246
687,16651,8221,245
686,16671,8204,245
685,16691,8187,245
684,16710,8169,245
683,16730,8153,245
682,16749,8136,244
681,16769,8119,244
680,16788,8102,244
679,16808,8085,244
678,16827,8068,243
677,16846,8051,243
676,16865,8035,243
675,16885,8018,243
674,16904,8001,243
673,16923,7985,242
672,16942,7968,242
671,16961,7952,242
670,16980,7935,242
669,16999,7919,242
668,17017,7902,241
667,17036,7886,241
666,17055,7869,241
665,17074,7853,241
664,17092,7837,241
663,17111,7820,240
662,17129,7804,240
661,17148,7788,240
660,17166,7772,240
659,17185,7756,240
658,17203,7739,239
657,17221,7723,239
656,17240,7707,239
655,17258,7691,239
654,17276,7675,239
653,17294,7659,238
652,17312,7643,238
651,17330,7628,238
650,17348,7612,238
649,17366,7596,238
648,17384,7580,238
647,17402,7564,237
646,17420,7549,237
645,17438,7533,237
644,17455,7517,237
643,17473,7502,237
642,17491,7486,236
641,17508,7470,236
640,17526,7455,236
639,17543,7439,236
638,17561,7424,236
637,17578,7408,236
636,17596,7393,235
635,17613,7378,235
634,17630,7362,235
633,17648,7347,235
632,17665,7332,235
631,17682,7316,234
630,17699,7301,234
629,17716,7286,234
628,17733,7271,234
627,17750,7256,234
626,17767,7240,234
625,17784,7225,233
624,17801,7210,233
623,17818,7195,233
622,17835,7180,233
621,17852,7165,233
620,17869,7150,233
619,17885,7135,232
618,17902,7120,232
617,17919,7106,232
616,17935,7091,232
615,17952,7076,232
614,17968,7061,232
613,17985,7046,231
612,18001,7032,231
611,18018,7017,231
610,18034,7002,231
609,18050,6988,231
608,18067,6973,231
607,18083,6958,230
606,18099,6944,230
605,18115,6929,230
604,18131,6915,230
603,18148,6900,230
602,18164,6886,230
601,18180,6871,230
600,18196,6857,229
599,18212,6843,229
598,18228,6828,229
597,18244,6814,229
596,18259,6800,229
595,18275,6785,229
