time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
49795200,0,-86,-4694,677,3,0,0,0,1,0,0,0,0,-776189,-22529,3583,0,768,-1739,-1,186,21,0,0
50515208,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,21,0,0,0,0,0,0,0,0
50525188,0,1,0,0,0,0,0,3,-3032,-89,15,0,3,-1739,186,21,0,0,0,0,0,0,0,0
50535196,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,21,0,0,0,0,0,0,0,0
50545200,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,21,0,0,0,0,0,0,0,0
50555185,0,1,0,0,0,0,0,3,-3032,-89,12,0,3,-1739,186,21,0,0,0,0,0,0,0,0
50565191,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,21,0,0,0,0,0,0,0,0
50575196,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,20,0,0,0,0,0,0,0,0
50585207,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,21,0,0,0,0,0,0,0,0
50595191,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,21,0,0,0,0,0,0,0,0
50605185,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,21,0,0,0,0,0,0,0,0
50615190,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,20,0,0,0,0,0,0,0,0
50625199,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,21,0,0,0,0,0,0,0,0
50635204,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,21,0,0,0,0,0,0,0,0
50645188,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,20,0,0,0,0,0,0,0,0
50655198,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,23,0,0,0,0,0,0,0,0
50665184,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,21,0,0,0,0,0,0,0,0
50675188,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,20,0,0,0,0,0,0,0,0
50685198,0,1,0,0,0,0,0,3,-3032,-89,13,0,3,-1739,186,20,0,0,0,0,0,0,0,0
