time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
31775265,0,1,0,0,0,0,0,3,-3000,-91,10,0,3,-1800,196,20,0,0,0,0,0,0,0,0
31785271,0,1,0,0,0,0,0,3,-3000,-91,12,0,3,-1800,196,20,0,0,0,0,0,0,0,0
31795268,0,1,0,0,0,0,0,3,-3000,-91,12,0,3,-1800,196,20,0,0,0,0,0,0,0,0
31805272,0,1,0,0,0,0,0,3,-3000,-91,12,0,3,-1800,196,20,0,0,0,0,0,0,0,0
31815267,0,1,0,0,0,0,0,3,-3000,-91,12,0,3,-1800,196,20,0,0,0,0,0,0,0,0
31825264,0,1,0,0,0,0,0,3,-3000,-91,12,0,3,-1800,196,20,0,0,0,0,0,0,0,0
31835269,0,1,0,0,0,0,0,3,-3000,-91,12,0,3,-1800,196,19,0,0,0,0,0,0,0,0
31845277,0,1,0,0,0,0,0,3,-3000,-91,14,0,3,-1800,196,20,0,0,0,0,0,0,0,0
31855269,0,1,0,0,0,0,0,3,-3000,-91,12,0,3,-1800,196,20,0,0,0,0,0,0,0,0
31865264,0,1,0,0,0,0,0,3,-3000,-91,13,0,3,-1800,196,19,0,0,0,0,0,0,0,0
31875259,0,1,0,0,0,0,0,3,-3000,-91,11,0,3,-1800,196,20,0,0,0,0,0,0,0,0
31885264,0,1,0,0,0,0,0,3,-3000,-91,12,0,3,-1800,196,20,0,0,0,0,0,0,0,0
31895257,0,1,0,0,0,0,0,3,-3000,-91,11,0,3,-1800,196,20,0,0,0,0,0,0,0,0
31905257,0,1,0,0,0,0,0,3,-3000,-91,11,0,3,-1800,196,20,0,0,0,0,0,0,0,0
31915277,0,1,0,0,0,0,0,3,-3000,-91,12,0,3,-1800,196,20,0,0,0,0,0,0,0,0
