time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
48125280,0,1,0,0,0,0,0,3,-3030,-46,13,0,3,-1788,182,21,0,0,0,0,0,0,0,0
48135337,0,1,0,0,0,0,0,3,-3030,-47,13,0,3,-1788,183,22,0,0,0,0,0,0,0,0
48145261,0,1,0,0,0,0,0,3,-3030,-47,13,0,3,-1788,183,21,0,0,0,0,0,0,0,0
48155268,0,1,0,0,0,0,0,3,-3030,-44,13,0,3,-1788,183,21,0,0,0,0,0,0,0,0
48165276,0,1,0,0,0,0,0,3,-3030,-43,13,0,3,-1788,183,21,0,0,0,0,0,0,0,0
48175281,0,1,0,0,0,0,0,3,-3030,-43,13,0,3,-1788,183,20,0,0,0,0,0,0,0,0
48185262,0,1,0,0,0,0,0,3,-3030,-44,12,0,3,-1788,183,21,0,0,0,0,0,0,0,0
48195267,0,1,0,0,0,0,0,3,-3030,-44,13,0,3,-1788,183,21,0,0,0,0,0,0,0,0
48205258,0,1,0,0,0,0,0,3,-3030,-44,13,0,3,-1788,183,21,0,0,0,0,0,0,0,0
48215269,0,1,421,0,0,0,0,3,-3030,-45,13,0,3,-1788,183,21,0,0,0,0,0,0,421,0
48225261,0,1,550,0,0,0,0,3,-3030,-47,13,0,3,-1788,183,21,0,0,0,0,0,0,421,550
48235273,0,1,587,0,0,0,0,3,-3030,-45,13,0,3,-1788,183,21,0,0,0,0,0,0,587,550
48245261,0,1,616,0,0,0,0,3,-3030,-45,13,0,3,-1788,183,21,0,0,0,0,0,0,587,616
48255271,0,1,639,0,0,0,0,3,-3030,-44,13,0,3,-1788,183,20,0,0,0,0,0,0,639,616
48265285,0,1,666,0,0,0,0,3,-3030,-44,13,0,3,-1788,183,21,0,0,0,0,0,0,639,666
48275273,0,1,681,0,0,0,0,3,-3030,-44,13,0,3,-1788,183,21,0,0,0,0,0,0,681,666
48285282,0,1,696,0,0,0,0,3,-3030,-45,13,0,3,-1788,183,24,0,0,0,0,0,0,681,696
48295321,0,1,705,0,0,0,0,3,-3030,-46,13,0,3,-1788,183,21,0,0,0,0,0,0,705,696
48305265,0,1,713,0,0,0,0,3,-3030,-46,13,0,3,-1788,183,21,0,0,0,0,0,0,705,713
48315263,0,1,718,0,0,0,0,3,-3030,-46,13,0,3,-1788,182,21,0,0,0,0,0,0,718,713
48325264,0,1,722,0,0,0,0,3,-3030,-44,13,0,3,-1788,182,21,0,0,0,0,0,0,718,722
48335274,0,1,724,0,0,0,0,3,-3030,-44,13,0,3,-1788,182,21,0,0,0,0,0,0,724,722
48345261,0,1,724,0,0,0,0,3,-3030,-44,13,0,3,-1788,182,22,0,0,0,0,0,0,724,722
48355270,0,1,726,0,0,0,0,3,-3030,-44,13,0,3,-1788,182,21,0,0,0,0,0,0,724,726
48365285,0,1,726,0,0,0,0,3,-3030,-44,12,0,3,-1788,182,21,0,0,0,0,0,0,726,726
48375267,0,1,726,0,0,0,0,3,-3030,-45,13,0,3,-1788,182,21,0,0,0,0,0,0,726,725
48385281,0,1,725,0,0,0,0,3,-3030,-46,13,0,3,-1788,182,21,0,0,0,0,0,0,724,725
48395264,0,1,724,0,0,0,0,3,-3030,-46,13,0,3,-1788,182,21,0,0,0,0,0,0,724,721
48405277,0,1,721,0,0,0,0,3,-3030,-46,12,0,3,-1788,182,21,0,0,0,0,0,0,719,721
48415263,0,1,728,0,0,0,0,3,-3030,-45,12,0,3,-1788,182,21,0,0,0,0,0,0,719,728
48425266,0,1,754,0,0,0,0,3,-3030,-45,13,0,3,-1788,182,21,0,0,0,0,0,0,739,754
48435273,0,1,766,0,0,0,0,3,-3030,-45,15,0,3,-1788,182,21,0,0,0,0,0,0,766,754
48445282,0,1,798,0,0,0,0,3,-3030,-45,13,0,3,-1788,182,22,0,0,0,0,0,0,798,783
48455295,0,1,817,0,0,0,0,3,-3030,-46,13,0,3,-1788,182,21,0,0,0,0,0,0,798,817
48465282,0,1,832,0,0,0,0,3,-3030,-46,13,0,3,-1788,182,20,0,0,0,0,0,0,832,817
48475285,0,1,870,0,0,0,0,3,-3030,-45,13,0,3,-1788,182,20,0,0,0,0,0,0,870,853
48485266,0,1,894,0,0,0,0,3,-3030,-44,13,0,3,-1788,182,21,0,0,0,0,0,0,870,894
48495277,0,1,939,0,0,0,0,3,-3030,-44,13,0,3,-1788,182,21,0,0,0,0,0,0,913,939
48505260,0,1,961,0,0,0,0,3,-3030,-45,13,0,3,-1788,182,21,0,0,0,0,0,0,961,939
48515285,0,1,993,0,0,0,0,3,-3030,-45,12,0,3,-1788,182,21,0,0,0,0,0,0,961,993
48525295,0,1,1048,0,0,0,0,4,-2983,-46,78,100,4,-1769,182,31,50,582,78,76,1,0,1023,1048
48535278,0,1,1088,0,0,0,0,4,-2862,-45,31,100,4,-1718,182,29,50,581,78,76,2,0,1068,1088
48545278,0,1,1134,0,0,0,0,4,-2718,-44,20,100,4,-1654,182,21,50,579,79,76,3,0,1109,1134
48555280,0,1,1180,0,0,0,0,4,-2566,-31,17,100,4,-1586,182,21,50,577,80,76,3,0,1153,1180
48565299,0,1,1232,0,0,0,0,4,-2410,-31,15,100,4,-1515,182,24,50,574,81,76,4,0,1204,1232
48575302,0,1,1290,0,0,0,0,4,-2253,-11,14,97,4,-1443,182,21,50,572,81,76,5,0,1259,1290
48585293,0,1,1354,0,0,0,0,4,-2097,-1,13,93,4,-1370,182,29,50,570,82,76,6,0,1318,1354
48595286,0,1,1435,0,0,0,0,4,-1944,1,13,88,4,-1297,182,21,50,568,83,76,6,0,1385,1435
48605286,0,1,1504,0,0,0,0,4,-1797,1,13,84,4,-1224,182,20,50,566,84,76,7,0,1476,1504
48615277,0,1,1561,0,0,0,0,4,-1655,1,12,79,4,-1149,182,21,50,563,85,76,8,0,1561,1545
48625279,0,1,1603,0,0,0,0,4,-1519,1,13,75,4,-1073,182,21,50,561,85,76,9,0,1603,1583
48635278,0,1,1675,0,0,0,0,4,-1391,2,12,71,4,-997,182,21,50,559,86,76,9,0,1649,1675
48645294,0,1,1725,0,0,0,0,4,-1268,1,10,68,4,-920,182,21,50,557,87,76,10,0,1696,1725
48655277,0,1,1805,0,0,0,0,4,-1152,1,13,64,4,-844,182,21,50,554,88,76,11,0,1805,1777
48665296,0,1,1866,0,0,0,0,4,-1041,1,11,61,4,-767,182,22,50,552,88,76,12,0,1866,1841
48675274,0,1,1925,0,0,0,0,4,-937,1,13,58,4,-690,182,26,50,550,89,76,13,0,1906,1925
48685290,0,1,1976,0,0,0,0,4,-838,1,13,55,4,-613,167,20,50,547,84,71,13,0,1976,1961
48695280,0,1,2036,0,0,0,0,4,-744,1,13,52,4,-536,167,21,50,545,85,71,14,0,2015,2036
48705298,0,1,2097,0,0,0,0,4,-654,1,13,49,4,-459,167,22,50,543,86,71,15,0,2097,2075
48715290,0,1,2165,0,0,0,0,4,-570,1,13,47,4,-382,167,20,50,540,87,71,15,0,2137,2165
48725275,0,1,2210,0,0,0,0,4,-489,1,14,44,4,-305,167,28,50,538,87,71,16,0,2210,2197
48735280,0,1,2240,0,0,0,0,4,-413,1,13,42,4,-228,167,23,50,536,88,71,17,0,2233,2240
48745286,0,1,2273,0,0,0,0,4,-341,1,13,40,4,-151,167,21,50,534,89,71,18,0,2273,2264
48755285,0,1,2308,0,0,0,0,4,-272,1,13,38,4,-74,167,24,50,531,89,71,18,0,2317,2308
48765284,0,1,2358,0,0,0,0,4,-206,1,12,36,4,3,167,24,50,529,90,71,19,0,2342,2358
48775297,0,1,2377,0,0,0,0,4,-144,1,13,34,4,80,85,20,50,527,60,41,19,0,2375,2377
48785275,0,1,2371,0,0,0,0,4,-85,1,12,32,4,157,85,21,50,524,61,41,20,0,2371,2367
48795275,0,1,2357,0,0,0,0,4,-29,1,13,31,4,234,85,21,50,522,61,41,20,0,2356,2357
48805278,0,1,2350,0,0,0,0,4,24,1,13,29,4,311,85,21,50,520,62,41,21,0,2350,2349
48815280,0,1,2341,0,0,0,0,4,75,1,14,27,4,388,85,22,50,517,62,41,21,0,2337,2341
48825298,0,1,2325,0,0,0,0,4,122,1,14,26,4,465,85,21,50,515,62,41,21,0,2325,2325
48835292,0,1,2316,0,0,0,0,4,167,1,13,25,4,542,85,25,50,513,63,41,22,0,2313,2316
48845289,0,1,2308,0,0,0,0,4,211,1,13,23,4,619,85,25,50,510,63,41,22,0,2308,2303
48855276,0,1,2299,0,0,0,0,4,251,1,13,22,4,696,85,21,50,508,64,41,23,0,2292,2299
48865287,0,1,2285,0,0,0,0,4,290,1,12,21,4,773,12,21,50,506,37,14,23,0,2285,2281
48875280,0,1,2276,0,0,0,0,4,327,1,13,20,4,850,12,22,50,504,37,14,23,0,2274,2276
48885296,0,1,2264,0,0,0,0,4,362,1,13,19,4,927,12,25,50,501,37,14,23,0,2264,2263
48895282,0,1,2254,0,0,0,0,4,395,1,13,18,4,1004,12,24,50,499,38,14,23,0,2248,2254
48905276,0,1,2242,0,0,0,0,4,427,1,13,17,4,1081,12,21,50,497,38,14,23,0,2242,2237
48915290,0,1,2232,0,0,0,0,4,457,1,13,16,4,1158,12,22,50,494,38,14,23,0,2230,2232
48925274,0,1,2222,0,0,0,0,4,485,1,12,15,4,1235,12,21,50,492,38,14,24,0,2222,2216
48935298,0,1,2211,0,0,0,0,4,512,1,13,14,4,1312,12,28,50,490,38,14,24,0,2206,2211
48945275,0,1,2201,0,0,0,0,4,537,1,13,14,4,1389,12,21,50,487,38,14,24,0,2201,2195
48955288,0,1,2190,0,0,0,0,4,561,1,14,13,4,1466,1,21,50,485,34,10,24,0,2186,2190
48965288,0,1,2180,0,0,0,0,4,583,1,13,12,4,1543,1,20,50,483,34,10,24,0,2180,2174
48975279,0,1,2170,0,0,0,0,4,604,1,13,12,4,1620,1,23,50,480,34,10,24,0,2166,2170
48985296,0,1,2162,0,0,0,0,4,624,1,13,11,4,1697,1,22,50,478,35,10,24,0,2154,2162
48995290,0,1,2157,0,0,0,0,4,643,1,13,10,4,1774,1,22,50,476,35,10,24,0,2157,2155
49005275,0,1,2158,0,0,0,0,4,661,1,13,10,4,1851,1,23,50,474,35,10,25,0,2157,2158
49015287,0,1,2158,0,0,0,0,4,677,1,13,9,4,1928,1,21,50,471,35,10,25,0,2158,2158
49025287,0,1,2160,0,0,0,0,4,693,1,13,9,4,2005,1,21,50,469,35,10,25,0,2160,2158
49035279,0,1,2160,0,0,0,0,4,707,1,13,8,4,2081,1,22,50,467,35,10,25,0,2159,2160
49045273,0,1,2159,0,0,0,0,4,721,1,12,8,4,2158,1,21,50,464,35,10,25,0,2158,2159
49055298,0,1,2156,0,0,0,0,4,733,1,13,8,4,2236,1,20,50,462,35,10,25,0,2154,2156
49065291,0,1,2149,0,0,0,0,4,745,1,13,7,4,2313,1,21,50,460,35,10,25,0,2149,2149
49075273,0,1,2144,0,0,0,0,4,757,1,13,7,4,2389,1,22,50,457,35,10,25,0,2143,2144
49085277,0,1,2137,0,0,0,0,4,768,1,17,7,4,2466,1,25,50,455,36,10,25,0,2137,2135
49095290,0,1,2132,0,0,0,0,4,778,1,13,6,4,2543,1,20,50,453,36,10,25,0,2132,2132
49105285,0,1,2130,0,0,0,0,4,788,1,13,6,4,2620,1,24,50,450,36,10,26,0,2130,2129
49115292,0,1,2129,0,0,0,0,4,796,1,13,6,4,2697,1,21,50,448,36,10,26,0,2129,2129
49125280,0,1,2128,0,0,0,0,4,805,1,12,5,4,2773,1,21,50,446,36,10,26,0,2128,2127
49135280,0,1,2127,0,0,0,0,4,813,1,13,5,4,2850,1,22,50,444,36,10,26,0,2127,2125
49145288,0,1,2126,0,0,0,0,4,820,1,13,5,4,2927,1,25,50,441,36,10,26,0,2124,2126
49155299,0,1,2126,0,0,0,0,4,827,1,13,5,4,3004,1,21,50,439,36,10,26,0,2126,2125
49165288,0,1,2119,0,0,0,0,4,833,1,13,5,4,3081,1,24,50,437,36,10,26,0,2117,2119
49175277,0,1,2115,0,0,0,0,4,839,1,13,4,4,3158,1,21,50,434,36,10,26,0,2113,2115
49185283,0,1,2110,0,0,0,0,4,845,1,10,4,4,3234,1,21,50,432,37,10,26,0,2110,2109
49195290,0,1,2103,0,0,0,0,4,851,1,13,4,4,3311,1,25,50,430,37,10,26,0,2101,2103
49205286,0,1,2097,0,0,0,0,4,856,1,12,4,4,3388,1,22,50,427,37,10,27,0,2097,2096
49215297,0,1,2091,0,0,0,0,4,860,1,13,4,4,3465,1,25,50,425,37,10,27,0,2091,2091
49225282,0,1,2092,0,0,0,0,4,865,1,13,4,4,3542,1,20,50,423,37,10,27,0,2092,2090
49235275,0,1,2092,0,0,0,0,4,869,1,13,4,4,3619,1,21,50,420,37,10,27,0,2092,2092
49245282,0,1,2093,0,0,0,0,4,873,1,13,3,4,3696,1,21,50,418,37,10,27,0,2091,2093
49255282,0,1,2092,0,0,0,0,4,877,1,13,3,4,3772,1,20,50,416,37,10,27,0,2092,2092
49265280,0,1,2094,0,0,0,0,4,880,1,13,3,4,3849,1,21,50,414,37,10,27,0,2094,2092
49275295,0,1,2091,0,0,0,0,4,881,1,13,3,4,3926,1,21,50,411,37,10,27,0,2089,2091
49285277,0,1,2087,0,0,0,0,4,882,1,13,3,4,4003,1,21,50,409,38,10,27,0,2087,2084
49295283,0,1,2081,0,0,0,0,4,882,1,13,3,4,4080,1,21,50,407,38,10,27,0,2080,2081
49305291,0,1,2077,0,0,0,0,4,883,1,13,3,4,4157,1,20,50,404,38,10,28,0,2077,2076
49315297,0,1,2073,0,0,0,0,4,883,1,15,3,4,4234,1,21,50,402,38,10,28,0,2073,2072
49325277,0,1,2068,0,0,0,0,4,883,1,13,3,4,4311,1,22,50,400,38,10,28,0,2068,2066
49335280,0,1,2067,0,0,0,0,4,883,1,13,3,4,4388,1,20,50,397,38,10,28,0,2067,2067
49345289,0,1,2067,0,0,0,0,4,883,1,13,3,4,4465,1,21,50,395,38,10,28,0,2065,2067
49355296,0,1,2065,0,0,0,0,4,883,1,13,3,4,4542,1,21,50,393,38,10,28,0,2065,2065
49365296,0,1,2067,0,0,0,0,4,883,1,13,3,4,4619,1,19,50,390,38,10,28,0,2067,2067
49375280,0,1,2066,0,0,0,0,4,883,1,13,3,4,4695,1,26,50,388,39,10,28,0,2066,2066
49385286,0,1,2066,0,0,0,0,4,883,1,13,3,4,4772,1,21,50,386,39,10,28,0,2066,2065
49395277,0,1,2064,0,0,0,0,4,883,1,13,3,4,4849,1,25,50,384,39,10,29,0,2064,2062
49405292,0,1,2057,0,0,0,0,4,883,1,13,3,4,4926,1,21,50,381,39,10,29,0,2057,2057
49415280,0,1,2054,0,0,0,0,4,883,1,13,3,4,5003,1,23,50,379,39,10,29,0,2054,2053
49425291,0,1,2046,0,0,0,0,4,883,1,13,3,4,5080,1,21,50,377,39,10,29,0,2044,2046
49435298,0,1,2043,0,0,0,0,4,883,1,13,3,4,5157,1,21,50,374,39,10,29,0,2041,2043
49445278,0,1,2037,0,0,0,0,4,883,1,12,3,4,5234,1,22,50,372,39,10,29,0,2037,2037
49455291,0,1,2038,0,0,0,0,4,883,1,13,3,4,5311,1,23,50,370,39,10,29,0,2038,2037
49465298,0,1,2040,0,0,0,0,4,883,1,13,3,4,5388,1,20,50,367,39,10,29,0,2040,2040
49475284,0,1,2042,0,0,0,0,4,883,1,13,3,4,5465,1,23,50,365,40,10,29,0,2042,2041
49485280,0,1,2043,0,0,0,0,4,883,1,13,3,4,5542,1,21,50,363,40,10,29,0,2043,2042
49495289,0,1,2045,0,0,0,0,4,883,1,13,3,4,5619,1,29,50,360,40,10,30,0,2045,2043
49505275,0,1,2046,0,0,0,0,4,884,1,13,3,4,5696,1,20,50,358,40,10,30,0,2045,2046
49515276,0,1,2047,0,0,0,0,4,884,1,14,3,4,5773,1,21,50,356,40,10,30,0,2045,2047
49525291,0,1,2047,0,0,0,0,4,884,1,13,3,4,5850,1,23,50,354,40,10,30,0,2045,2047
49535292,0,1,2045,0,0,0,0,4,884,1,13,3,4,5927,1,22,50,351,40,10,30,0,2045,2043
49545295,0,1,2044,0,0,0,0,4,884,1,13,3,4,6004,1,30,50,349,40,10,30,0,2044,2044
49555274,0,1,2044,0,0,0,0,4,884,1,13,3,4,6080,1,21,50,347,40,10,30,0,2044,2043
49565275,0,1,2046,0,0,0,0,4,884,1,13,3,4,6157,1,21,50,344,40,10,30,0,2046,2044
49575281,0,1,2045,0,0,0,0,4,884,1,14,3,4,6234,1,21,50,342,41,10,30,0,2045,2045
49585285,0,1,2046,0,0,0,0,4,884,1,13,3,4,6311,1,21,50,340,41,10,30,0,2046,2046
49595278,0,1,2048,0,0,0,0,4,884,1,13,3,4,6388,1,21,50,337,41,10,31,0,2046,2048
49605280,0,1,2049,0,0,0,0,4,884,1,15,3,4,6465,1,21,50,335,41,10,31,0,2048,2049
49615297,0,1,2049,0,0,0,0,4,884,1,12,3,4,6542,1,22,50,333,41,10,31,0,2049,2048
49625275,0,1,2051,0,0,0,0,4,884,1,13,3,4,6619,1,22,50,330,41,10,31,0,2047,2051
49635274,0,1,2044,0,0,0,0,4,884,1,12,3,4,6696,1,24,50,328,41,10,31,0,2044,2044
49645285,0,1,2040,0,0,0,0,4,884,1,13,3,4,6773,1,21,50,326,41,10,31,0,2040,2039
49655290,0,1,2035,0,0,0,0,4,884,1,13,3,4,6850,1,21,50,324,41,10,31,0,2033,2035
49665283,0,1,2030,0,0,0,0,4,884,1,13,3,4,6927,1,20,50,321,41,10,31,0,2030,2028
49675289,0,1,2026,0,0,0,0,4,884,1,13,3,4,7003,1,22,50,319,42,10,31,0,2025,2026
49685298,0,1,2023,0,0,0,0,4,884,1,13,3,4,7080,1,21,50,317,42,10,31,0,2023,2020
49695287,0,1,2025,0,0,0,0,4,884,1,13,3,4,7157,1,20,50,314,42,10,32,0,2025,2024
49705294,0,1,2028,0,0,0,0,4,884,1,13,3,4,7234,1,21,50,312,42,10,32,0,2028,2026
49715278,0,1,2031,0,0,0,0,4,885,1,13,3,4,7310,1,26,50,310,42,10,32,0,2031,2031
49725283,0,1,2034,0,0,0,0,4,885,1,13,3,4,7387,1,25,50,307,42,10,32,0,2033,2034
49735281,0,1,2038,0,0,0,0,4,885,1,13,3,4,7464,1,25,50,305,42,10,32,0,2038,2036
49745289,0,1,2039,0,0,0,0,4,885,1,12,3,4,7541,1,21,50,303,42,10,32,0,2038,2039
49755297,0,1,2040,0,0,0,0,4,885,1,13,3,4,7618,1,21,50,300,42,10,32,0,2038,2040
49765298,0,1,2041,0,0,0,0,4,885,1,13,3,4,7695,1,21,50,298,42,10,32,0,2041,2040
49775285,0,1,2042,0,0,0,0,4,885,1,13,3,4,7772,1,24,50,296,43,10,32,0,2041,2042
49785286,0,1,2043,0,0,0,0,4,885,1,13,3,4,7849,1,25,50,294,43,10,32,0,2041,2043
